Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2002-01-01,2002,01,01,,-7.5,,-22.5,,-15.0,,33.0,,0.0,,0.0,,0.0,,0.0,,6,,,,<31,
2002-01-02,2002,01,02,,7.4,,-13.7,,-3.2,,21.2,,0.0,,0.0,,0.0,,0.0,,6,,,,<31,
2002-01-03,2002,01,03,,7.5,,1.5,,4.5,,13.5,,0.0,,0.0,,0.0,,0.0,,5,,26,E,56,E
2002-01-04,2002,01,04,,5.4,,-1.4,,2.0,,16.0,,0.0,,0.0,,0.0,,0.0,,3,,27,E,44,E
2002-01-05,2002,01,05,,2.7,,-8.9,,-3.1,,21.1,,0.0,,0.0,,0.0,,0.0,,2,,,,<31,
2002-01-06,2002,01,06,,8.0,,-11.1,,-1.6,,19.6,,0.0,,0.0,,0.0,,0.0,,2,,26,E,52,E
2002-01-07,2002,01,07,,12.1,,-3.8,,4.2,,13.8,,0.0,,0.0,,0.0,,0.0,,1,,24,E,74,E
2002-01-08,2002,01,08,,9.7,,2.0,,5.9,,12.1,,0.0,,0.0,T,0.0,,0.0,T,1,,25,E,69,E
2002-01-09,2002,01,09,,3.9,,-4.3,,-0.2,,18.2,,0.0,,0.0,T,2.0,,2.0,,2,,3,E,39,E
2002-01-10,2002,01,10,,6.8,,-5.7,,0.6,,17.4,,0.0,,0.0,,0.0,,0.0,,3,,27,E,56,E
2002-01-11,2002,01,11,,4.6,,-2.5,,1.1,,16.9,,0.0,,0.0,,0.0,,0.0,,1,,,,<31,
2002-01-12,2002,01,12,,9.1,,-3.8,,2.7,,15.3,,0.0,,0.0,,0.0,,0.0,,0,T,26,E,39,E
2002-01-13,2002,01,13,,3.9,,-7.1,,-1.6,,19.6,,0.0,,0.0,,0.0,,0.0,,0,T,33,E,48,E
2002-01-14,2002,01,14,,-2.5,,-11.8,,-7.2,,25.2,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2002-01-15,2002,01,15,,-2.8,,-7.7,,-5.3,,23.3,,0.0,,0.0,,0.0,T,0.0,T,0,T,33,E,32,E
2002-01-16,2002,01,16,,-0.9,,-10.3,,-5.6,,23.6,,0.0,,0.0,,0.4,,0.0,T,0,T,34,E,37,E
2002-01-17,2002,01,17,,-4.7,,-10.6,,-7.7,,25.7,,0.0,,0.0,,0.4,,0.0,T,0,T,,,<31,
2002-01-18,2002,01,18,,0.4,,-13.7,,-6.7,,24.7,,0.0,,0.0,,0.0,T,0.0,T,0,T,28,E,41,E
2002-01-19,2002,01,19,,0.4,,-3.7,,-1.7,,19.7,,0.0,,0.0,,0.0,,0.0,,0,T,27,E,46,E
2002-01-20,2002,01,20,,3.1,,-9.2,,-3.1,,21.1,,0.0,,0.0,,0.0,,0.0,,0,T,27,E,54,E
2002-01-21,2002,01,21,,3.1,,-16.5,,-6.7,,24.7,,0.0,,0.0,,0.0,,0.0,,0,,30,E,35,E
2002-01-22,2002,01,22,,-14.8,,-19.8,,-17.3,,35.3,,0.0,,0.0,,0.4,,0.2,,0,,,,<31,
2002-01-23,2002,01,23,,-1.3,,-22.3,,-11.8,,29.8,,0.0,,0.0,,0.0,,0.0,,0,T,26,E,67,E
2002-01-24,2002,01,24,,8.5,,-9.5,,-0.5,,18.5,,0.0,,0.0,,0.0,T,0.0,T,0,T,36,E,65,E
2002-01-25,2002,01,25,,-5.1,,-23.2,,-14.2,,32.2,,0.0,,0.0,,12.0,,7.0,,3,,1,E,37,E
2002-01-26,2002,01,26,,-22.6,,-27.8,,-25.2,,43.2,,0.0,,0.0,,3.0,,2.2,,12,,,,<31,
2002-01-27,2002,01,27,,-19.4,,-33.1,,-26.3,,44.3,,0.0,,0.0,,0.0,T,0.0,T,13,,,,<31,
2002-01-28,2002,01,28,,-10.4,,-28.2,,-19.3,,37.3,,0.0,,0.0,,0.0,,0.0,,13,,,,<31,
2002-01-29,2002,01,29,,-10.4,,-26.9,,-18.7,,36.7,,0.0,,0.0,,0.0,,0.0,,13,,,,<31,
2002-01-30,2002,01,30,,-6.0,,-21.8,,-13.9,,31.9,,0.0,,0.0,,0.0,,0.0,,12,,,,<31,
2002-01-31,2002,01,31,,0.3,,-14.2,,-7.0,,25.0,,0.0,,0.0,,0.0,,0.0,,10,,,,<31,
