EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,7,3,1,1,-1,-3,87,75,61,1020,1018,1016,14,12,8,32,18,37,0.00,2,,233<br />
2000-1-2,9,6,2,7,3,0,100,92,81,1019,1010,1004,11,4,2,29,16,,0.00,6,Rain,82<br />
2000-1-3,11,6,0,7,-1,-4,93,81,70,1021,1014,1005,14,12,3,50,27,64,0.00,6,Rain-Snow,41<br />
2000-1-4,9,3,-4,6,0,-9,100,83,55,1013,1001,994,14,9,0,61,32,82,0.00,7,Rain-Snow,34<br />
2000-1-5,-2,-4,-7,-8,-11,-14,74,59,43,1031,1025,1014,14,14,14,23,14,45,0.00,4,,321<br />
2000-1-6,3,0,-2,-1,-4,-8,75,67,60,1030,1026,1021,14,14,14,42,24,52,0.00,6,,197<br />
2000-1-7,3,0,-3,-1,-4,-10,93,76,51,1028,1020,1017,14,10,0,47,27,55,0.00,4,Rain-Snow,265<br />
2000-1-8,4,0,-3,-1,-4,-9,74,66,60,1027,1019,1013,14,14,14,48,31,61,0.00,1,Rain,225<br />
2000-1-9,4,3,2,2,1,-2,93,86,65,1015,1013,1011,14,11,5,32,18,,0.00,7,Rain,206<br />
2000-1-10,6,4,3,5,3,1,100,90,70,1011,995,989,14,9,2,39,23,50,0.00,6,Rain,106<br />
2000-1-11,6,3,2,1,-1,-5,87,71,56,1012,1000,993,14,14,14,50,34,61,0.00,5,Rain-Snow,254<br />
2000-1-12,2,-1,-3,-2,-7,-10,81,62,48,1023,1019,1013,14,14,6,32,24,34,0.00,4,Snow,285<br />
2000-1-13,-3,-8,-13,-6,-11,-21,86,74,52,1036,1020,1015,14,5,1,37,21,58,0.00,6,Snow,5<br />
2000-1-14,-8,-11,-14,-13,-17,-21,73,65,52,1040,1038,1036,14,14,5,19,13,,0.00,5,Snow,319<br />
2000-1-15,2,-3,-7,-4,-8,-13,80,71,60,1038,1031,1017,14,12,2,37,13,29,0.00,6,Snow,164<br />
2000-1-16,3,-6,-16,-1,-11,-23,79,67,48,1039,1024,1009,14,11,2,52,35,77,0.00,4,Snow,307<br />
2000-1-17,-13,-17,-21,-24,-27,-30,56,41,28,1044,1040,1034,14,14,14,29,21,39,0.00,0,,338<br />
2000-1-18,-7,-11,-14,-10,-13,-25,86,76,40,1032,1019,1014,14,4,1,24,14,,0.00,8,Snow,57<br />
2000-1-19,-1,-7,-12,-4,-9,-13,92,82,60,1015,1012,1008,14,8,2,24,11,29,0.00,7,Snow,289<br />
2000-1-20,-4,-9,-16,-6,-9,-22,86,77,61,1014,1006,1004,14,6,2,32,13,40,0.00,6,Snow,339<br />
2000-1-21,-14,-17,-20,-20,-22,-24,72,64,52,1020,1017,1015,14,14,14,24,18,29,0.00,0,,320<br />
2000-1-22,-10,-14,-18,-10,-18,-23,100,69,56,1024,1022,1020,14,13,6,16,11,,0.00,4,Snow,32<br />
2000-1-23,0,-4,-9,-3,-7,-13,86,76,59,1020,1014,1012,14,11,2,48,24,58,0.00,7,Snow,194<br />
2000-1-24,-4,-7,-10,-10,-13,-15,68,61,50,1021,1019,1015,14,14,14,40,27,45,0.00,2,Snow,260<br />
2000-1-25,-5,-8,-11,-12,-14,-17,73,65,57,1020,1013,1009,14,14,13,24,11,35,0.00,3,,342<br />
2000-1-26,-5,-10,-15,-11,-17,-21,68,61,56,1024,1017,1009,14,14,14,40,31,55,0.00,1,Snow,330<br />
2000-1-27,-11,-15,-19,-17,-20,-23,73,63,52,1031,1028,1024,14,14,14,40,24,52,0.00,2,Snow,325<br />
2000-1-28,-5,-11,-17,-13,-19,-23,66,57,46,1037,1035,1031,14,14,14,27,16,35,0.00,0,,311<br />
2000-1-29,-1,-6,-10,-4,-8,-13,86,77,68,1038,1036,1033,14,14,11,11,6,,0.00,1,,208<br />
2000-1-30,1,-1,-3,-1,-3,-9,93,81,55,1032,1019,1012,14,9,3,34,11,27,0.00,6,Snow,72<br />
2000-1-31,0,-2,-3,-1,-4,-6,93,81,64,1012,1007,1005,14,7,2,47,23,52,0.00,7,Snow,237<br />
2000-2-1,-1,-3,-6,-5,-8,-14,80,70,51,1017,1009,1006,14,12,4,50,37,60,0.00,6,Snow,274<br />
2000-2-2,-4,-9,-12,-10,-14,-17,79,69,39,1025,1022,1016,14,13,4,26,16,35,0.00,6,Snow,298<br />
2000-2-3,-1,-3,-4,-3,-5,-10,93,81,64,1017,1009,1007,14,6,1,40,23,50,0.00,7,Snow,166<br />
2000-2-4,-3,-6,-8,-6,-12,-15,86,66,46,1018,1013,1010,14,12,3,40,26,45,0.00,6,Snow,20<br />
2000-2-5,0,-4,-9,-4,-7,-15,86,73,58,1020,1016,1012,14,11,1,42,24,52,0.00,6,Snow,279<br />
2000-2-6,0,-4,-9,-5,-9,-15,75,65,50,1027,1022,1014,14,14,14,48,27,61,0.00,1,Snow,252<br />
2000-2-7,1,-4,-9,-4,-9,-18,75,62,36,1031,1019,1012,14,13,8,47,34,58,0.00,3,Snow,291<br />
2000-2-8,-2,-6,-10,-9,-11,-16,74,65,51,1034,1031,1021,14,14,14,35,14,45,0.00,1,,238<br />
2000-2-9,5,1,-2,-1,-4,-8,75,69,60,1020,1014,1012,14,11,6,52,37,60,0.00,3,Rain-Snow,245<br />
2000-2-10,0,-3,-6,-5,-7,-8,86,81,64,1020,1013,1007,14,8,1,45,26,52,0.00,8,Snow,38<br />
2000-2-11,-5,-7,-8,-8,-11,-15,86,74,50,1025,1010,1007,14,7,2,32,18,37,0.00,7,Snow,340<br />
2000-2-12,-4,-8,-12,-10,-13,-16,73,65,54,1028,1026,1023,14,14,14,13,10,,0.00,0,,254<br />
2000-2-13,-2,-3,-5,-5,-7,-11,86,78,55,1023,1016,1012,14,6,1,40,18,48,0.00,6,Snow,46<br />
2000-2-14,-3,-4,-5,-6,-7,-9,86,77,64,1015,1007,1005,14,6,1,34,24,47,0.00,7,Snow,5<br />
2000-2-15,0,-4,-8,-3,-7,-10,93,77,60,1024,1019,1014,14,9,0,34,18,29,0.00,4,Rain-Snow,201<br />
2000-2-16,2,-2,-6,0,-4,-13,93,82,51,1029,1013,1007,14,8,1,42,14,58,0.00,6,Rain-Snow,209<br />
2000-2-17,-4,-7,-10,-10,-13,-18,68,59,49,1038,1034,1030,14,14,14,21,14,,0.00,3,Snow,88<br />
2000-2-18,-2,-3,-5,-5,-6,-10,86,80,64,1033,1021,1017,14,6,1,45,29,55,0.00,8,Snow,49<br />
2000-2-19,0,-3,-7,-6,-9,-13,80,70,48,1022,1019,1015,14,11,2,29,19,37,0.00,5,Snow,327<br />
2000-2-20,1,-1,-3,-4,-6,-7,80,72,56,1026,1022,1020,14,14,6,42,29,53,0.00,5,Snow,250<br />
2000-2-21,2,-1,-3,-3,-4,-7,75,71,65,1030,1028,1026,14,12,10,29,21,,0.00,2,Snow,229<br />
2000-2-22,4,2,0,-1,-2,-3,81,73,65,1028,1027,1027,14,14,11,19,11,,0.00,5,,197<br />
2000-5-3,11,10,9,5,4,3,71,66,58,1022,1022,1022,14,14,11,23,18,,0.00,0,,72<br />
2000-5-4,16,11,7,11,7,5,88,78,59,1022,1019,1015,14,8,4,29,8,,0.00,0,,173<br />
2000-5-5,27,19,11,13,11,10,94,76,42,1019,1017,1015,14,9,5,26,13,34,0.00,1,,232<br />
2000-5-6,20,16,12,13,12,10,94,80,64,1018,1016,1014,13,6,2,23,8,29,0.00,0,,225<br />
2000-5-7,19,17,14,13,12,11,88,79,68,1014,1011,1009,14,9,6,34,11,,0.00,1,Rain,222<br />
2000-5-8,22,18,14,17,14,12,94,85,73,1010,1008,1003,14,7,2,23,8,29,0.00,3,Rain,214<br />
2000-5-9,26,19,13,18,14,12,100,89,61,1004,1002,997,14,6,0,35,18,37,0.00,2,Rain,227<br />
2000-5-10,16,13,11,14,12,7,100,90,67,1010,1002,998,14,9,0,42,13,64,0.00,7,Rain,189<br />
2000-5-11,16,11,7,9,6,4,87,71,45,1015,1012,1010,14,14,14,26,13,35,0.00,2,Rain,213<br />
2000-5-12,16,12,9,15,9,7,100,91,82,1010,1005,1000,14,9,1,48,29,74,0.00,7,Rain,59<br />
2000-5-13,21,16,12,20,14,3,100,96,54,1011,1003,1001,14,5,0,47,19,74,0.00,7,Rain,76<br />
2000-5-14,12,10,8,6,3,0,82,59,44,1019,1015,1012,14,14,14,40,24,52,0.00,5,,257<br />
2000-5-15,16,11,7,5,2,-2,81,55,33,1020,1019,1018,14,14,14,29,18,47,0.00,3,Rain,262<br />
2000-5-16,15,10,6,8,6,2,93,74,48,1021,1020,1018,14,12,5,32,8,,0.00,2,Rain,213<br />
2000-5-17,14,11,8,9,7,6,100,82,59,1020,1018,1012,14,8,2,32,8,,0.00,2,Rain,84<br />
2000-5-18,16,12,9,13,10,5,100,88,62,1018,1008,1004,14,8,1,29,10,39,0.00,6,Rain,45<br />
2000-5-19,11,8,6,4,1,-2,66,60,53,1023,1021,1019,14,14,14,42,29,52,0.00,5,Rain,62<br />
2000-5-20,10,8,7,6,5,1,93,83,54,1020,1018,1017,14,13,2,37,21,45,0.00,8,,79<br />
2000-5-21,13,9,6,9,7,5,100,90,72,1019,1017,1014,14,6,0,13,3,,0.00,5,,199<br />
2000-5-22,13,10,8,11,8,7,100,92,82,1014,1010,1008,14,5,0,19,11,,0.00,5,,89<br />
