Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1933-01-01,1933,01,01,,5.0,,1.7,,3.4,,14.6,,0.0,,26.9,,0.0,T,26.9,,,,,,,
1933-01-02,1933,01,02,,5.0,,2.2,,3.6,,14.4,,0.0,,5.3,,0.0,,5.3,,,,,,,
1933-01-03,1933,01,03,,6.7,,2.8,,4.8,,13.2,,0.0,,6.4,,0.0,,6.4,,,,,,,
1933-01-04,1933,01,04,,8.3,,3.9,,6.1,,11.9,,0.0,,3.8,,0.0,,3.8,,,,,,,
1933-01-05,1933,01,05,,8.9,,3.3,,6.1,,11.9,,0.0,,15.7,,0.0,,15.7,,,,,,,
1933-01-06,1933,01,06,,7.2,,3.9,,5.6,,12.4,,0.0,,9.4,,0.0,,9.4,,,,,,,
1933-01-07,1933,01,07,,8.3,,4.4,,6.4,,11.6,,0.0,,8.6,,0.0,,8.6,,,,,,,
1933-01-08,1933,01,08,,8.9,,6.7,,7.8,,10.2,,0.0,,15.0,,0.0,,15.0,,,,,,,
1933-01-09,1933,01,09,,7.8,,5.0,,6.4,,11.6,,0.0,,4.8,,0.0,,4.8,,,,,,,
1933-01-10,1933,01,10,,9.4,,4.4,,6.9,,11.1,,0.0,,0.0,,0.0,,0.0,,,,,,,
1933-01-11,1933,01,11,,7.2,,5.0,,6.1,,11.9,,0.0,,0.0,,0.0,,0.0,,,,,,,
1933-01-12,1933,01,12,,6.7,,3.9,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,,,,,,
1933-01-13,1933,01,13,,6.1,,5.0,,5.6,,12.4,,0.0,,7.9,,0.0,,7.9,,,,,,,
1933-01-14,1933,01,14,,5.0,,0.6,,2.8,,15.2,,0.0,,0.8,,0.3,,1.0,,,,,,,
1933-01-15,1933,01,15,,3.9,,0.0,,2.0,,16.0,,0.0,,2.0,,0.0,,2.0,,,,,,,
1933-01-16,1933,01,16,,1.7,,-1.7,,0.0,,18.0,,0.0,,0.0,,0.0,,0.0,,,,,,,
1933-01-17,1933,01,17,,3.3,,0.0,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,,,,,,,
1933-01-18,1933,01,18,,1.7,,0.0,,0.9,,17.1,,0.0,,0.0,,0.0,T,0.0,T,,,,,,
1933-01-19,1933,01,19,,4.4,,-1.7,,1.4,,16.6,,0.0,,0.0,,0.0,,0.0,,,,,,,
1933-01-20,1933,01,20,,4.4,,1.7,,3.1,,14.9,,0.0,,1.5,,0.0,,1.5,,,,,,,
1933-01-21,1933,01,21,,3.9,,2.2,,3.1,,14.9,,0.0,,3.8,,0.0,,3.8,,,,,,,
