IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2002-1-3,28,26,24,19,19,18,73,66,54,1017,1016,1015,6,6,6,29,11,40,0.00,3,,40<br />
2002-1-4,27,27,27,23,23,23,79,79,79,1014,1013,1013,6,6,6,16,14,,0.00,6,,50<br />
2002-1-5,28,26,23,21,21,19,88,72,61,1015,1013,1011,8,6,5,19,11,,0.00,4,,59<br />
2002-1-6,29,27,24,23,22,21,83,73,66,1013,1012,1011,7,7,6,26,26,45,0.00,3,,73<br />
2002-1-7,27,26,25,23,23,22,89,82,78,1015,1014,1013,4,4,4,23,13,,0.00,5,,70<br />
2002-1-8,27,26,24,23,23,22,94,88,79,1015,1014,1012,4,4,3,23,3,,0.00,5,Rain,70<br />
2002-1-9,24,23,23,22,22,21,89,88,88,1016,1014,1013,6,5,3,21,10,,0.00,5,,32<br />
2002-1-10,26,24,23,22,22,21,89,85,78,1017,1017,1017,6,5,4,23,8,,0.00,5,Rain,47<br />
2002-1-11,27,24,23,22,22,20,94,87,65,1017,1015,1013,7,5,4,23,2,,0.00,2,,60<br />
2002-1-12,26,24,23,20,19,18,83,72,61,1014,1014,1013,6,5,4,0,0,,0.00,1,,-1<br />
2002-1-13,28,24,20,19,18,17,94,74,54,1016,1013,1011,7,4,0,19,3,,0.00,2,Fog,75<br />
2002-1-14,29,26,23,19,18,17,78,65,55,1014,1011,1009,8,6,4,23,13,,0.00,2,,61<br />
2002-1-15,27,23,21,19,19,18,88,76,61,1015,1012,1011,4,4,4,23,5,,0.00,4,,90<br />
2002-1-16,26,23,20,21,19,19,94,84,69,1014,1012,1010,7,5,2,16,3,,0.00,3,,70<br />
2002-1-17,27,23,19,18,18,17,94,74,57,1014,1012,1010,6,5,4,19,3,,0.00,2,,68<br />
2002-1-18,28,24,21,21,20,19,94,78,65,1013,1011,1008,8,6,4,26,6,,0.00,2,,78<br />
2002-1-19,30,28,25,22,22,21,83,73,62,1013,1011,1009,8,7,6,24,19,,0.00,3,,92<br />
2002-1-20,28,24,22,24,23,21,94,89,79,1011,1010,1010,6,5,4,23,5,,0.00,5,,100<br />
2002-1-21,26,24,24,23,22,21,94,82,74,1012,1012,1012,8,7,6,14,14,,0.00,7,,70<br />
2002-1-22,29,27,25,23,23,22,89,81,66,1013,1012,1010,8,5,3,23,6,,0.00,2,,55<br />
2002-1-23,27,26,24,23,22,22,94,84,74,1013,1012,1011,6,6,6,11,5,,0.00,2,,45<br />
2002-1-24,26,24,23,23,22,21,94,87,83,1014,1013,1011,6,5,4,11,3,,0.00,2,,50<br />
2002-1-25,29,29,29,20,20,20,58,58,58,1009,1009,1009,8,8,8,8,8,,0.00,3,,260<br />
2002-1-27,28,27,26,22,22,22,78,74,70,1012,1011,1010,6,6,6,14,13,,0.00,3,,150<br />
2002-1-28,30,29,28,23,23,23,74,69,66,1014,1012,1010,8,7,6,16,11,,0.00,6,,194<br />
2002-1-29,30,27,24,23,22,21,94,72,58,1013,1012,1011,10,7,4,19,10,,0.00,2,,132<br />
2002-1-30,28,24,21,22,21,20,94,79,65,1016,1014,1012,8,5,1,26,6,,0.00,2,,70<br />
2002-1-31,30,28,25,24,23,21,83,75,70,1014,1013,1012,7,6,6,26,11,45,0.00,4,,44<br />
2002-2-1,29,27,24,23,22,22,94,77,66,1016,1015,1013,6,6,6,34,27,52,0.00,3,Rain,57<br />
2002-2-2,25,25,25,23,23,23,89,89,89,1016,1014,1013,6,5,3,29,27,37,0.00,3,,55<br />
2002-2-3,26,23,22,21,21,20,94,82,74,1016,1014,1013,8,6,4,26,14,,0.00,4,Rain,40<br />
2002-2-4,29,26,23,22,20,19,94,69,55,1016,1014,1012,10,7,3,23,10,40,0.00,3,,60<br />
2002-2-5,29,26,23,21,21,20,83,72,62,1014,1013,1012,10,7,6,29,10,48,0.00,2,,32<br />
2002-2-6,29,24,20,22,21,19,94,74,58,1016,1013,1011,7,5,1,24,8,42,0.00,2,Fog,74<br />
2002-2-7,28,26,24,23,22,21,94,78,70,1015,1013,1010,6,4,1,23,8,40,0.00,4,Fog,115<br />
2002-2-8,31,29,28,21,19,19,66,55,49,1013,1012,1011,10,8,6,26,21,45,0.00,2,,60<br />
2002-2-9,29,24,21,22,21,18,94,70,55,1016,1014,1011,10,7,2,27,11,47,0.00,4,,72<br />
2002-2-10,30,26,22,20,18,17,88,65,48,1015,1013,1011,10,7,6,23,8,,0.00,2,,77<br />
2002-2-11,29,24,21,20,19,19,94,76,58,1015,1014,1013,8,5,4,19,3,,0.00,1,,130<br />
2002-2-12,30,27,23,22,21,20,89,75,55,1016,1014,1013,10,7,3,23,3,34,0.00,4,Fog,68<br />
2002-2-13,31,28,26,22,21,20,69,66,58,1015,1014,1013,10,7,6,23,14,40,0.00,1,,60<br />
2002-2-14,31,27,23,23,22,20,88,75,55,1017,1015,1013,7,5,1,35,6,,0.00,2,Fog,57<br />
2002-2-15,27,27,27,19,19,19,61,61,61,1016,1016,1016,6,6,6,10,10,,0.00,1,,40<br />
2002-2-16,28,26,24,23,22,18,94,81,54,1015,1014,1013,6,4,2,10,2,,0.00,2,,80<br />
2002-2-17,31,22,22,21,21,21,94,81,55,1015,1015,1014,8,4,1,26,5,,0.00,2,,80<br />
2002-2-18,31,27,24,21,19,19,78,62,49,1018,1016,1015,8,6,2,24,14,,0.00,1,,50<br />
2002-2-19,28,24,22,22,21,21,94,81,66,1019,1018,1017,6,4,1,19,3,,0.00,1,,45<br />
2002-2-20,30,26,22,21,21,20,94,73,55,1016,1015,1014,8,5,1,21,6,,0.00,1,Fog,87<br />
2002-2-21,31,26,22,22,21,19,88,73,49,1018,1016,1014,8,5,1,23,8,,0.00,1,,88<br />
2002-2-22,28,24,22,22,21,19,83,76,62,1019,1018,1016,6,5,1,23,3,,0.00,1,Fog,112<br />
2002-2-23,29,26,23,22,21,18,94,78,51,1017,1017,1015,6,4,1,11,2,,0.00,2,Fog,80<br />
2002-2-24,35,29,23,20,16,8,83,47,19,1016,1014,1012,10,6,2,24,10,,0.00,1,,102<br />
2002-2-25,30,25,20,21,19,18,94,68,48,1015,1013,1012,10,6,2,24,8,,0.00,1,,68<br />
2002-2-26,27,26,24,20,20,20,78,72,65,1013,1013,1012,6,5,3,13,5,,0.00,1,,50<br />
2002-2-27,32,27,23,21,20,18,88,65,46,1012,1011,1011,9,6,2,26,10,,0.00,1,,65<br />
2002-2-28,32,28,25,23,22,21,89,72,59,1013,1012,1010,8,6,6,19,6,,0.00,1,,98<br />
2002-3-1,32,28,24,23,22,21,94,65,52,1012,1010,1009,6,5,1,19,11,,0.00,1,,106<br />
2002-3-2,30,27,23,23,21,17,94,68,48,1012,1011,1010,6,6,6,23,8,,0.00,2,Fog,73<br />
2002-3-3,31,28,26,21,18,15,74,56,38,1012,1011,1008,8,5,1,19,6,37,0.00,2,Fog,25<br />
2002-3-4,33,29,25,23,21,19,83,65,49,1012,1010,1008,10,6,2,26,16,,0.00,3,,17<br />
2002-3-5,31,27,24,22,21,19,83,70,49,1013,1012,1009,7,5,2,23,8,,0.00,3,,46<br />
2002-3-6,27,24,22,22,21,21,94,86,70,1012,1012,1011,6,5,3,19,3,,0.00,1,,0<br />
2002-3-7,28,27,25,22,22,21,78,76,70,1013,1011,1010,6,6,6,19,6,,0.00,1,,121<br />
2002-3-8,27,26,26,23,22,22,83,77,74,1013,1012,1011,6,6,6,19,16,,0.00,1,,143<br />
2002-3-9,32,29,26,23,22,22,83,72,55,1014,1013,1011,8,6,4,23,8,,0.00,2,,115<br />
2002-3-10,32,28,24,23,22,21,89,77,52,1013,1013,1012,7,5,2,19,3,,0.00,2,,160<br />
2002-3-11,31,28,25,23,22,20,89,68,55,1015,1013,1010,8,6,2,24,6,,0.00,1,,130<br />
2002-3-12,33,29,25,23,21,20,89,59,49,1013,1011,1010,9,7,4,26,13,39,0.00,1,,127<br />
2002-3-13,30,28,26,23,22,21,83,70,58,1015,1014,1012,9,7,6,24,8,,0.00,2,,130<br />
2002-3-14,32,28,25,23,22,21,89,74,55,1015,1013,1011,10,7,4,23,5,,0.00,2,,134<br />
2002-3-15,31,28,25,23,22,21,89,72,58,1014,1012,1009,8,5,3,16,3,,0.00,3,,115<br />
2002-3-16,32,28,25,24,22,20,94,70,49,1011,1010,1009,10,7,1,19,5,,0.00,2,,130<br />
2002-3-22,32,31,30,24,23,22,70,60,55,1007,1006,1005,8,8,8,23,19,,0.00,2,,135<br />
2002-3-24,33,29,26,24,23,22,83,71,52,1008,1006,1003,8,6,6,19,14,,0.00,2,,177<br />
2002-3-25,34,30,27,25,24,22,84,69,49,1008,1006,1003,8,6,4,23,13,,0.00,1,,179<br />
2002-3-26,35,30,26,27,24,23,94,71,49,1009,1007,1005,8,6,4,26,14,,0.00,2,,199<br />
2002-3-27,34,30,27,25,24,24,84,70,56,1010,1007,1006,8,7,4,26,18,,0.00,2,,153<br />
2002-3-28,32,29,26,25,24,24,94,80,62,1011,1009,1007,8,6,4,23,14,40,0.00,3,,182<br />
2002-3-29,34,31,28,25,25,24,84,75,56,1012,1010,1007,7,5,4,27,14,,0.00,2,,170<br />
2002-3-30,33,30,27,25,25,25,89,72,63,1011,1010,1009,8,7,7,23,14,,0.00,3,,185<br />
2002-3-31,29,27,26,25,24,24,89,87,79,1013,1010,1008,6,5,4,23,8,,0.00,1,,201<br />
2002-4-1,33,32,31,24,23,23,66,60,55,1014,1011,1009,10,9,9,19,16,,0.00,2,,195<br />
2002-4-2,35,31,27,26,24,23,89,70,49,1013,1010,1007,8,7,6,23,11,,0.00,3,,187<br />
2002-4-3,35,32,30,25,24,22,74,64,47,1010,1007,1005,10,8,6,29,24,,0.00,2,,177<br />
2002-4-4,36,31,27,27,25,24,84,71,53,1009,1007,1004,10,8,6,27,21,37,0.00,3,,191<br />
2002-4-5,31,29,28,26,25,24,89,74,66,1011,1008,1007,8,7,4,27,18,,0.00,2,,161<br />
2002-4-6,33,30,27,25,23,22,89,71,55,1012,1011,1009,10,6,3,29,8,,0.00,2,,151<br />
2002-4-7,34,30,27,23,23,23,79,71,52,1011,1010,1009,10,7,6,26,3,,0.00,2,,120<br />
2002-4-8,33,30,28,23,22,22,74,67,55,1011,1010,1008,10,8,6,23,14,37,0.00,1,,159<br />
2002-4-9,32,29,27,27,23,21,89,65,52,1011,1010,1006,10,8,6,23,10,,0.00,2,,185<br />
2002-4-10,33,30,27,26,24,22,94,75,55,1009,1007,1006,10,7,6,26,6,45,0.00,2,,148<br />
2002-4-11,35,31,27,25,22,20,89,61,41,1009,1007,1006,10,8,4,27,18,47,0.00,1,,185<br />
2002-4-12,33,30,27,25,24,24,84,74,59,1012,1010,1008,10,8,6,23,10,,0.00,2,,174<br />
2002-4-13,29,28,28,26,25,23,89,82,70,1012,1012,1010,10,8,6,19,13,,0.00,5,,237<br />
2002-4-14,33,30,28,24,24,24,79,74,59,1010,1009,1007,6,6,6,29,24,,0.00,3,,147<br />
2002-4-15,33,30,27,25,24,23,84,73,59,1011,1009,1007,10,8,6,27,14,,0.00,2,,180<br />
2002-4-16,33,30,27,24,23,23,84,69,55,1010,1009,1009,10,8,6,26,8,,0.00,2,,220<br />
2002-4-17,31,29,28,25,23,22,79,70,58,1011,1009,1006,9,7,6,27,23,42,0.00,1,,181<br />
2002-4-18,33,30,27,25,24,23,89,75,55,1009,1008,1004,10,8,6,27,16,47,0.00,1,,207<br />
2002-4-19,35,30,26,25,22,2,94,61,12,1010,1007,1006,10,9,6,29,16,,0.00,2,,183<br />
2002-4-20,30,29,29,25,24,24,79,73,70,1011,1010,1010,10,9,6,26,16,,0.00,2,,123<br />
2002-4-21,32,30,28,26,24,24,89,76,62,1010,1008,1006,10,7,6,27,10,47,0.00,2,,147<br />
2002-4-22,33,29,26,26,24,23,94,77,55,1008,1007,1004,10,7,6,161,26,45,0.00,2,,185<br />
2002-4-23,36,31,27,26,24,23,94,73,47,1010,1007,1005,10,8,6,29,16,42,0.00,1,,162<br />
2002-4-24,34,30,27,25,24,22,89,69,49,1009,1007,1004,10,8,4,27,18,40,0.00,2,,186<br />
2002-4-25,31,29,27,25,24,23,89,73,62,1009,1007,1005,10,8,6,29,26,,0.00,3,,156<br />
2002-4-26,35,31,28,26,24,23,89,72,53,1008,1007,1004,10,8,6,29,14,45,0.00,3,,142<br />
2002-4-27,35,31,28,25,24,23,84,70,49,1007,1006,1004,10,7,6,24,11,,0.00,2,,180<br />
2002-4-28,31,29,28,26,24,23,89,72,62,1009,1007,1005,10,9,6,24,16,42,0.00,3,,156<br />
2002-4-29,32,29,27,26,25,24,89,78,62,1007,1006,1003,10,8,6,27,13,45,0.00,2,,179<br />
2002-4-30,32,29,27,26,25,24,89,78,62,1008,1005,1003,10,8,6,26,8,45,0.00,2,,174<br />
2002-5-1,35,31,28,26,25,24,89,68,56,1006,1004,1003,10,8,6,32,26,,0.00,3,,115<br />
2002-5-2,33,30,28,26,25,24,89,73,59,1007,1006,1004,10,7,4,34,11,,0.00,4,,116<br />
2002-5-3,36,32,29,25,24,23,79,70,53,1008,1007,1006,10,7,6,26,10,40,0.00,3,,103<br />
2002-5-4,33,31,29,25,24,23,79,65,55,1007,1006,1004,10,8,6,34,14,52,0.00,3,,167<br />
2002-5-5,36,31,27,25,23,20,89,67,39,1006,1004,1003,8,7,6,27,26,47,0.00,3,,166<br />
2002-5-6,33,30,27,26,24,23,89,70,55,1007,1004,1002,10,9,6,34,27,48,0.00,2,,181<br />
2002-5-7,33,30,28,26,26,25,89,73,63,1007,1005,1003,10,7,6,29,18,,0.00,2,,206<br />
2002-5-8,39,34,29,26,23,21,84,57,35,1007,1005,1003,8,7,6,32,26,,0.00,2,,179<br />
2002-5-9,41,36,31,25,24,23,66,50,36,1007,1004,1002,7,6,6,32,26,,0.00,5,,172<br />
2002-5-10,36,33,30,23,22,21,62,55,47,1006,1004,1003,8,7,6,130,39,,0.00,5,,267<br />
2002-5-11,36,33,30,24,22,20,66,53,39,1004,1003,1000,8,6,4,37,34,55,0.00,2,,290<br />
2002-5-12,33,31,29,23,22,21,62,59,55,1003,1003,1002,7,6,6,26,24,,0.00,2,,260<br />
2002-5-13,43,37,31,25,22,21,70,44,28,1004,1002,1001,10,9,6,27,21,,0.00,1,,267<br />
2002-5-14,33,33,33,25,25,25,63,63,63,1003,1003,1003,6,6,6,27,27,,0.00,3,,0<br />
2002-5-15,33,31,30,26,25,24,79,71,62,1007,1005,1003,6,6,4,27,18,,0.00,5,,203<br />
2002-5-16,36,33,30,27,25,23,84,66,47,1005,1004,1000,10,7,3,29,19,40,0.00,3,Rain,262<br />
2002-5-17,35,31,27,25,24,22,89,68,47,1003,1002,1001,10,7,6,27,23,47,0.00,5,,263<br />
2002-5-18,39,34,31,22,22,21,58,46,37,1002,1001,1000,10,7,6,29,27,45,0.00,3,,275<br />
2002-5-19,38,36,33,22,21,20,49,44,37,1004,1002,999,10,9,6,37,29,55,0.00,3,,280<br />
2002-5-20,39,34,31,24,21,20,66,47,35,1004,1003,1001,10,9,6,32,27,42,0.00,2,,270<br />
2002-5-21,37,33,29,25,24,23,79,61,44,1003,1003,1003,10,8,6,23,19,,0.00,1,,210<br />
2002-5-22,37,33,31,26,23,21,75,56,39,1007,1007,1006,8,8,7,23,23,,0.00,1,,300<br />
2002-5-23,32,30,29,26,26,26,84,79,70,1008,1006,1005,6,6,6,23,14,,0.00,2,,187<br />
2002-5-24,39,34,29,26,25,25,79,64,45,1008,1007,1006,9,7,6,27,18,,0.00,1,,227<br />
2002-5-25,35,32,29,26,26,25,79,72,56,1008,1007,1005,8,6,2,27,23,47,0.00,2,Rain-Thunderstorm,197<br />
2002-5-28,36,33,31,25,24,23,70,58,49,1007,1006,1003,8,7,6,27,23,,0.00,2,,246<br />
2002-5-29,40,33,27,27,25,23,100,70,40,1007,1006,1004,10,7,4,27,19,,0.00,2,Rain-Thunderstorm,206<br />
2002-5-30,37,31,26,23,22,21,78,64,42,1007,1006,1005,10,8,6,27,18,,0.00,3,,250<br />
2002-5-31,34,31,29,26,24,23,84,65,52,1009,1007,1005,8,7,6,27,18,,0.00,6,,205<br />
2002-6-1,37,33,29,26,23,21,79,56,41,1007,1004,1003,10,8,6,37,26,,0.00,2,Thunderstorm,169<br />
2002-6-2,31,29,28,25,24,23,84,75,62,1007,1007,1006,10,6,3,26,11,,0.00,3,Rain-Thunderstorm,237<br />
2002-6-3,30,30,30,25,25,25,74,74,74,1005,1004,1004,6,6,6,27,27,,0.00,1,,210<br />
2002-6-4,31,30,29,25,24,24,79,70,66,1005,1005,1004,6,6,6,34,18,,0.00,3,,209<br />
2002-6-5,35,32,30,26,26,24,74,65,59,1006,1004,1002,10,8,7,34,21,,0.00,2,,177<br />
2002-6-6,36,33,30,25,23,21,66,58,47,1006,1004,1003,10,8,6,27,19,40,0.00,5,,141<br />
2002-6-7,34,31,29,26,25,24,74,66,59,1007,1004,1003,6,5,5,27,19,,0.00,5,Thunderstorm,158<br />
2002-6-8,37,31,26,26,24,23,83,64,47,1003,1002,1000,10,7,6,27,19,,0.00,2,,263<br />
2002-6-9,34,30,27,26,24,24,89,72,59,1005,1003,1001,8,7,5,27,18,,0.00,3,,232<br />
2002-6-10,30,30,30,26,26,26,79,79,79,1004,1004,1004,6,6,6,10,10,,0.00,3,,150<br />
2002-6-11,30,28,27,25,25,25,89,79,74,1004,1004,1003,7,6,5,14,11,,0.00,3,,240<br />
2002-6-12,28,27,27,25,25,25,89,87,84,1004,1003,1003,6,6,6,14,5,,0.00,4,,230<br />
2002-6-13,36,33,32,26,25,24,66,58,53,1003,1002,1000,9,8,6,27,21,47,0.00,4,,216<br />
2002-6-14,34,31,28,28,25,23,89,72,52,1003,1002,1000,10,6,4,27,18,47,0.00,4,Rain-Thunderstorm,234<br />
2002-6-15,35,31,28,24,22,21,79,62,47,1004,1003,1002,10,8,6,37,26,55,0.00,4,,272<br />
2002-6-16,36,33,30,26,23,22,62,55,47,1005,1003,1002,10,9,6,34,26,52,0.00,6,,282<br />
2002-6-17,32,30,29,26,24,23,79,70,59,1008,1006,1004,7,6,4,23,8,,0.00,8,,270<br />
2002-6-18,32,30,29,26,25,24,84,73,62,1007,1006,1004,10,7,4,26,10,,0.00,7,,268<br />
2002-6-19,32,31,30,24,24,23,70,65,59,1003,1003,1002,8,7,6,24,21,,0.00,6,,246<br />
2002-6-20,30,29,28,25,23,21,84,71,58,1005,1004,1002,6,6,6,29,21,,0.00,7,,252<br />
2002-6-21,35,32,29,24,23,22,66,59,53,1004,1002,1001,8,7,4,27,16,,0.00,6,,247<br />
2002-6-22,35,32,29,26,24,22,79,64,47,1005,1004,1003,7,5,4,29,19,,0.00,6,,301<br />
2002-6-23,37,32,28,25,23,20,84,68,37,1004,1004,1003,10,6,4,26,11,47,0.00,3,,215<br />
2002-6-24,36,32,28,25,22,21,84,53,41,1007,1004,1002,10,9,6,29,24,40,0.00,5,,235<br />
2002-6-25,37,32,28,24,22,21,79,57,39,1006,1004,1001,10,7,6,37,19,55,0.00,4,,227<br />
2002-6-26,37,34,32,24,22,20,59,48,37,1007,1005,1003,10,7,5,32,24,47,0.00,3,,213<br />
2002-6-27,37,33,31,25,23,20,70,54,37,1009,1007,1005,10,7,6,27,26,42,0.00,3,,175<br />
2002-6-28,37,33,29,26,24,21,79,62,39,1010,1007,1006,10,7,6,26,18,,0.00,3,,187<br />
2002-6-29,35,32,29,27,25,23,79,63,52,1010,1008,1006,6,5,4,26,18,34,0.00,5,,192<br />
2002-6-30,34,32,31,27,25,24,79,66,56,1008,1007,1006,6,5,4,27,19,40,0.00,3,,215<br />
2002-7-1,37,33,30,26,24,20,79,63,37,1006,1004,1003,8,6,6,32,21,47,0.00,5,,165<br />
2002-7-2,36,34,34,23,22,20,52,45,39,1005,1004,1004,10,9,7,23,19,,0.00,3,,235<br />
2002-7-3,37,32,27,26,23,19,94,63,35,1008,1006,1004,8,7,6,29,13,37,0.00,2,,231<br />
2002-7-4,38,33,29,24,22,19,74,52,33,1007,1005,1004,10,8,7,27,16,47,0.00,3,,197<br />
2002-7-5,35,32,30,25,23,20,74,58,41,1008,1006,1005,10,7,6,29,27,48,0.00,2,,200<br />
2002-7-6,37,33,29,26,22,19,84,53,35,1008,1005,1003,10,8,6,34,21,48,0.00,2,,257<br />
2002-7-7,38,33,29,25,22,20,79,57,35,1006,1004,1002,10,7,6,26,19,39,0.00,2,,211<br />
2002-7-8,32,30,28,24,23,20,79,63,49,1006,1005,1004,8,6,4,24,21,,0.00,2,,216<br />
2002-7-9,37,33,31,23,21,19,55,48,35,1007,1005,1003,10,8,6,29,23,,0.00,3,,172<br />
2002-7-10,37,33,30,23,21,19,66,53,35,1006,1005,1003,10,7,6,23,18,,0.00,3,,234<br />
2002-7-11,36,33,32,20,19,19,46,43,39,1005,1004,1003,10,10,10,29,29,48,0.00,3,,267<br />
2002-7-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2002-7-13,32,30,28,25,24,22,74,70,55,1007,1005,1004,8,6,6,19,18,37,0.00,3,,150<br />
2002-7-14,34,31,29,26,23,19,79,61,41,1006,1005,1002,10,7,6,27,18,,0.00,3,,167<br />
2002-7-15,38,33,28,25,21,18,84,52,31,1006,1004,1002,10,7,6,29,19,,0.00,3,,215<br />
2002-7-16,35,33,31,24,22,20,66,51,41,1005,1004,1002,8,7,6,27,18,,0.00,4,,211<br />
2002-7-17,31,29,28,25,22,20,79,66,52,1005,1004,1003,6,5,4,27,18,,0.00,5,,249<br />
2002-7-18,33,30,28,23,21,20,74,55,46,1007,1005,1003,7,6,4,27,11,,0.00,6,,232<br />
