MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-9,-17,-23,-13,-21,-28,93,79,70,1033,1029,1021,,,,8,5,,9.14,,,193<br />
2002-1-2,-1,-8,-14,-5,-9,-16,96,87,69,1019,1015,1012,,,,8,3,,6.60,,,164<br />
2002-1-3,3,-1,-6,-4,-5,-7,99,75,55,1019,1014,1011,,,,8,5,,0.00,,,173<br />
2002-1-4,3,0,-3,-4,-5,-6,87,75,53,1023,1021,1019,,,,6,2,,0.00,,,173<br />
2002-1-5,1,-5,-11,-5,-8,-11,98,80,57,1025,1022,1019,,,,10,3,,4.32,,,163<br />
2002-1-6,7,1,-5,1,-4,-8,91,70,46,1016,1011,1005,,,,13,5,,0.00,,,155<br />
2002-1-7,6,3,-1,3,1,-1,100,89,64,1006,1001,998,,,,11,5,,6.10,,,163<br />
2002-1-8,6,3,1,2,1,0,100,90,69,1013,1007,999,,,,8,3,,3.05,,,165<br />
2002-1-9,4,0,-3,-1,-3,-6,100,81,56,1026,1022,1014,,,,11,5,,0.00,,,165<br />
2002-1-10,3,-2,-8,-3,-6,-9,92,78,59,1026,1024,1022,,,,10,3,,5.33,,,165<br />
2002-1-11,0,-2,-4,-3,-4,-6,89,80,70,1033,1028,1017,,,,8,3,,8.64,,,164<br />
2002-1-12,6,2,-2,-3,-4,-7,81,63,46,1015,1007,1002,,,,14,6,27,8.38,,,156<br />
2002-1-13,1,-1,-5,-6,-9,-12,76,57,39,1025,1022,1014,,,,16,6,29,0.00,,,222<br />
2002-1-14,-4,-9,-13,-9,-12,-14,91,72,54,1028,1027,1025,,,,10,3,,4.57,,,165<br />
2002-1-15,-6,-11,-15,-10,-13,-16,92,81,66,1029,1028,1027,,,,6,3,,1.78,,,188<br />
2002-1-16,-6,-9,-13,-8,-11,-14,93,88,81,1028,1025,1022,,,,6,2,,0.76,,,171<br />
2002-1-17,-5,-8,-12,-7,-9,-13,93,87,75,1028,1026,1024,,,,10,2,,1.52,,,164<br />
2002-1-18,-4,-9,-14,-8,-12,-15,95,76,62,1024,1019,1012,,,,14,6,27,9.65,,,182<br />
2002-1-19,-1,-3,-6,-8,-9,-12,84,70,47,1012,1007,1003,,,,10,5,,0.76,,,173<br />
2002-1-20,-1,-4,-7,-9,-10,-11,78,66,50,1002,995,992,,,,8,3,,11.94,,,143<br />
2002-1-21,1,-6,-13,-8,-12,-16,95,73,34,1004,998,994,,,,10,2,,0.51,,,176<br />
2002-1-22,-12,-14,-18,-16,-19,-21,84,73,61,1013,1008,1004,,,,11,5,,2.79,,,12<br />
2002-1-23,-5,-12,-18,-8,-16,-22,87,75,63,1015,1012,1009,,,,10,5,,0.51,,,152<br />
2002-1-24,1,-5,-11,0,-6,-12,99,90,78,1010,1002,994,,,,13,3,34,6.60,,,140<br />
2002-1-25,-5,-12,-20,-6,-16,-24,95,82,66,1013,1007,1001,,,,16,6,35,1.78,,,25<br />
2002-1-26,-19,-23,-27,-24,-28,-31,72,68,62,1020,1016,1013,,,,13,6,27,0.00,,,26<br />
2002-1-27,-17,-24,-32,-24,-29,-36,75,66,53,1028,1024,1021,,,,6,3,,0.00,,,182<br />
2002-1-28,-13,-21,-29,-19,-27,-34,79,70,56,1030,1026,1021,,,,10,5,,0.51,,,181<br />
2002-1-29,-9,-15,-21,-16,-20,-25,80,69,54,1023,1021,1019,,,,10,3,,0.00,,,182<br />
2002-1-30,-7,-12,-18,-11,-16,-21,84,74,65,1022,1021,1019,,,,10,5,,4.32,,,166<br />
2002-1-31,-3,-9,-16,-8,-11,-17,95,82,65,1021,1019,1017,,,,6,3,,3.30,,,183<br />
2002-2-1,-1,-7,-12,-8,-10,-13,93,76,52,1020,1019,1017,,,,11,3,,0.00,,,176<br />
2002-2-2,2,-3,-9,-7,-8,-10,90,72,49,1022,1021,1019,,,,13,3,,0.00,,,170<br />
2002-2-3,5,-1,-7,-5,-8,-11,81,67,47,1024,1020,1017,,,,11,5,,2.54,,,162<br />
2002-2-4,5,0,-5,-6,-7,-8,81,61,42,1027,1024,1019,,,,13,5,27,4.57,,,169<br />
2002-2-5,3,1,-1,-2,-6,-8,83,64,44,1019,1010,1005,,,,11,6,,11.68,,,163<br />
2002-2-6,2,-1,-4,-2,-5,-7,94,75,56,1012,1007,1003,,,,10,3,,1.27,,,169<br />
2002-2-7,3,-1,-7,-2,-4,-8,95,85,60,1009,1005,1002,,,,6,2,,5.08,,,162<br />
2002-2-8,-1,-8,-14,-8,-11,-16,97,81,54,1034,1021,1009,,,,8,2,,0.00,,,182<br />
