PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-2-17,-10,-18,-25,-18,-23,-31,66,60,53,1026,1024,1023,,,,23,11,,0.00,3,,158<br />
2001-2-18,-12,-19,-27,-20,-27,-33,71,59,48,1027,1026,1025,,,,3,0,,0.00,2,,160<br />
2001-2-19,-8,-14,-21,-17,-21,-27,66,58,49,1027,1023,1021,,,,29,10,,0.00,3,,164<br />
2001-2-20,-8,-17,-25,-17,-24,-31,67,58,49,1027,1025,1023,,,,11,3,,0.00,3,,170<br />
2001-2-21,-7,-11,-15,-12,-17,-21,79,64,53,1027,1026,1025,32,20,10,14,3,,0.00,7,Snow,353<br />
2001-2-22,-5,-10,-15,-12,-14,-20,79,66,46,1028,1027,1026,32,23,8,16,8,,0.00,5,Snow,329<br />
2001-2-23,-9,-16,-22,-16,-21,-28,73,64,57,1027,1022,1016,32,18,3,11,2,,0.00,5,Snow,336<br />
2001-2-24,-12,-14,-17,-16,-21,-24,73,61,48,1017,1016,1015,24,9,3,21,11,,0.00,6,Snow,334<br />
2001-2-25,-14,-17,-20,-22,-25,-28,55,50,44,1020,1018,1016,,,,40,29,55,0.00,5,Snow,162<br />
2001-2-26,4,-6,-14,-5,-10,-22,69,61,49,1017,1011,1004,,,,47,34,64,0.00,5,Snow,168<br />
2001-2-27,3,1,-2,-2,-4,-13,81,67,33,1003,992,989,32,16,8,47,34,64,0.00,5,Snow,162<br />
2001-2-28,2,-1,-4,-6,-8,-12,74,59,44,1000,994,992,,,,29,18,,0.00,5,,165<br />
2001-3-1,-1,-6,-9,-9,-11,-14,73,64,55,1001,999,996,,,,26,13,,0.00,5,,169<br />
2001-3-2,-1,-6,-10,-8,-13,-15,68,62,55,1002,999,997,24,21,16,11,5,,0.00,7,,223<br />
2001-3-3,0,-8,-16,-11,-16,-21,73,60,38,1016,1009,1003,,,,16,8,,0.00,1,,206<br />
2001-3-4,-2,-9,-15,-11,-15,-19,72,61,47,1017,1016,1014,,,,29,11,,0.00,3,,166<br />
2001-3-5,-2,-6,-10,-10,-13,-16,67,61,55,1014,1012,1010,,,,32,23,47,0.00,5,,174<br />
