CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-2-15,-12,-16,-19,-16,-21,-24,78,69,60,1023,1014,1010,24,18,1,42,29,48,0.00,6,Snow,235<br />
2001-2-16,-19,-22,-25,-24,-27,-30,71,63,55,1037,1032,1024,24,24,24,37,23,32,0.00,1,Snow,295<br />
2001-2-17,-13,-20,-27,-20,-26,-33,64,58,52,1036,1031,1025,24,24,24,26,16,32,0.00,1,,251<br />
2001-2-18,-9,-14,-19,-15,-20,-25,79,65,55,1024,1015,1009,24,24,24,29,23,39,0.00,1,,221<br />
2001-2-19,-14,-18,-22,-19,-22,-26,78,67,56,1020,1017,1014,24,24,24,40,16,,0.00,2,,289<br />
2001-2-20,-18,-23,-28,-23,-29,-34,71,59,45,1036,1029,1017,24,24,24,35,24,29,0.00,0,,297<br />
2001-2-21,-14,-22,-30,-17,-27,-35,79,64,51,1036,1028,1011,24,16,1,48,19,63,0.00,4,Snow,184<br />
2001-2-22,-11,-17,-23,-13,-18,-28,85,79,65,1025,1017,1009,24,18,1,40,27,47,0.00,5,Snow,311<br />
2001-2-23,-14,-21,-27,-20,-24,-32,71,64,56,1029,1026,1020,24,24,24,24,11,,0.00,2,,192<br />
2001-2-24,-8,-10,-12,-11,-12,-17,86,78,67,1019,1014,1011,24,15,2,35,16,,0.00,8,Snow,73<br />
2001-2-25,-11,-14,-18,-14,-17,-22,79,75,67,1027,1018,1011,24,18,5,37,31,48,0.00,6,Snow,338<br />
2001-2-26,-17,-21,-24,-20,-25,-29,78,66,51,1035,1033,1028,24,20,5,24,13,,0.00,2,Snow,280<br />
2001-2-27,-14,-20,-25,-20,-27,-32,66,56,46,1036,1032,1022,24,24,24,29,19,39,0.00,2,,236<br />
2001-2-28,-4,-10,-15,-9,-14,-20,79,70,59,1020,1011,1004,24,24,24,27,18,,0.00,6,,202<br />
2001-3-1,2,-4,-9,-3,-8,-13,80,71,64,1004,1002,999,24,24,24,32,19,29,0.00,2,,218<br />
2001-3-2,2,-3,-7,-4,-8,-11,86,74,60,1009,1008,1004,24,24,24,23,14,,0.00,1,,271<br />
2001-3-3,-2,-6,-8,-7,-10,-16,100,73,50,1026,1016,1009,24,24,24,27,14,,0.00,2,,60<br />
2001-3-4,-4,-12,-20,-9,-16,-23,80,68,54,1032,1031,1027,24,24,24,19,11,,0.00,3,,5<br />
2001-3-5,-5,-11,-17,-10,-13,-19,92,78,68,1034,1033,1031,24,24,16,13,10,,0.00,1,,355<br />
2001-3-6,-1,-6,-11,-5,-9,-14,86,79,69,1031,1027,1023,24,22,13,27,13,,0.00,6,,205<br />
2001-3-7,-2,-4,-6,-5,-7,-9,80,76,69,1023,1021,1021,24,20,8,34,21,,0.00,8,Snow,312<br />
2001-3-8,-2,-6,-8,-8,-9,-12,80,71,59,1024,1023,1021,24,24,24,26,18,,0.00,3,,319<br />
2001-3-9,-1,-7,-12,-4,-8,-14,100,87,74,1020,1014,1008,24,10,0,53,21,55,0.00,6,Fog,190<br />
2001-3-10,-1,-9,-18,-4,-16,-24,86,62,53,1022,1017,1008,24,19,2,45,26,60,0.00,3,Snow,339<br />
2001-3-11,-5,-11,-18,-9,-16,-23,74,66,56,1021,1016,1008,24,24,24,50,24,63,0.00,4,,179<br />
2001-3-12,-1,-4,-7,-3,-8,-11,93,77,68,1007,1001,996,24,18,5,39,29,48,0.00,8,Snow,172<br />
2001-3-13,3,-2,-6,-2,-4,-7,100,84,70,1002,1001,998,24,17,1,16,11,,0.00,6,Fog-Rain-Snow,277<br />
2001-3-14,0,-5,-11,-1,-8,-14,100,84,64,1021,1011,1003,24,12,0,27,11,,0.00,4,Fog-Snow,325<br />
2001-3-15,-4,-11,-18,-9,-14,-21,79,73,59,1025,1023,1021,24,24,24,16,11,,0.00,3,,295<br />
2001-3-16,2,-4,-10,-2,-7,-13,86,79,69,1023,1021,1020,24,22,10,16,13,,0.00,2,,191<br />
2001-3-17,3,-3,-8,-1,-4,-10,87,82,70,1025,1024,1022,24,14,5,40,18,50,0.00,0,,183<br />
2001-3-18,3,0,-2,0,-3,-5,93,83,75,1022,1019,1018,24,11,1,40,31,50,0.00,6,Rain-Snow,182<br />
2001-3-19,1,-1,-3,0,-2,-5,93,91,86,1021,1019,1015,10,3,0,37,11,37,0.00,7,Fog,180<br />
2001-3-20,4,2,-1,0,-3,-5,87,74,61,1022,1017,1012,24,18,3,42,29,52,0.00,3,Rain,235<br />
2001-3-21,-3,-8,-13,-5,-14,-18,86,69,62,1027,1024,1022,24,21,2,34,21,40,0.00,5,Snow,21<br />
2001-3-22,-9,-14,-19,-13,-18,-22,79,68,57,1032,1030,1027,24,22,5,16,11,,0.00,3,Snow,329<br />
2001-3-23,-10,-13,-17,-12,-19,-22,86,67,52,1030,1028,1027,24,22,6,32,18,37,0.00,4,Snow,302<br />
2001-3-24,-12,-14,-17,-16,-19,-22,79,68,61,1035,1033,1030,24,22,6,39,27,50,0.00,4,Snow,321<br />
2001-3-25,-10,-15,-20,-15,-19,-23,78,70,57,1039,1037,1034,24,24,24,32,19,32,0.00,1,,325<br />
2001-3-26,-6,-13,-20,-14,-18,-23,79,67,49,1034,1032,1028,24,24,24,11,8,,0.00,2,,304<br />
2001-3-27,2,-6,-12,-3,-9,-15,79,70,60,1027,1021,1014,24,24,24,34,18,35,0.00,3,,182<br />
2001-3-28,5,1,-2,0,-2,-4,87,79,65,1014,1011,1010,24,12,6,26,16,,0.00,8,,178<br />
2001-3-29,3,2,1,1,0,-1,93,86,81,1013,1012,1011,6,5,3,26,14,29,0.00,8,Rain-Snow,180<br />
2001-3-30,5,2,0,1,-1,-1,93,85,70,1012,1010,1007,13,6,1,29,18,35,0.00,8,Fog-Rain-Snow,158<br />
2001-3-31,1,-1,-3,0,-2,-4,100,90,86,1006,1003,1001,24,4,0,40,19,,0.00,8,Snow,319<br />
2001-4-1,1,0,-1,-2,-3,-5,86,81,75,1013,1008,1004,24,16,3,16,14,,0.00,8,Snow,32<br />
2001-4-2,3,-3,-8,0,-4,-10,87,82,75,1022,1018,1013,24,23,8,16,11,,0.00,4,,309<br />
2001-4-3,6,1,-4,2,-1,-5,93,82,66,1029,1026,1022,19,12,4,10,5,,0.00,6,,4<br />
2001-4-4,6,3,1,1,-1,-2,93,82,61,1029,1026,1019,24,15,3,27,11,35,0.00,8,Rain-Snow,127<br />
2001-4-5,8,4,1,4,2,0,93,85,76,1018,1013,1009,24,11,1,29,18,34,0.00,6,Rain,208<br />
2001-4-6,12,4,-2,5,1,-4,93,78,54,1012,1011,1009,24,22,19,16,10,,0.00,2,Fog,334<br />
2001-4-7,6,3,0,3,0,-1,93,80,65,1010,1005,1001,24,23,13,35,19,47,0.00,8,Rain,27<br />
2001-4-8,8,4,1,2,0,-3,81,72,66,1019,1014,1008,24,24,24,29,18,29,0.00,7,,36<br />
2001-4-9,6,3,2,1,0,-1,87,79,66,1019,1017,1015,24,18,6,24,14,29,0.00,8,Rain-Snow,106<br />
2001-4-10,7,3,1,2,1,-1,93,83,66,1015,1013,1012,24,17,8,14,8,,0.00,8,Rain,134<br />
2001-4-11,10,7,3,4,3,1,93,79,66,1014,1012,1007,24,17,3,35,11,50,0.00,8,Rain,43<br />
2001-4-12,9,4,-2,2,0,-4,87,72,54,1015,1009,1005,24,24,24,34,24,39,0.00,4,Rain,352<br />
2001-4-13,3,-1,-4,0,-2,-6,93,87,75,1017,1014,1012,24,12,1,21,10,,0.00,6,Rain-Snow,142<br />
2001-4-14,9,2,-4,4,-1,-8,93,84,71,1014,1010,1007,24,13,1,39,16,48,0.00,7,Fog-Rain,214<br />
2001-4-15,-4,-7,-8,-9,-11,-13,80,68,59,1024,1020,1014,24,17,3,45,31,53,0.00,7,Snow,329<br />
2001-4-16,2,-2,-6,-7,-9,-12,80,58,38,1038,1032,1024,24,20,2,40,32,50,0.00,4,Snow,358<br />
2001-4-17,6,0,-6,-4,-7,-10,80,59,36,1038,1035,1027,24,24,19,21,11,,0.00,2,,244<br />
2001-4-18,13,7,1,6,0,-5,82,64,44,1026,1016,1008,24,24,24,45,26,58,0.00,3,,176<br />
2001-4-19,17,9,1,9,5,0,100,81,55,1007,1006,1004,24,13,0,19,11,,0.00,4,Fog,348<br />
2001-4-20,15,9,3,8,4,0,93,81,59,1011,1005,1002,24,20,10,35,13,48,0.00,7,Rain,302<br />
2001-4-21,2,-2,-5,-1,-8,-11,81,65,55,1027,1020,1012,24,24,24,37,31,48,0.00,8,,353<br />
2001-4-22,6,1,-3,-3,-6,-10,80,60,45,1028,1024,1019,24,24,24,16,10,,0.00,7,,22<br />
2001-4-23,12,4,-3,-1,-4,-6,86,56,33,1018,1015,1013,24,24,24,26,14,34,0.00,1,,337<br />
2001-4-24,17,7,-3,4,-2,-6,80,54,29,1019,1018,1016,24,24,24,26,13,35,0.00,3,Rain,241<br />
2001-4-25,25,14,4,8,4,1,81,55,28,1016,1010,1004,24,24,24,42,23,53,0.00,4,,229<br />
2001-4-26,16,8,0,3,0,-3,81,55,36,1022,1016,1008,24,24,24,35,16,47,0.00,2,,337<br />
2001-4-27,19,13,7,1,-1,-3,53,41,30,1024,1023,1020,24,24,24,39,18,48,0.00,6,Rain,129<br />
2001-4-28,25,18,10,11,5,-3,60,44,37,1020,1013,1006,24,24,24,48,32,69,0.00,3,,154<br />
2001-4-29,28,21,14,13,11,6,63,53,39,1006,1003,1000,24,24,24,50,34,66,0.00,5,Rain,197<br />
2001-4-30,24,16,8,6,1,-5,81,44,15,1008,1006,1003,24,24,24,34,14,50,0.00,3,,246<br />
2001-5-1,14,12,9,12,8,1,94,74,47,1003,996,991,24,21,2,42,19,53,0.00,6,Rain-Thunderstorm,216<br />
2001-5-2,15,10,2,7,4,0,93,69,45,1019,1008,997,24,24,24,42,31,55,0.00,3,Rain,300<br />
2001-5-3,17,7,-2,5,2,-4,93,67,42,1029,1026,1021,24,23,16,16,11,,0.00,1,,41<br />
2001-5-4,21,12,3,5,2,-1,76,50,28,1028,1026,1023,24,24,24,26,13,37,0.00,1,,164<br />
2001-5-5,21,13,6,8,2,-3,82,50,21,1023,1018,1012,24,24,19,40,24,53,0.00,4,Rain,170<br />
2001-5-6,17,13,9,15,11,7,100,92,82,1012,1006,1001,24,13,3,35,26,45,0.00,8,Rain,149<br />
2001-5-7,10,7,3,9,4,1,94,85,76,1007,1005,1002,24,16,6,35,27,40,0.00,8,Rain,261<br />
2001-5-8,15,8,2,4,2,-1,87,66,42,1014,1011,1006,24,21,8,37,27,50,0.00,4,Rain,296<br />
2001-5-9,20,13,7,8,5,2,87,62,35,1010,1008,1005,24,24,16,39,16,50,0.00,7,Rain-Thunderstorm,133<br />
2001-5-10,13,8,3,4,2,0,87,69,47,1021,1015,1009,24,24,24,27,19,40,0.00,2,,356<br />
2001-5-11,16,8,0,6,2,-2,93,66,45,1025,1023,1021,24,24,24,13,8,,0.00,2,,255<br />
2001-5-12,21,12,4,7,6,2,87,58,37,1022,1020,1019,24,24,24,16,10,,0.00,3,,130<br />
2001-5-13,25,18,12,14,9,2,68,54,41,1019,1015,1007,24,24,19,40,18,52,0.00,7,Rain-Thunderstorm,139<br />
2001-5-14,25,20,16,19,16,11,88,78,56,1005,1002,1000,24,19,10,47,34,63,0.00,7,Rain-Thunderstorm,177<br />
2001-5-15,21,17,13,18,15,13,100,87,68,1000,997,995,24,17,5,32,16,39,0.00,6,Rain-Thunderstorm,224<br />
2001-5-16,25,18,11,11,8,5,88,58,32,1002,1000,998,24,24,24,34,19,40,0.00,3,Rain,248<br />
2001-5-17,23,17,11,12,9,4,100,67,29,1009,1004,999,24,22,5,34,23,47,0.00,5,Rain,251<br />
2001-5-18,25,17,8,12,8,5,87,55,28,1010,1009,1007,24,24,24,26,14,35,0.00,4,,201<br />
2001-5-19,22,16,11,11,4,-3,94,45,20,1013,1010,1005,24,24,24,27,16,,0.00,5,,300<br />
2001-5-20,18,14,10,14,7,1,100,63,34,1004,1000,999,24,24,24,29,18,34,0.00,7,Rain,216<br />
2001-5-21,11,8,6,7,4,3,93,77,62,1008,1004,1000,24,23,16,42,27,58,0.00,7,Rain,327<br />
2001-5-22,8,6,3,4,2,-1,100,78,53,1008,1006,1004,24,20,6,63,42,80,0.00,8,Rain,347<br />
2001-5-23,9,7,5,7,5,4,100,92,81,1016,1013,1008,24,15,3,42,31,53,0.00,8,Rain,9<br />
2001-5-24,16,10,5,9,7,5,100,86,63,1024,1022,1017,24,24,13,21,14,,0.00,6,,26<br />
2001-5-25,20,12,4,10,8,4,100,70,43,1024,1020,1015,24,24,24,39,18,47,0.00,2,,10<br />
2001-5-26,24,16,8,14,11,7,100,69,47,1014,1011,1008,24,24,24,23,14,32,0.00,4,Rain,18<br />
2001-5-27,20,17,13,15,14,11,100,85,60,1014,1010,1008,24,23,16,21,11,27,0.00,7,Rain,11<br />
2001-5-28,20,14,9,13,11,9,100,79,60,1021,1019,1015,24,24,16,26,18,35,0.00,4,Rain,44<br />
2001-5-29,22,14,8,8,4,1,82,51,27,1024,1022,1020,24,24,24,26,18,32,0.00,2,,120<br />
2001-5-30,19,14,10,15,9,3,94,69,45,1021,1020,1018,24,22,5,26,16,,0.00,6,Rain,184<br />
2001-5-31,23,16,9,14,10,7,94,77,44,1018,1011,1006,24,20,3,42,21,66,0.00,5,Rain-Hail-Thunderstorm,222<br />
