CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,14,8,3,6,1,-4,93,58,40,1014,1012,1009,,,,24,11,55,0.00,,,356<br />
2001-1-2,12,6,1,7,3,-1,93,87,71,1019,1018,1015,10,10,10,6,3,,0.00,1,,109<br />
2001-1-3,13,8,3,11,7,2,100,90,81,1019,1017,1016,10,10,7,19,5,,0.00,7,Rain,113<br />
2001-1-4,14,9,5,10,7,4,100,89,77,1018,1016,1014,10,10,10,14,2,,0.00,4,,91<br />
2001-1-5,16,10,4,11,8,3,100,84,63,1017,1015,1012,10,10,10,10,3,,0.00,4,Rain,188<br />
2001-1-6,16,9,2,11,8,1,94,85,68,1021,1019,1017,10,10,10,14,3,,0.00,4,,118<br />
2001-1-7,18,12,6,11,8,5,100,83,63,1022,1020,1019,10,10,10,13,3,,0.00,4,,190<br />
2001-1-8,16,12,9,13,11,8,94,84,63,1020,1015,1007,10,10,10,37,10,60,0.00,7,Rain-Thunderstorm,145<br />
2001-1-9,15,10,4,10,8,3,94,89,72,1022,1013,1005,10,10,5,37,13,74,0.00,6,Rain-Thunderstorm,143<br />
2001-1-10,12,6,1,8,4,0,100,89,67,1026,1025,1023,10,10,10,14,2,,0.00,4,,44<br />
2001-1-11,12,8,4,10,7,3,100,93,72,1026,1024,1023,10,10,4,8,2,,0.00,5,Rain,41<br />
2001-1-12,10,7,3,9,7,3,100,96,93,1023,1021,1019,10,10,10,6,0,,0.00,8,Rain,15<br />
2001-1-13,9,7,6,9,5,0,100,85,57,1019,1018,1017,10,9,6,37,13,71,0.00,8,Rain,32<br />
2001-1-14,10,8,6,0,-2,-5,61,49,43,1019,1017,1015,10,10,10,40,29,72,0.00,6,,18<br />
2001-1-15,11,7,4,1,-2,-4,81,49,40,1022,1020,1018,,,,27,14,52,0.00,,,50<br />
2001-1-16,13,7,2,5,2,0,93,74,44,1024,1023,1022,10,10,10,8,2,,0.00,2,,268<br />
2001-1-17,12,6,1,6,4,0,100,82,58,1025,1024,1020,10,10,10,8,2,,0.00,5,,36<br />
