IRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,14,6,-3,1,-3,-5,93,55,31,1023,1021,1019,7,5,4,11,3,,0.00,0,,325<br />
2001-1-2,13,4,-5,-3,-6,-9,80,56,26,1025,1023,1021,6,5,5,11,5,,0.00,0,,308<br />
2001-1-3,12,3,-4,0,-4,-6,93,53,30,1022,1019,1015,10,7,3,35,6,,0.00,5,,136<br />
2001-1-4,11,6,1,-1,-4,-6,70,46,30,1018,1016,1015,10,9,7,29,16,,0.00,5,,258<br />
2001-1-5,9,3,-3,1,-2,-4,93,70,43,1021,1019,1017,10,7,2,14,3,,0.00,3,,18<br />
2001-1-6,10,3,-4,-4,-4,-8,100,66,37,1023,1021,1020,6,6,6,11,2,,0.00,1,,5<br />
2001-1-7,10,1,-7,-1,-4,-9,100,68,37,1024,1021,1019,10,6,2,18,5,,0.00,4,,151<br />
2001-1-8,8,2,-3,2,-2,-5,100,76,50,1022,1020,1019,7,5,1,26,5,,0.00,7,,309<br />
2001-1-9,9,4,-1,1,-3,-7,87,61,40,1025,1023,1021,10,9,4,14,6,,0.00,5,,237<br />
2001-1-10,10,2,-5,-1,-6,-9,93,61,32,1027,1025,1023,10,7,5,11,6,,0.00,1,,267<br />
2001-1-11,12,3,-6,-1,-5,-8,93,65,33,1024,1023,1020,8,7,5,11,5,,0.00,0,,304<br />
2001-1-12,13,3,-6,-1,-6,-10,100,58,28,1024,1022,1020,10,6,1,18,5,,0.00,1,,264<br />
2001-1-13,14,4,-4,-3,-6,-9,80,53,23,1025,1023,1022,6,5,3,14,5,,0.00,3,,276<br />
2001-1-14,14,4,-4,-4,-7,-12,86,52,16,1026,1024,1023,5,5,5,14,8,,0.00,3,,310<br />
2001-1-15,13,3,-6,-3,-7,-13,86,53,28,1026,1024,1022,7,6,5,18,6,,0.00,0,,290<br />
2001-1-16,14,4,-5,-3,-7,-11,80,52,25,1025,1023,1021,,,,21,5,,0.00,2,,323<br />
2001-1-17,12,3,-5,-3,-6,-9,86,54,35,1026,1023,1020,10,9,5,14,5,,0.00,4,,277<br />
2001-1-18,13,3,-6,-2,-6,-9,93,58,33,1020,1018,1017,10,10,10,18,5,,0.00,2,,285<br />
2001-1-19,11,3,-5,0,-4,-9,80,60,38,1018,1016,1014,10,10,10,29,8,,0.00,5,,279<br />
2001-1-20,9,4,0,2,-1,-3,100,72,50,1021,1018,1015,10,9,5,18,6,,0.00,4,,318<br />
2001-1-21,8,1,-5,-1,-4,-8,93,68,40,1024,1022,1020,10,7,2,21,5,,0.00,1,,271<br />
2001-1-22,8,0,-7,-4,-6,-8,93,63,39,1022,1020,1018,8,6,4,14,5,,0.00,2,,185<br />
2001-1-23,9,1,-7,1,-3,-8,93,74,49,1021,1018,1016,10,7,4,21,3,,0.00,5,,345<br />
2001-1-24,9,2,-5,4,-2,-6,100,75,50,1019,1017,1014,10,6,0,35,23,,0.00,2,,315<br />
2001-1-25,8,1,-5,-2,-4,-6,93,69,40,1023,1020,1019,10,8,2,26,10,,0.00,4,,143<br />
2001-1-26,7,2,-3,-1,-4,-9,93,69,36,1020,1018,1015,10,8,1,18,8,,0.00,6,Snow,98<br />
2001-1-27,0,-3,-7,-2,-5,-10,100,85,60,1021,1018,1015,10,5,1,29,11,,0.00,7,Snow,21<br />
2001-1-28,-1,-6,-11,-8,-11,-15,93,69,43,1023,1022,1021,,,,35,27,,0.00,4,,292<br />
2001-1-29,2,-7,-15,-5,-12,-17,100,70,44,1027,1025,1023,7,5,4,18,6,,0.00,0,,277<br />
2001-1-30,5,-4,-13,-5,-9,-14,93,70,38,1027,1025,1023,6,5,4,18,10,,0.00,1,,280<br />
2001-1-31,9,0,-9,-4,-7,-10,93,65,32,1025,1023,1021,7,5,3,6,2,,0.00,0,,287<br />
2001-2-1,11,1,-8,-2,-4,-9,100,72,35,1024,1022,1020,8,6,4,18,6,,0.00,0,,279<br />
2001-2-2,12,3,-5,-2,-5,-8,93,60,24,1021,1019,1018,8,7,5,21,10,,0.00,3,,289<br />
2001-2-3,14,4,-5,-1,-7,-12,100,51,18,1020,1018,1015,5,5,5,18,10,,0.00,,,318<br />
2001-2-4,15,6,-3,-1,-6,-11,69,47,25,1015,1012,1009,10,10,10,43,16,,0.00,3,,231<br />
2001-2-5,10,4,-1,2,-1,-5,93,70,40,1017,1015,1013,10,10,5,18,10,,0.00,2,,285<br />
