IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,23,17,11,10,8,6,82,54,36,1023,1020,1018,,,,21,11,,0.00,,,26<br />
2003-1-2,23,17,10,9,7,3,88,52,31,1018,1016,1015,10,10,10,14,8,,0.00,2,,61<br />
2003-1-3,20,16,12,11,7,4,64,53,40,1019,1018,1017,10,10,10,6,5,,0.00,6,Rain,41<br />
2003-1-4,22,17,13,12,10,8,77,57,43,1023,1020,1019,10,10,10,16,6,,0.00,2,,180<br />
2003-1-5,22,16,11,14,12,8,82,66,56,1022,1020,1019,,,,14,6,,0.00,,,181<br />
2003-1-6,27,20,13,16,12,7,88,62,30,1022,1021,1019,,,,14,8,,0.00,,,36<br />
2003-1-7,26,18,11,10,8,6,82,51,28,1022,1019,1018,,,,27,13,,0.00,,,33<br />
2003-1-8,26,18,11,12,6,3,67,41,26,1020,1018,1015,,,,14,8,,0.00,,,54<br />
2003-1-9,25,20,16,9,7,4,59,42,28,1021,1019,1017,,,,32,24,,0.00,,,16<br />
2003-1-10,24,19,14,11,9,7,72,54,38,1022,1020,1017,,,,37,32,,0.00,,,20<br />
2003-1-11,28,21,14,8,6,3,67,35,21,1019,1017,1016,7,6,6,32,19,,0.00,0,,29<br />
2003-1-12,29,20,12,9,4,-4,54,34,18,1018,1017,1015,,,,16,8,,0.00,,,44<br />
2003-1-13,28,20,12,9,6,2,63,37,25,1019,1018,1016,,,,21,11,,0.00,,,25<br />
2003-1-14,23,18,14,13,11,10,88,63,44,1021,1020,1019,9,9,8,24,18,,0.00,0,,16<br />
2003-1-15,21,17,13,11,8,6,77,59,38,1022,1021,1019,10,10,10,21,6,,0.00,5,,4<br />
2003-1-16,19,16,12,10,7,7,77,56,46,1024,1022,1021,10,10,10,19,10,,0.00,4,,13<br />
2003-1-17,22,17,13,10,7,4,77,52,33,1025,1023,1021,10,10,10,26,14,,0.00,1,,16<br />
2003-1-18,22,14,8,8,7,4,76,50,35,1023,1021,1019,,,,19,11,,0.00,,,23<br />
2003-1-19,20,15,10,10,9,8,88,63,46,1020,1017,1015,6,6,6,35,16,,0.00,,,25<br />
2003-1-20,20,17,13,10,9,9,82,63,49,1013,1011,1010,10,10,10,35,23,,0.00,4,,15<br />
2003-1-21,21,16,12,10,8,6,82,55,38,1015,1014,1013,10,10,10,10,5,,0.00,4,,35<br />
2003-1-22,17,13,11,12,11,9,94,76,63,1020,1017,1016,10,10,10,27,13,47,0.00,6,Rain-Thunderstorm,8<br />
2003-1-23,21,13,7,9,8,7,100,63,40,1022,1019,1018,,,,21,11,,0.00,,,34<br />
2003-1-24,22,16,9,10,9,7,93,61,43,1020,1017,1015,,,,29,19,,0.00,,,23<br />
2003-1-25,23,18,13,10,8,7,82,52,38,1016,1014,1013,,,,32,23,,0.00,,,20<br />
2003-1-26,25,18,11,9,7,5,76,48,29,1013,1011,1008,,,,21,11,,0.00,,,94<br />
2003-1-27,22,19,15,16,4,-4,78,39,23,1010,1008,1007,10,10,10,26,14,,0.00,5,,13<br />
2003-1-28,20,14,9,4,1,-2,51,37,28,1012,1010,1009,,,,13,6,,0.00,,,111<br />
2003-1-29,22,18,14,6,4,1,48,37,30,1020,1015,1012,10,10,10,14,6,,0.00,6,,30<br />
2003-1-30,23,17,10,7,5,3,76,46,27,1025,1022,1020,,,,24,11,,0.00,,,27<br />
2003-1-31,25,20,16,2,0,-2,39,25,17,1028,1020,1017,,,,14,8,,0.00,,,90<br />
2003-2-1,24,17,10,3,1,-2,62,32,22,1019,1016,1014,,,,26,14,,0.00,,,27<br />
2003-2-2,24,17,9,16,8,1,64,50,25,1015,1013,1010,9,4,2,21,10,35,0.00,0,,165<br />
2003-2-3,20,17,13,-1,-3,-7,31,26,16,1017,1016,1014,9,7,5,21,11,,0.00,0,,4<br />
2003-2-4,20,18,15,4,3,1,48,38,28,1021,1018,1016,10,9,5,14,8,,0.00,2,,223<br />
2003-2-5,22,16,9,7,3,1,76,43,27,1024,1022,1020,,,,13,6,,0.00,,,51<br />
2003-2-6,25,17,8,5,2,-3,71,38,16,1020,1018,1016,,,,24,11,,0.00,,,35<br />
2003-2-7,24,17,9,9,2,-1,62,36,19,1016,1014,1011,,,,19,11,,0.00,,,109<br />
2003-2-8,20,18,15,3,1,0,39,32,26,1018,1016,1015,9,5,3,14,13,,0.00,0,,349<br />
2003-2-9,20,15,10,7,4,1,71,45,28,1020,1017,1012,,,,16,8,,0.00,,,17<br />
2003-2-10,20,14,9,7,5,3,76,49,35,1018,1016,1014,,,,23,11,,0.00,,,22<br />
2003-2-11,21,16,11,9,6,4,77,52,33,1019,1016,1014,,,,24,14,,0.00,,,37<br />
2003-2-12,23,17,12,10,7,3,67,44,27,1014,1009,1006,10,10,9,23,10,,0.00,5,,5<br />
2003-2-13,22,17,13,6,3,0,63,39,25,1015,1013,1012,10,9,8,11,8,,0.00,1,,56<br />
2003-2-14,21,16,11,9,6,2,77,49,30,1018,1016,1014,10,10,10,14,6,,0.00,2,,118<br />
2003-2-15,21,14,9,7,5,2,71,44,28,1018,1017,1015,10,10,10,19,8,,0.00,2,,9<br />
2003-2-16,21,16,11,8,6,2,76,48,30,1021,1020,1018,,,,26,13,35,0.00,,,20<br />
2003-2-17,22,17,13,8,6,2,72,47,31,1019,1016,1014,,,,29,23,,0.00,,,22<br />
2003-2-18,28,24,21,14,9,3,60,38,24,1010,1007,1004,8,6,4,27,14,47,0.00,,,199<br />
2003-2-19,23,19,16,9,4,-2,59,37,20,1011,1008,1005,7,5,4,27,8,48,0.00,0,,240<br />
2003-2-20,21,18,16,4,1,-4,39,31,18,1015,1012,1011,9,6,4,19,13,34,0.00,0,,204<br />
2003-2-21,21,16,11,5,3,1,51,38,33,1018,1016,1015,,,,13,6,,0.00,,,138<br />
2003-2-22,23,17,11,8,4,1,67,42,25,1021,1020,1018,10,9,8,19,6,,0.00,6,,42<br />
2003-2-23,23,16,9,12,5,1,71,45,23,1019,1015,1010,,,,24,10,,0.00,,,105<br />
2003-2-24,17,16,13,9,2,-3,72,43,26,1018,1015,1012,10,10,10,21,11,40,0.00,3,,331<br />
2003-2-25,16,12,9,2,-1,-2,58,39,29,1022,1020,1018,10,10,9,16,8,40,0.00,4,,246<br />
2003-2-26,17,13,11,3,1,0,54,40,32,1023,1021,1019,10,10,10,19,10,,0.00,4,,275<br />
2003-2-27,20,16,12,11,4,0,64,44,28,1023,1022,1020,10,10,10,21,11,,0.00,2,,16<br />
2003-2-28,21,14,8,6,2,0,76,40,25,1026,1024,1022,,,,27,18,40,0.00,,,22<br />
2003-3-1,26,18,10,5,2,0,71,33,18,1023,1020,1018,,,,24,18,,0.00,,,25<br />
2003-3-2,27,20,13,10,4,0,51,33,18,1015,1011,1008,,,,21,13,,0.00,,,210<br />
2003-3-3,25,20,16,10,5,2,52,35,29,1018,1014,1012,10,9,6,14,8,,0.00,1,,359<br />
2003-3-4,25,19,13,11,7,4,77,45,28,1020,1016,1014,,,,13,8,,0.00,,,34<br />
2003-3-5,25,19,14,11,9,5,82,51,28,1015,1012,1010,9,9,9,29,16,,0.00,0,,166<br />
2003-3-6,26,21,16,8,3,0,52,31,21,1016,1012,1010,10,10,10,21,8,39,0.00,1,,352<br />
2003-3-7,23,19,15,9,7,5,67,46,31,1021,1019,1018,,,,26,11,,0.00,,,20<br />
2003-3-8,27,20,13,14,7,2,82,39,21,1018,1014,1012,,,,14,10,,0.00,,,127<br />
2003-3-9,24,19,14,10,7,3,72,46,25,1018,1016,1014,,,,23,14,37,0.00,,,9<br />
2003-3-10,23,17,11,9,4,1,77,43,23,1018,1016,1014,,,,21,10,,0.00,,,26<br />
2003-3-11,24,18,13,11,8,4,82,49,31,1016,1014,1010,,,,26,21,34,0.00,,,14<br />
2003-3-12,19,17,14,8,6,3,67,50,35,1017,1015,1013,10,9,5,14,8,,0.00,5,,341<br />
2003-3-13,21,16,12,8,6,4,72,49,33,1021,1020,1018,10,10,10,10,6,,0.00,3,,151<br />
2003-3-14,27,19,11,10,5,1,67,39,18,1021,1019,1016,,,,14,11,,0.00,,,44<br />
2003-3-15,31,23,15,14,8,4,77,39,18,1019,1011,1008,9,9,9,29,18,,0.00,,,48<br />
2003-3-16,24,20,16,11,8,6,68,47,31,1015,1012,1011,10,10,10,26,13,,0.00,1,,6<br />
2003-3-17,26,19,12,12,7,-2,77,45,16,1016,1012,1009,,,,19,10,,0.00,,,132<br />
2003-3-18,28,23,19,15,3,-4,68,30,12,1013,1009,1005,10,7,4,37,14,63,0.00,1,,254<br />
2003-3-19,23,20,17,6,4,2,42,36,28,1015,1013,1011,8,5,3,14,8,,0.00,3,,214<br />
2003-3-20,21,17,13,7,4,0,67,41,26,1017,1015,1013,10,10,10,13,8,,0.00,1,,46<br />
2003-3-21,23,17,11,6,4,0,67,40,23,1017,1014,1011,10,10,10,19,11,35,0.00,1,,23<br />
2003-3-22,23,17,12,5,2,0,62,33,22,1018,1016,1014,10,10,10,16,11,37,0.00,1,,17<br />
2003-3-23,22,17,12,8,4,1,62,38,25,1019,1016,1013,,,,14,8,,0.00,,,95<br />
2003-3-24,23,18,13,15,11,5,88,58,42,1012,1006,1001,10,9,7,48,11,52,0.00,8,Rain,156<br />
2003-3-25,17,13,11,7,2,-4,67,48,24,1011,1007,1003,10,10,9,27,18,55,0.00,4,Rain,252<br />
2003-3-26,21,17,14,7,6,4,59,45,33,1018,1014,1012,10,10,10,16,8,,0.00,5,,246<br />
2003-3-27,25,19,13,9,6,3,63,38,28,1020,1017,1015,,,,21,8,,0.00,,,43<br />
2003-3-28,25,19,13,10,8,5,82,52,29,1016,1015,1012,,,,32,26,42,0.00,,,23<br />
2003-3-29,24,18,13,8,7,4,67,42,29,1015,1013,1011,,,,27,19,42,0.00,,,19<br />
2003-3-30,24,19,14,9,6,2,72,41,24,1015,1014,1012,,,,24,16,42,0.00,,,19<br />
2003-3-31,27,21,15,8,6,2,63,38,21,1017,1015,1013,10,10,10,21,13,,0.00,1,,24<br />
2003-4-1,29,19,10,10,6,2,82,38,20,1018,1015,1011,,,,32,19,,0.00,,,41<br />
2003-4-2,30,22,15,10,4,0,48,27,14,1013,1010,1008,,,,21,11,,0.00,,,131<br />
2003-4-3,34,26,18,14,9,4,77,37,17,1013,1010,1008,,,,11,5,,0.00,,,166<br />
2003-4-4,33,26,19,16,11,8,57,36,21,1010,1009,1008,,,,23,10,,0.00,,,187<br />
2003-4-5,32,28,25,20,18,14,74,52,35,1009,1007,1005,8,8,8,21,14,,0.00,0,,189<br />
2003-4-6,35,29,24,13,9,7,44,30,21,1007,1005,1003,9,7,6,29,13,27,0.00,0,,26<br />
2003-4-7,32,26,21,11,7,3,53,32,17,1009,1007,1005,5,4,3,40,29,58,0.00,0,,20<br />
2003-4-8,31,26,21,13,10,7,60,36,26,1011,1008,1006,9,5,5,32,21,,0.00,0,,11<br />
2003-4-9,28,22,17,10,6,3,55,34,20,1018,1016,1014,,,,39,26,,0.00,,,9<br />
2003-4-10,28,21,15,11,8,3,72,41,20,1019,1016,1014,,,,47,34,64,0.00,,,18<br />
2003-4-11,29,22,15,9,6,1,67,36,17,1017,1014,1010,,,,47,35,60,0.00,,,24<br />
2003-4-12,29,24,21,11,9,6,53,35,25,1012,1010,1008,,,,42,37,61,0.00,,,9<br />
2003-4-13,30,23,17,8,6,4,52,31,19,1013,1009,1006,,,,27,18,42,0.00,,,15<br />
