WGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-2,-5,-7,-8,-8,-9,-9,93,90,74,992,991,990,10,7,3,26,18,45,0.00,6,Snow,208<br />
2001-1-3,-1,-3,-4,-6,-8,-9,86,66,59,991,990,990,10,10,10,39,26,60,0.00,6,,126<br />
2001-1-4,-8,-10,-12,-10,-13,-15,86,82,73,1008,1002,996,10,7,1,37,29,,0.00,6,Snow,267<br />
2001-1-5,-10,-12,-13,-16,-18,-20,73,61,48,1010,1009,1008,10,10,10,34,23,,0.00,4,,125<br />
2001-1-6,-9,-10,-10,-12,-15,-17,86,67,57,1010,1010,1010,10,10,10,23,16,,0.00,6,,123<br />
2001-1-8,-11,-11,-12,-13,-13,-14,85,85,85,1013,1013,1012,7,6,6,45,39,,0.00,6,Snow,225<br />
2001-1-9,-15,-15,-15,-18,-19,-20,78,70,66,1018,1017,1015,10,10,10,32,27,,0.00,6,Snow,324<br />
2001-1-10,-12,-13,-13,-14,-14,-15,92,87,85,1002,1001,1000,7,6,5,39,34,55,0.00,6,Snow,312<br />
2001-1-11,-11,-12,-12,-15,-16,-17,73,70,67,999,996,994,10,9,1,37,29,,0.00,6,Snow,41<br />
2001-1-12,-14,-16,-16,-19,-19,-20,78,72,67,1001,1001,999,10,9,4,19,14,,0.00,5,Snow,151<br />
2001-1-13,-13,-14,-16,-15,-16,-18,92,84,79,985,983,982,9,7,5,37,21,,0.00,7,Snow,293<br />
2001-1-15,-15,-16,-16,-18,-19,-20,85,75,66,1003,1002,1001,10,10,9,26,21,,0.00,6,Snow,164<br />
2001-1-16,-14,-16,-16,-17,-19,-19,79,74,72,999,999,998,10,10,7,34,21,,0.00,6,Snow,106<br />
2001-1-17,-12,-13,-15,-15,-18,-19,85,73,67,1008,1005,1002,10,10,7,27,18,,0.00,6,Snow,174<br />
2001-1-18,-16,-18,-19,-22,-23,-25,72,64,60,1005,1004,1003,10,10,10,19,11,,0.00,0,,156<br />
2001-1-19,-12,-13,-13,-17,-18,-19,73,67,57,994,993,993,10,10,10,21,13,,0.00,6,,191<br />
2001-1-20,-14,-16,-18,-16,-18,-20,92,86,85,1004,1002,1001,7,5,3,29,23,,0.00,6,Snow,208<br />
2001-1-22,-17,-18,-19,-19,-20,-22,85,82,78,999,998,996,10,8,3,32,26,,0.00,5,Snow,137<br />
2001-1-23,-16,-17,-17,-20,-21,-21,78,72,66,999,998,995,10,10,10,19,16,,0.00,4,,24<br />
2001-1-24,-16,-17,-18,-19,-19,-20,85,80,78,994,993,993,10,9,5,24,19,,0.00,6,Snow,172<br />
2001-1-25,-18,-19,-20,-20,-21,-22,85,85,85,999,998,997,10,9,6,32,21,,0.00,6,Snow,203<br />
2001-1-26,-16,-17,-17,-19,-19,-20,85,81,78,996,995,995,10,10,10,16,14,,0.00,6,,196<br />
