WGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-2,-10,-11,-12,-15,-17,-19,79,66,53,1012,1012,1011,10,10,10,37,23,58,0.00,6,,111<br />
2001-1-3,-13,-14,-16,-17,-17,-18,92,79,73,1012,1011,1011,10,10,10,3,3,,0.00,2,,148<br />
2001-1-4,-13,-14,-14,-18,-18,-19,72,68,62,1013,1013,1012,10,10,10,8,5,,0.00,2,,251<br />
2001-1-5,-11,-13,-15,-17,-18,-20,67,62,53,1014,1013,1013,10,10,10,8,5,,0.00,1,,215<br />
2001-1-6,-13,-14,-14,-17,-17,-17,79,76,73,1016,1016,1016,10,10,10,6,6,,0.00,1,,235<br />
2001-1-8,-14,,-14,-18,-18,-18,72,72,72,1021,1021,1021,10,10,10,6,6,,0.00,3,,-1<br />
2001-1-9,-6,-8,-9,-9,-10,-13,93,87,73,1018,1018,1017,10,10,10,21,13,,0.00,6,,260<br />
2001-1-10,-4,-4,-5,-5,-5,-6,100,94,93,1012,1012,1011,10,10,10,6,5,,0.00,6,,170<br />
2001-1-11,1,0,-1,0,-1,-2,100,93,87,994,989,986,3,3,2,40,39,61,0.00,,Rain-Snow,85<br />
2001-1-12,2,1,1,1,0,-1,93,90,81,983,982,980,10,8,5,48,39,,0.00,6,Rain,77<br />
2001-1-13,,,,,,,,,,971,971,971,7,4,1,63,61,93,0.00,6,Rain,60<br />
2001-1-15,-3,-4,-4,-5,-5,-6,93,90,86,989,988,987,10,8,0,50,42,60,0.00,6,Snow,73<br />
2001-1-16,-5,-6,-7,-6,-7,-8,100,92,80,994,994,993,10,7,1,37,27,,0.00,6,Snow,90<br />
2001-1-17,-10,-12,-13,-11,-13,-15,93,87,79,1003,1001,998,10,10,10,21,11,,0.00,2,,230<br />
2001-1-18,-14,-16,-16,-18,-19,-20,72,72,72,1008,1007,1007,10,10,10,10,8,,0.00,3,,205<br />
2001-1-19,-5,-6,-6,-6,-6,-7,100,95,93,991,991,990,1,1,1,74,72,111,0.00,,Snow,63<br />
2001-1-20,-5,-6,-6,-6,-6,-7,100,93,86,997,996,995,1,1,0,47,40,64,0.00,,Snow,70<br />
2001-1-22,-3,-4,-4,-5,-5,-5,93,90,86,990,990,989,10,6,2,37,32,63,0.00,6,Snow,68<br />
2001-1-23,-1,-2,-3,-2,-3,-6,100,91,74,975,973,971,10,3,1,24,13,35,0.00,6,Snow,342<br />
2001-1-24,3,2,1,-1,-1,-2,87,80,70,975,975,974,10,7,1,55,50,89,0.00,6,Rain-Snow,67<br />
2001-1-25,0,0,0,-1,-2,-2,93,90,87,987,986,986,10,10,10,58,56,95,0.00,3,Snow,65<br />
2001-1-26,-2,-2,-2,-7,-7,-7,69,69,69,990,989,989,10,10,10,21,13,,0.00,6,,208<br />
2001-1-27,-1,-2,-2,-5,-6,-7,80,75,69,1002,1000,997,10,10,10,14,8,,0.00,6,,202<br />
2001-1-30,2,1,1,0,0,0,93,91,87,999,998,997,4,2,1,80,77,108,0.00,,Rain-Snow,70<br />
2001-2-1,1,0,0,0,0,0,100,94,93,996,995,992,10,8,1,35,23,,0.00,6,Rain-Snow,77<br />
2001-2-2,2,1,1,0,-1,-1,93,86,81,976,975,974,8,4,1,71,64,111,0.00,8,Rain-Snow,64<br />
2001-2-3,2,1,1,0,0,0,93,92,87,1000,999,997,8,4,2,50,48,71,0.00,6,Rain-Snow,60<br />
2001-2-4,0,0,0,0,0,0,100,100,100,1012,1012,1011,1,1,1,24,19,,0.00,,Snow,90<br />
2001-2-5,-2,-3,-4,-8,-8,-9,74,66,59,1020,1020,1019,10,10,10,26,18,,0.00,1,,90<br />
