CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,14,9,4,9,6,4,100,89,63,1017,1014,1008,10,10,10,11,5,,0.00,1,,295<br />
2001-1-2,14,8,3,10,6,2,100,87,67,1018,1017,1016,10,10,10,16,6,,0.00,2,,99<br />
2001-1-3,15,11,8,13,11,7,100,94,82,1017,1015,1014,10,10,7,24,10,35,0.00,3,Rain-Thunderstorm,213<br />
2001-1-4,13,9,5,12,9,5,100,97,93,1018,1015,1009,10,9,4,19,2,74,0.00,3,Rain,133<br />
2001-1-5,15,12,9,11,9,7,100,89,72,1017,1015,1009,10,10,7,10,2,,0.00,2,Rain,285<br />
2001-1-6,16,12,8,14,12,8,100,91,82,1017,1016,1015,10,10,10,21,10,,0.00,4,,125<br />
2001-1-7,18,13,9,13,11,8,100,84,59,1016,1014,1012,10,10,10,21,5,,0.00,3,,137<br />
2001-1-8,15,12,9,14,11,7,100,93,82,1013,1009,1007,10,9,5,24,13,,0.00,4,Rain-Thunderstorm,137<br />
2001-1-9,13,9,6,9,7,5,100,91,77,1022,1015,1009,10,10,10,2,0,,0.00,2,Rain-Thunderstorm,190<br />
2001-1-10,14,10,6,12,8,5,100,86,63,1023,1023,1022,10,10,10,11,2,,0.00,3,,119<br />
2001-1-11,16,13,12,13,12,11,94,90,77,1023,1022,1021,10,10,10,11,2,,0.00,5,Rain,116<br />
2001-1-12,14,11,8,12,10,7,94,90,82,1021,1017,1014,10,10,10,3,0,,0.00,4,,205<br />
2001-1-13,15,11,7,11,8,4,100,82,54,1014,1011,1010,10,10,10,8,2,,0.00,4,,291<br />
2001-1-14,14,10,6,8,6,4,100,78,51,1015,1011,1010,10,10,10,6,0,,0.00,5,,318<br />
2001-1-15,9,6,3,7,5,3,100,89,71,1020,1017,1015,10,10,10,3,0,,0.00,4,Rain,325<br />
2001-1-16,11,9,7,7,6,3,100,81,62,1022,1021,1020,10,10,10,0,0,,0.00,5,,-1<br />
2001-1-17,12,10,8,8,7,6,93,79,67,1022,1021,1020,10,10,9,24,8,,0.00,5,Rain-Thunderstorm,118<br />
2001-1-18,13,10,7,10,8,6,100,92,77,1021,1020,1019,10,10,10,3,2,,0.00,4,Rain-Thunderstorm,183<br />
2001-1-19,12,8,5,10,7,4,94,85,67,1021,1020,1019,10,10,6,14,3,,0.00,6,Rain,76<br />
2001-1-20,15,11,8,8,7,4,100,78,55,1019,1017,1017,10,10,10,3,2,,0.00,3,,298<br />
2001-1-21,15,10,6,10,8,5,100,88,63,1022,1019,1018,10,10,10,6,0,,0.00,2,,165<br />
2001-1-22,13,10,7,9,8,6,100,88,77,1023,1022,1022,10,10,10,6,0,,0.00,3,,204<br />
2001-1-23,13,9,6,11,8,5,93,85,77,1022,1018,1016,10,10,10,19,6,,0.00,3,,117<br />
2001-1-24,15,11,8,12,9,7,94,87,77,1019,1017,1017,10,10,8,14,3,,0.00,6,,136<br />
2001-1-25,15,13,11,13,11,9,94,89,82,1018,1017,1016,10,10,10,23,10,,0.00,3,,135<br />
2001-1-26,13,10,7,11,9,6,94,89,87,1016,1015,1014,10,9,5,14,6,,0.00,3,Rain,122<br />
2001-1-27,11,7,4,9,7,3,94,89,82,1014,1010,1005,10,8,4,19,3,,0.00,3,Rain,112<br />
2001-1-28,12,10,8,8,6,4,93,80,58,1006,1004,1000,10,8,0,35,5,,0.00,4,Fog-Rain,126<br />
2001-1-29,14,11,9,10,8,7,94,86,76,1001,999,998,10,9,5,32,14,50,0.00,6,Rain,114<br />
2001-1-30,12,10,8,8,7,6,93,85,72,1004,1001,999,10,9,7,19,3,,0.00,4,Rain-Thunderstorm,111<br />
2001-1-31,13,9,5,9,6,3,93,84,62,1007,1005,1004,10,10,10,10,2,,0.00,2,,172<br />
2001-2-1,8,7,5,7,4,0,100,86,61,1008,1007,1006,10,9,4,10,2,,0.00,5,Rain,323<br />
2001-2-2,8,6,2,2,-6,-10,81,49,27,1019,1013,1008,10,10,10,11,5,27,0.00,1,,333<br />
2001-2-3,7,2,-2,4,-1,-7,93,78,52,1020,1019,1017,10,10,10,19,5,,0.00,4,,346<br />
2001-2-4,12,9,6,10,7,4,94,88,82,1019,1018,1017,10,9,5,10,3,,0.00,5,,94<br />
2001-2-5,14,11,8,11,9,7,94,88,77,1020,1018,1017,10,10,10,13,5,,0.00,3,,137<br />
2001-2-6,15,10,6,11,8,5,94,86,67,1025,1022,1020,10,10,8,8,2,,0.00,2,,131<br />
2001-2-7,15,10,6,11,8,4,94,86,77,1025,1024,1022,10,10,10,14,3,,0.00,2,,145<br />
2001-2-8,14,9,5,10,6,1,94,76,41,1021,1016,1014,10,10,10,34,11,,0.00,3,,129<br />
2001-2-9,13,11,9,10,8,7,94,87,77,1016,1015,1014,10,10,7,24,13,,0.00,3,Rain-Thunderstorm,136<br />
2001-2-10,16,11,6,8,6,4,93,73,48,1025,1019,1016,10,10,10,13,3,,0.00,3,Rain-Thunderstorm,3<br />
2001-2-11,17,13,10,7,6,3,76,60,39,1030,1027,1025,10,10,10,19,5,,0.00,3,,353<br />
2001-2-12,15,9,4,10,6,3,100,78,55,1031,1029,1026,,,,10,3,,0.00,,,267<br />
2001-2-13,14,9,4,12,8,3,100,89,72,1026,1020,1017,10,8,5,10,2,,0.00,3,,276<br />
2001-2-14,15,10,5,11,7,4,100,85,59,1022,1020,1017,9,6,5,10,2,,0.00,2,,312<br />
2001-2-15,15,10,6,9,7,4,93,83,63,1028,1025,1023,10,7,4,13,3,,0.00,2,,284<br />
2001-2-16,14,9,5,8,6,3,93,81,55,1030,1029,1028,10,9,6,11,3,,0.00,2,,285<br />
2001-2-17,14,9,4,9,6,2,93,84,59,1028,1025,1024,10,9,7,10,2,,0.00,3,,164<br />
2001-2-18,14,9,5,8,5,3,100,79,48,1024,1023,1023,10,9,6,13,3,,0.00,1,,290<br />
2001-2-19,15,9,3,10,6,2,100,81,48,1026,1024,1023,9,7,6,23,5,,0.00,1,,282<br />
2001-2-20,14,9,4,10,6,3,100,83,62,1025,1021,1018,10,9,7,13,5,,0.00,2,,290<br />
2001-2-21,15,10,5,8,2,-3,93,62,29,1021,1019,1018,10,10,10,19,8,,0.00,1,,295<br />
2001-2-22,14,10,6,10,6,1,94,78,62,1018,1013,1009,10,10,10,23,10,,0.00,3,,295<br />
2001-2-23,13,11,10,11,9,6,100,88,63,1009,1003,1000,10,9,5,8,2,,0.00,3,Rain,123<br />
2001-2-24,12,11,10,10,9,7,94,86,76,1002,1000,998,10,8,6,13,5,,0.00,5,,188<br />
2001-2-25,11,10,8,9,8,6,100,92,87,1002,1001,1000,10,9,4,13,5,,0.00,4,Rain,134<br />
2001-2-26,9,7,4,7,3,1,93,80,62,1005,1001,998,10,10,6,26,11,37,0.00,3,Rain-Thunderstorm,293<br />
2001-2-27,10,5,0,0,-1,-4,93,65,37,1008,1007,1006,10,10,10,19,6,,0.00,2,,107<br />
2001-2-28,11,8,5,9,6,0,94,86,57,1005,1000,998,10,9,4,34,19,53,0.00,5,Rain,112<br />
2001-3-1,12,8,4,7,5,3,93,84,62,1009,1004,1001,10,9,5,27,5,,0.00,2,Rain-Thunderstorm,276<br />
