ICT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,32,29,27,26,24,24,89,74,62,1010,1008,1006,10,10,10,24,11,,0.00,5,,73<br />
2001-1-2,32,29,27,26,24,23,89,73,59,1011,1009,1007,10,9,8,19,11,,0.00,6,,81<br />
2001-1-3,34,29,25,24,22,18,89,71,43,1012,1010,1008,10,10,8,23,10,,0.00,4,,60<br />
2001-1-4,32,28,25,24,22,20,89,76,49,1012,1010,1008,10,10,9,21,8,,0.00,4,,89<br />
2001-1-5,35,30,25,25,24,19,94,80,39,1012,1010,1008,10,10,9,21,6,,0.00,2,,105<br />
2001-1-6,33,28,24,27,24,22,100,80,52,1012,1010,1008,10,9,2,19,5,,0.00,4,Rain,44<br />
2001-1-7,33,29,26,26,25,24,94,79,59,1012,1010,1007,10,10,9,19,11,,0.00,6,,84<br />
2001-1-8,34,30,26,27,26,24,94,79,56,1011,1009,1006,10,10,10,19,8,,0.00,5,,51<br />
2001-1-9,35,31,27,27,24,19,94,73,39,1011,1010,1008,10,10,10,13,5,,0.00,4,,70<br />
2001-1-10,35,30,26,27,26,24,100,80,59,1012,1010,1007,10,10,10,23,6,,0.00,4,,315<br />
2001-1-11,35,30,26,27,26,24,100,77,59,1010,1009,1007,10,10,10,14,6,,0.00,5,,308<br />
2001-1-12,34,30,26,26,25,23,94,77,55,1011,1009,1007,10,10,9,14,5,,0.00,6,Rain,305<br />
2001-1-13,33,29,26,26,26,24,100,84,59,1011,1010,1008,10,10,9,10,2,,0.00,6,,338<br />
2001-1-14,32,29,26,26,26,24,100,91,62,1011,1010,1008,10,8,1,29,6,,0.00,6,Rain,343<br />
2001-1-15,33,29,26,28,26,25,100,93,75,1012,1010,1007,10,9,2,16,6,,0.00,6,Rain,98<br />
2001-1-16,33,29,26,27,25,23,100,79,55,1012,1011,1008,10,9,7,23,13,,0.00,6,Rain,85<br />
2001-1-17,34,30,26,27,25,22,94,79,49,1013,1011,1009,10,10,9,16,8,,0.00,6,,50<br />
2001-1-18,33,30,27,25,24,22,89,71,55,1011,1010,1008,10,10,9,16,10,,0.00,6,,47<br />
