CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-3,8,7,5,6,5,4,100,96,81,998,995,992,10,6,2,13,11,,0.00,7,Rain,192<br />
2001-1-4,3,2,2,3,2,1,100,98,93,1000,998,997,10,5,3,19,18,,0.00,6,Rain,136<br />
2001-1-5,5,5,5,5,5,4,100,99,93,994,993,991,7,5,4,19,13,,0.00,6,Rain,142<br />
2001-1-8,5,4,4,4,4,4,100,98,93,1005,1004,1004,10,7,5,21,19,,0.00,6,Rain,217<br />
2001-1-9,6,3,3,4,3,3,100,96,87,1006,1005,1005,10,10,10,14,13,,0.00,5,,260<br />
2001-1-10,-4,,-4,-4,-4,-4,100,100,100,1015,1015,1015,,,,0,0,,0.00,,,-1<br />
2001-1-11,3,-1,-4,2,0,-4,100,92,87,1022,1021,1021,10,10,10,23,16,,0.00,2,,288<br />
2001-1-12,-2,,-2,-2,-2,-2,100,100,100,1029,1029,1029,,,,0,0,,0.00,,,-1<br />
2001-1-15,-4,-4,-4,-4,-4,-5,100,96,93,1034,1034,1034,0,0,0,6,2,,0.00,,Fog,80<br />
2001-1-16,-3,-3,-3,-3,-3,-3,100,100,100,1029,1029,1028,1,1,1,8,6,,0.00,8,Fog,120<br />
2001-1-17,-2,-3,-4,-3,-3,-5,100,97,93,1025,1024,1023,10,8,5,13,11,,0.00,3,,102<br />
2001-1-19,-1,,-1,-1,-1,-1,100,100,100,1024,1024,1024,3,3,3,8,8,,0.00,6,Snow,100<br />
2001-1-22,-1,,-1,-2,-2,-2,93,93,93,1017,1017,1017,5,5,5,19,19,,0.00,6,,110<br />
2001-1-23,2,0,0,1,1,0,100,96,93,1001,1001,1001,1,1,1,19,18,,0.00,6,Rain-Snow,130<br />
2001-1-24,8,6,6,6,6,5,93,90,87,986,986,985,10,6,3,26,21,45,0.00,6,Rain,0<br />
2001-1-25,4,3,2,4,2,2,100,95,87,1001,1000,1000,10,5,0,14,13,,0.00,7,Fog-Rain,164<br />
2001-1-26,3,2,2,3,2,2,100,98,93,1000,1000,999,3,1,0,16,13,,0.00,6,Fog,183<br />
2001-1-29,2,1,1,1,1,1,100,96,93,1013,1013,1013,6,5,5,0,0,,0.00,6,,-1<br />
2001-1-30,3,1,0,3,2,0,100,100,100,1021,1020,1019,8,4,0,8,3,,0.00,6,Fog,197<br />
2001-1-31,1,1,1,1,1,0,100,96,93,1023,1023,1023,3,2,1,8,6,,0.00,6,,200<br />
2001-2-1,-2,,-2,-5,-5,-5,80,80,80,1025,1025,1025,10,10,10,19,19,,0.00,3,,20<br />
2001-2-2,-5,,-5,-10,-10,-10,68,68,68,1022,1022,1022,10,10,10,16,16,,0.00,1,,50<br />
2001-2-5,-5,-5,-5,-5,-5,-6,100,99,93,994,993,993,1,0,0,50,45,80,0.00,6,Snow,100<br />
2001-2-6,3,-1,-1,3,1,-1,100,100,100,995,993,991,2,2,1,16,14,,0.00,7,Rain-Snow,133<br />
