IRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,14,7,-1,-1,-6,-11,100,49,17,1018,1015,1014,10,7,4,14,5,,0.00,3,,233<br />
2001-1-2,13,7,2,0,-4,-5,87,47,29,1022,1020,1018,10,10,10,26,8,,0.00,3,,334<br />
2001-1-3,13,6,-1,1,-2,-6,100,65,26,1024,1022,1021,8,6,0,11,3,,0.00,0,,176<br />
2001-1-4,13,7,1,2,-2,-5,100,60,31,1020,1017,1014,10,7,2,6,2,,0.00,4,,52<br />
2001-1-5,8,4,0,3,1,-3,100,81,57,1020,1017,1015,10,7,3,14,5,,0.00,5,,179<br />
2001-1-6,5,2,0,3,2,0,100,96,76,1023,1022,1020,5,2,0,11,2,,0.00,5,Fog,222<br />
2001-1-7,9,4,-1,1,-2,-6,100,78,34,1024,1022,1021,8,3,0,14,5,,0.00,4,Fog,237<br />
2001-1-8,11,3,-3,0,-9,-79,100,54,4,1023,1021,1019,8,5,4,11,3,,0.00,3,,153<br />
2001-1-9,9,3,-3,-2,-4,-7,93,64,32,1025,1023,1022,8,6,2,11,3,,0.00,1,,200<br />
2001-1-10,11,4,-1,-1,-4,-8,100,60,26,1024,1022,1020,8,5,3,11,3,,0.00,0,,78<br />
2001-1-11,16,7,-2,-2,-6,-11,93,50,15,1019,1017,1015,8,7,2,14,5,,0.00,0,,224<br />
2001-1-12,12,6,-1,-2,-4,-24,93,56,15,1020,1018,1017,5,5,4,11,2,,0.00,3,,133<br />
2001-1-13,16,7,-1,-1,-5,-9,87,47,19,1022,1019,1018,6,5,4,18,3,,0.00,0,,219<br />
2001-1-14,13,7,0,-1,-4,-8,87,52,26,1022,1020,1017,10,7,4,11,5,,0.00,3,,324<br />
2001-1-15,12,6,0,3,-2,-6,100,66,30,1024,1020,1017,10,9,6,26,6,,0.00,6,,192<br />
2001-1-16,10,4,-1,3,-1,-3,100,90,43,1028,1026,1024,10,6,0,26,14,,0.00,8,Fog,166<br />
2001-1-17,6,2,-1,0,-6,-13,100,63,31,1027,1026,1024,10,6,3,18,8,,0.00,6,,168<br />
2001-1-18,8,2,-3,-5,-8,-12,75,48,31,1023,1018,1014,8,6,4,11,3,,0.00,6,,347<br />
2001-1-19,8,4,0,0,-4,-8,100,58,32,1020,1018,1017,10,9,4,18,5,,0.00,3,,199<br />
2001-1-20,1,0,-1,1,-1,-2,100,95,81,1023,1020,1018,10,4,0,14,8,,0.00,8,Snow,177<br />
2001-1-21,1,-1,-3,-1,-2,-4,100,95,70,1024,1023,1022,10,5,0,18,6,,0.00,7,Fog-Snow,154<br />
2001-1-22,3,-1,-4,-2,-4,-8,100,84,45,1023,1021,1018,8,5,1,14,10,,0.00,5,Fog,153<br />
2001-1-23,6,0,-5,-1,-5,-10,100,75,31,1023,1021,1020,8,4,0,6,0,,0.00,0,Fog,240<br />
2001-1-24,0,-6,-13,-1,-6,-13,100,98,93,1028,1025,1020,7,3,0,26,10,,0.00,7,Snow,164<br />
2001-1-25,-3,-9,-14,-10,-12,-14,100,82,55,1028,1027,1026,8,5,4,11,3,,0.00,5,,128<br />
2001-1-26,-3,-7,-11,-6,-10,-16,100,80,49,1029,1028,1027,10,4,0,18,6,,0.00,7,Fog-Snow,173<br />
2001-1-27,-6,-8,-9,-7,-9,-10,100,96,80,1028,1026,1024,4,2,0,84,24,,0.00,8,Fog-Snow,183<br />
2001-1-28,-7,-10,-13,-8,-9,-13,100,98,92,1023,1022,1021,8,3,0,14,10,,0.00,7,Snow,182<br />
2001-1-29,-7,-10,-13,-9,-11,-13,100,94,86,1026,1025,1023,10,5,2,14,3,,0.00,5,Snow,136<br />
2001-1-30,-2,-10,-17,-8,-12,-17,100,84,47,1026,1024,1023,4,3,1,11,2,,0.00,0,,195<br />
2001-1-31,2,-6,-13,-5,-9,-13,100,78,44,1023,1022,1021,8,5,2,11,5,,0.00,0,,177<br />
2001-2-1,8,-1,-10,-6,-9,-11,100,62,27,1021,1019,1017,8,4,2,11,2,,0.00,2,,221<br />
2001-2-2,11,3,-3,-3,-8,-12,70,46,26,1017,1016,1015,7,6,6,14,8,,0.00,1,,216<br />
2001-2-3,10,3,-3,0,-4,-7,93,63,30,1016,1014,1013,8,7,5,11,3,,0.00,0,,180<br />
2001-2-4,10,4,-2,3,-3,-8,100,63,35,1012,1010,1008,10,7,4,14,3,,0.00,4,,208<br />
2001-2-5,7,3,1,4,1,-3,100,80,53,1020,1015,1010,10,9,0,32,16,,0.00,5,Fog-Rain,349<br />
2001-2-6,5,2,0,1,-1,-5,100,82,52,1025,1022,1019,7,5,1,14,8,,0.00,6,,125<br />
2001-2-7,7,3,0,2,-2,-6,100,76,39,1025,1024,1024,7,5,2,11,6,,0.00,5,,154<br />
2001-2-8,10,4,-1,3,-2,-7,100,72,30,1028,1026,1024,10,6,1,14,5,,0.00,2,,162<br />
2001-2-9,8,4,1,3,-1,-8,100,74,34,1034,1031,1028,10,10,10,21,8,,0.00,6,,105<br />
2001-2-10,6,2,-2,1,-4,-9,100,69,42,1034,1032,1031,10,8,4,18,11,,0.00,4,,183<br />
2001-2-11,9,2,-5,-5,-11,-23,100,55,11,1032,1031,1029,10,9,8,11,3,,0.00,1,,149<br />
2001-2-12,7,3,-1,-6,-11,-17,69,38,17,1028,1026,1025,6,6,6,14,3,,0.00,,,186<br />
2001-2-13,11,3,-3,-3,-8,-14,93,54,17,1026,1023,1021,8,7,6,11,3,,0.00,0,,264<br />
2001-2-14,16,7,-2,-5,-11,-21,75,35,7,1020,1016,1013,7,6,5,14,3,,0.00,2,,198<br />
2001-2-15,16,9,2,0,-6,-9,75,39,19,1018,1012,1009,10,8,4,29,8,,0.00,2,,339<br />
2001-2-16,7,4,2,3,2,0,100,79,61,1023,1021,1018,10,8,4,29,14,,0.00,5,,160<br />
2001-2-17,14,7,-1,3,-3,-10,100,60,20,1021,1020,1018,10,8,2,14,5,,0.00,3,,331<br />
2001-2-18,13,7,2,1,-2,-4,93,56,33,1021,1018,1014,10,8,5,26,11,,0.00,4,,185<br />
2001-2-19,8,6,4,5,3,-1,100,82,57,1018,1013,1009,10,9,3,29,10,,0.00,8,Rain,12<br />
2001-2-20,15,8,2,3,-3,-8,100,47,20,1018,1014,1010,10,6,2,11,3,,0.00,7,,165<br />
2001-2-21,19,11,4,6,-2,-11,87,53,13,1009,1004,1000,10,8,4,26,10,,0.00,5,Rain,269<br />
2001-2-22,13,7,2,6,-2,-13,100,64,15,1009,1006,1001,10,7,3,40,13,,0.00,2,Rain,173<br />
2001-2-23,12,6,0,2,-8,-15,100,45,15,1015,1013,1009,7,6,6,18,8,,0.00,0,,84<br />
2001-2-24,16,7,-2,-7,-16,-25,69,23,5,1018,1015,1013,10,10,10,21,5,,0.00,1,,317<br />
2001-2-25,18,9,0,-7,-12,-21,52,24,6,1021,1019,1017,,,,14,6,,0.00,,,151<br />
2001-2-26,18,9,0,-7,-11,-12,56,26,12,1016,1014,1012,10,8,5,14,5,,0.00,2,,30<br />
2001-2-27,18,10,2,-5,-8,-9,56,30,16,1022,1020,1016,10,10,10,11,3,,0.00,1,,145<br />
2001-2-28,17,10,4,-4,-7,-8,49,32,20,1023,1022,1021,10,7,6,18,8,,0.00,7,,336<br />
2001-3-1,21,11,2,-4,-7,-10,60,31,12,1028,1025,1022,10,6,5,72,10,,0.00,4,,80<br />
