GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,24,18,12,12,9,6,82,63,33,1020,1018,1016,10,9,7,23,14,,0.00,2,,345<br />
2001-1-2,24,17,10,13,9,8,88,66,36,1019,1017,1016,8,8,8,21,10,,0.00,1,,355<br />
2001-1-3,26,19,12,12,8,3,94,56,23,1020,1017,1016,7,4,1,23,11,,0.00,1,Fog,134<br />
2001-1-4,25,20,15,12,9,3,77,53,34,1019,1017,1016,,,,23,13,,0.00,,,154<br />
2001-1-5,25,19,14,9,6,3,67,43,28,1019,1018,1016,10,10,10,19,13,,0.00,2,,358<br />
2001-1-6,23,17,12,11,8,4,82,60,29,1021,1019,1017,10,8,5,37,10,61,0.00,1,,318<br />
2001-1-7,23,17,11,11,8,4,94,61,29,1020,1017,1015,10,7,3,19,6,,0.00,1,Fog,356<br />
2001-1-8,24,17,10,10,7,5,82,56,29,1016,1015,1014,10,7,6,24,11,,0.00,3,,136<br />
2001-1-9,24,20,17,13,11,8,68,56,41,1017,1015,1014,10,9,8,35,14,,0.00,4,Rain,167<br />
2001-1-10,22,16,10,12,11,7,100,73,38,1020,1017,1016,10,6,0,26,13,,0.00,1,Fog,226<br />
2001-1-11,23,17,11,12,9,5,94,65,31,1021,1019,1016,10,8,3,21,11,,0.00,1,,1<br />
2001-1-12,24,17,11,10,7,2,82,56,24,1020,1019,1017,,,,21,13,,0.00,,,12<br />
2001-1-13,24,18,13,11,7,1,88,56,22,1021,1019,1018,8,7,7,19,13,,0.00,0,,356<br />
2001-1-14,23,18,13,11,8,4,82,59,29,1021,1020,1018,10,8,7,24,13,,0.00,0,,2<br />
2001-1-15,24,17,11,11,8,2,82,58,24,1022,1020,1019,9,8,7,19,13,37,0.00,0,,357<br />
2001-1-16,23,17,10,12,8,4,88,64,29,1023,1020,1018,9,7,6,16,8,,0.00,0,,339<br />
2001-1-17,23,16,9,12,9,3,94,69,31,1022,1019,1017,8,4,0,13,8,,0.00,0,Fog,6<br />
2001-1-18,25,18,11,12,9,4,100,66,27,1020,1018,1015,8,5,1,14,8,,0.00,0,Fog,356<br />
2001-1-19,25,18,11,11,6,-1,88,53,19,1019,1017,1015,8,5,4,14,10,,0.00,0,,77<br />
2001-1-20,26,19,13,13,4,0,82,44,18,1019,1017,1016,8,7,7,24,13,,0.00,0,,47<br />
2001-1-21,24,17,11,12,9,6,94,66,31,1021,1019,1017,10,7,4,24,8,,0.00,2,,318<br />
2001-1-22,24,17,11,10,7,1,94,58,25,1020,1018,1016,8,7,5,16,8,,0.00,0,,360<br />
2001-1-23,24,17,11,12,8,2,94,58,24,1019,1017,1016,8,6,5,14,8,,0.00,0,,352<br />
2001-1-24,26,19,12,12,6,0,77,50,19,1021,1019,1017,8,8,8,16,13,,0.00,0,,8<br />
2001-1-25,24,18,12,15,12,10,100,76,44,1020,1019,1017,8,5,0,24,11,,0.00,1,Fog,355<br />
2001-1-26,23,17,10,11,7,4,88,61,29,1019,1017,1015,8,6,4,16,8,,0.00,0,,354<br />
2001-1-27,26,18,11,13,6,-1,77,53,17,1019,1017,1015,9,8,7,29,13,,0.00,4,,11<br />
2001-1-28,20,17,13,14,8,5,82,60,40,1020,1018,1017,10,9,7,29,19,50,0.00,4,,308<br />
2001-1-29,21,16,11,6,2,-4,67,42,20,1022,1020,1018,10,10,10,24,11,,0.00,4,,7<br />
2001-1-30,23,16,8,1,-2,-8,57,35,14,1024,1021,1020,7,7,7,27,14,40,0.00,0,,7<br />
2001-1-31,21,14,9,8,4,1,67,50,35,1023,1020,1019,10,10,10,23,16,,0.00,1,,351<br />
2001-2-1,24,17,10,10,7,2,82,59,24,1021,1019,1017,7,7,7,27,13,,0.00,0,,354<br />
2001-2-2,25,18,10,9,6,2,77,54,22,1020,1018,1016,,,,21,11,,0.00,,,350<br />
2001-2-3,23,16,8,12,8,2,100,68,25,1019,1017,1015,8,4,0,14,8,,0.00,0,Fog,344<br />
2001-2-4,24,17,10,9,2,-5,88,46,14,1017,1015,1012,8,5,4,14,10,,0.00,0,,17<br />
2001-2-5,26,19,13,10,-2,-10,72,31,10,1016,1014,1012,9,7,7,24,14,,0.00,0,,297<br />
2001-2-6,23,17,11,11,8,4,88,63,31,1020,1017,1016,10,8,5,26,8,,0.00,1,,301<br />
2001-2-7,22,16,10,8,6,3,76,55,29,1020,1018,1017,10,10,10,14,5,,0.00,2,,306<br />
2001-2-8,25,18,11,11,7,0,94,54,19,1020,1018,1016,8,6,5,14,8,,0.00,0,,12<br />
2001-2-9,30,22,14,9,5,-3,63,38,14,1020,1018,1017,,,,16,11,,0.00,,,47<br />
2001-2-10,31,24,18,13,8,5,57,40,19,1020,1017,1015,6,6,6,16,11,,0.00,6,,136<br />
2001-2-11,29,23,18,16,9,3,83,45,24,1018,1016,1014,8,8,7,26,14,,0.00,3,,214<br />
2001-2-12,21,17,13,15,9,5,83,60,35,1019,1017,1016,10,8,6,35,18,50,0.00,2,,298<br />
2001-2-13,24,17,11,13,7,3,82,56,27,1021,1019,1016,10,9,5,19,8,32,0.00,3,,359<br />
2001-2-14,27,19,12,8,4,-1,72,40,17,1018,1017,1014,,,,19,13,,0.00,,,109<br />
2001-2-15,26,19,12,9,6,2,77,47,21,1019,1017,1015,7,7,7,19,8,,0.00,6,,295<br />
2001-2-16,27,21,15,11,5,-4,64,40,13,1020,1018,1016,,,,21,11,,0.00,,,21<br />
2001-2-17,28,21,14,14,9,3,94,56,21,1019,1017,1015,8,6,3,14,10,,0.00,1,,358<br />
2001-2-18,30,23,16,11,8,5,59,39,25,1017,1015,1013,9,8,7,26,13,40,0.00,1,,164<br />
2001-2-19,28,23,19,15,12,8,78,54,35,1018,1016,1015,10,7,6,32,16,,0.00,1,,200<br />
2001-2-20,30,22,15,14,9,7,88,43,23,1018,1016,1014,8,6,5,19,10,,0.00,1,,335<br />
2001-2-21,32,26,19,13,8,3,53,37,16,1014,1011,1008,8,6,4,39,16,58,0.00,1,,149<br />
2001-2-22,29,24,20,14,12,8,68,48,32,1013,1012,1010,8,7,6,27,14,,0.00,1,,208<br />
2001-2-23,30,23,17,16,14,8,82,59,35,1015,1013,1011,10,7,5,29,14,,0.00,2,,292<br />
2001-2-24,27,22,16,15,8,0,88,51,17,1018,1016,1013,8,7,4,27,13,,0.00,1,,322<br />
2001-2-25,27,19,12,13,9,0,94,61,17,1017,1015,1013,8,5,0,21,11,,0.00,2,Fog,349<br />
2001-2-26,25,18,12,13,9,5,88,63,28,1017,1016,1014,10,7,6,27,8,,0.00,3,,300<br />
2001-2-27,27,19,11,12,9,2,94,61,20,1018,1016,1015,8,7,5,21,8,,0.00,1,,347<br />
2001-2-28,30,21,12,13,9,-1,100,60,14,1021,1018,1016,9,5,0,14,10,,0.00,2,Fog,22<br />
2001-3-1,30,22,15,11,4,0,63,34,14,1022,1020,1018,,,,19,10,,0.00,,,158<br />
2001-3-2,30,24,18,7,0,-4,40,22,11,1022,1019,1017,,,,23,13,,0.00,,,137<br />
2001-3-3,32,26,19,4,-1,-7,33,20,10,1020,1018,1016,,,,24,13,,0.00,,,119<br />
2001-3-4,32,26,19,6,1,-5,37,22,11,1021,1018,1016,8,6,5,32,14,,0.00,2,,346<br />
2001-3-5,30,23,17,13,4,-2,60,31,13,1020,1017,1015,8,8,7,23,10,,0.00,4,,323<br />
2001-3-6,29,22,16,14,6,-2,82,43,14,1018,1016,1015,8,7,5,29,11,37,0.00,0,,299<br />
2001-3-7,29,22,15,13,6,1,68,41,16,1017,1015,1013,,,,19,8,,0.00,,,305<br />
