JST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,19,17,16,9,7,6,59,52,45,1018,1016,1014,10,10,10,29,24,52,0.00,4,,19<br />
2001-1-2,22,18,15,11,11,10,77,60,46,1018,1017,1015,10,10,10,13,8,,0.00,2,,28<br />
2001-1-3,22,20,18,14,13,12,77,61,56,1018,1016,1015,10,10,10,11,10,,0.00,4,,94<br />
2001-1-4,19,18,17,17,15,12,94,82,68,1020,1019,1017,10,9,5,37,29,58,0.00,6,Rain,59<br />
2001-1-5,21,20,19,16,15,14,78,72,68,1021,1019,1018,10,10,10,37,34,55,0.00,6,Rain,94<br />
2001-1-6,24,22,21,18,17,17,78,71,65,1019,1017,1015,10,10,10,39,29,53,0.00,6,Rain,125<br />
2001-1-7,23,21,19,21,19,17,100,86,78,1015,1013,1011,10,9,3,29,23,,0.00,6,Rain,352<br />
2001-1-8,22,20,19,15,14,13,73,67,60,1017,1015,1014,10,10,10,23,21,,0.00,5,,53<br />
2001-1-9,24,22,20,20,19,17,88,82,78,1014,1013,1011,10,10,10,21,13,,0.00,4,,56<br />
2001-1-10,19,18,18,15,15,14,83,79,73,1015,1014,1013,10,10,10,24,21,,0.00,6,Rain,23<br />
2001-1-11,23,20,17,18,16,14,94,80,69,1015,1013,1012,10,10,10,32,19,53,0.00,5,Rain,55<br />
2001-1-12,21,19,18,14,12,11,73,63,53,1018,1016,1014,10,10,10,29,24,45,0.00,2,,82<br />
2001-1-13,21,19,17,18,13,8,83,68,55,1017,1013,1010,10,10,10,37,24,55,0.00,5,Rain,355<br />
2001-1-14,18,17,15,8,7,5,63,53,48,1023,1022,1020,10,10,10,26,21,,0.00,4,,5<br />
2001-1-15,16,14,13,6,6,5,63,56,51,1027,1025,1024,10,10,10,24,19,,0.00,5,,359<br />
2001-1-16,17,16,14,7,6,5,59,54,48,1028,1026,1025,10,10,10,24,19,37,0.00,4,,9<br />
2001-1-17,19,16,12,8,7,6,72,54,46,1027,1025,1023,10,10,10,19,10,,0.00,2,,41<br />
2001-1-18,22,20,18,11,11,10,64,53,46,1023,1021,1020,10,10,10,21,16,,0.00,1,,94<br />
2001-1-19,23,22,22,15,14,14,64,61,57,1023,1022,1020,10,10,10,21,18,39,0.00,2,,126<br />
2001-1-20,24,21,19,18,17,15,88,71,61,1018,1017,1015,10,10,6,26,14,,0.00,2,Rain,220<br />
2001-1-21,19,18,18,14,13,12,77,72,68,1018,1017,1016,10,10,10,21,18,,0.00,5,,32<br />
2001-1-22,22,19,16,16,14,12,82,71,64,1016,1014,1012,10,10,10,26,11,,0.00,3,,151<br />
2001-1-23,22,20,19,18,17,17,94,77,73,1018,1016,1015,10,10,10,23,18,,0.00,5,Rain,51<br />
2001-1-24,24,22,20,19,18,17,83,75,69,1017,1014,1012,10,10,10,34,18,,0.00,4,,133<br />
2001-1-25,24,23,22,22,21,19,94,85,78,1011,1009,1006,10,9,3,26,23,,0.00,5,Rain-Thunderstorm,197<br />
