AZOT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,16,13,12,10,8,6,88,73,59,1018,1011,1007,10,9,5,47,40,55,1.78,5,Rain,304<br />
2001-1-2,18,16,14,17,14,9,100,86,72,1015,1011,1009,10,9,6,32,21,37,2.03,7,Rain,246<br />
2001-1-3,18,16,14,14,11,8,88,70,55,1014,1012,1009,10,10,10,34,16,42,0.00,6,,268<br />
2001-1-4,19,17,14,17,13,1,94,78,32,1011,1006,1002,10,9,6,45,29,52,1.27,7,Rain,262<br />
2001-1-5,14,12,10,9,8,5,82,72,62,1026,1018,1011,10,10,8,40,27,47,1.27,5,Rain-Thunderstorm,316<br />
2001-1-6,14,10,7,13,8,6,94,81,67,1026,1023,1015,10,9,6,47,14,63,0.00,7,Rain,190<br />
2001-1-7,18,16,14,16,14,12,94,88,77,1013,1008,1005,10,9,4,42,31,63,0.00,7,Rain,254<br />
2001-1-8,17,16,14,15,13,10,100,91,68,1013,1010,1009,10,9,5,35,29,42,0.51,6,Rain,289<br />
2001-1-9,17,13,11,12,9,7,82,72,59,1009,1007,1005,10,9,6,48,29,85,1.78,5,Rain,282<br />
2001-1-10,15,13,12,12,10,8,88,77,72,1021,1014,1009,10,10,8,50,39,64,2077.47,4,Rain,309<br />
2001-1-11,19,17,15,15,13,13,88,80,68,1022,1021,1019,10,10,8,27,23,39,0.00,5,Rain,275<br />
2001-1-12,18,17,15,16,14,13,94,86,77,1022,1020,1018,10,9,6,32,18,45,0.00,6,Rain,280<br />
2001-1-13,19,17,14,17,15,13,100,93,83,1023,1022,1019,10,9,5,24,13,34,0.51,7,Rain,183<br />
2001-1-14,19,17,14,17,14,9,100,88,68,1027,1023,1022,10,9,5,35,18,45,2.79,6,Rain,286<br />
2001-1-15,15,13,12,8,7,5,72,65,59,1029,1028,1026,10,10,10,26,18,32,0.00,6,,53<br />
2001-1-16,18,16,13,16,12,8,100,85,64,1027,1020,1016,10,8,3,35,21,52,34.54,8,Rain,219<br />
2001-1-17,14,12,11,7,6,3,76,63,51,1027,1025,1022,10,10,10,24,16,34,0.00,7,,318<br />
2001-1-18,17,13,10,15,11,5,100,80,59,1028,1026,1025,10,9,6,24,10,35,0.00,6,Rain,192<br />
2001-1-19,19,17,15,17,16,13,100,92,77,1025,1022,1019,10,8,2,42,19,60,15.24,7,Rain,208<br />
2001-1-20,16,13,10,14,12,9,100,89,72,1020,1019,1017,10,9,8,23,16,34,6.10,7,Rain,335<br />
