WGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-2,0,-2,-4,-2,-5,-8,100,81,64,995,992,990,10,7,1,72,55,111,0.00,7,Snow,161<br />
2001-1-3,3,2,0,-2,-4,-5,87,67,60,990,989,988,10,9,1,47,27,69,0.00,7,Rain-Snow,164<br />
2001-1-4,-10,-11,-12,-12,-13,-15,100,87,67,1010,1006,1001,10,6,1,21,14,,0.00,5,Snow,46<br />
2001-1-5,-4,-7,-10,-8,-11,-14,86,71,63,1010,1009,1008,10,9,5,39,26,61,0.00,6,Snow,139<br />
2001-1-6,-2,-3,-4,-6,-8,-9,86,72,64,1009,1008,1006,10,9,6,37,26,50,0.00,5,Snow,152<br />
2001-1-8,-8,-9,-10,-9,-10,-12,93,87,79,1018,1017,1015,10,10,8,34,10,,0.00,7,Snow,298<br />
2001-1-9,-4,-7,-9,-4,-7,-9,100,98,93,1009,1003,997,10,5,1,39,34,,0.00,5,Snow,47<br />
2001-1-10,2,-1,-3,0,-1,-4,100,94,86,993,991,986,10,5,1,61,19,85,0.00,8,Rain-Snow,169<br />
2001-1-11,-3,-4,-5,-3,-4,-5,100,98,93,987,984,983,10,4,3,26,16,,0.00,7,Snow,335<br />
2001-1-12,-9,-11,-13,-11,-12,-14,100,91,79,988,988,987,10,10,10,39,26,,0.00,5,Snow,359<br />
2001-1-13,-12,-14,-15,-14,-15,-16,100,90,79,985,982,978,10,10,10,47,42,50,0.00,2,Snow,35<br />
2001-1-15,-14,-14,-15,-15,-16,-18,100,88,78,1000,999,998,10,10,10,26,18,,0.00,1,,94<br />
2001-1-16,-7,-9,-10,-9,-13,-16,93,73,58,995,992,990,10,8,1,39,24,,0.00,6,Snow,107<br />
2001-1-17,-10,-11,-12,-13,-15,-17,85,75,62,1007,1005,994,10,9,5,26,18,,0.00,6,Snow,164<br />
2001-1-18,-10,-11,-12,-13,-15,-16,85,76,67,999,993,988,10,10,10,39,35,,0.00,2,Snow,68<br />
2001-1-19,-8,-9,-10,-10,-11,-12,93,84,73,995,991,987,10,7,2,29,11,,0.00,7,Snow,300<br />
2001-1-20,-11,-12,-12,-13,-14,-15,92,81,73,1002,1001,1000,10,9,6,23,11,,0.00,3,Snow,89<br />
2001-1-21,-14,,-14,-16,-16,-16,85,85,85,995,995,995,10,10,10,21,21,,0.00,1,,90<br />
2001-1-22,-14,-14,-15,-16,-16,-16,92,89,85,993,991,990,10,10,10,21,18,,0.00,3,Snow,61<br />
2001-1-23,-14,-16,-16,-14,-16,-18,100,90,78,992,989,987,10,10,10,21,14,,0.00,1,Snow,28<br />
2001-1-24,-9,-10,-11,-11,-12,-12,93,89,86,991,989,988,10,10,10,23,11,,0.00,6,Snow,3<br />
2001-1-25,-11,-12,-12,-13,-14,-15,92,83,79,991,991,990,10,10,10,27,21,,0.00,4,,359<br />
2001-1-26,-11,-12,-12,-12,-13,-14,92,88,85,993,992,991,10,10,10,23,16,,0.00,6,Snow,31<br />
2001-1-27,-4,-7,-10,-7,-9,-13,100,84,68,1000,995,993,10,5,0,74,32,103,0.00,4,Snow,179<br />
2001-1-29,-11,-13,-14,-11,-15,-17,100,79,73,1003,1002,1002,10,10,10,27,21,,0.00,5,Snow,9<br />
2001-1-30,-12,-13,-13,-13,-14,-16,92,83,73,1006,1003,998,10,10,10,35,32,,0.00,1,Snow,66<br />
2001-1-31,-7,-9,-10,-8,-10,-12,100,91,86,987,981,976,10,10,10,35,24,,0.00,3,,37<br />
2001-2-1,-4,-6,-7,-4,-6,-7,100,96,86,991,988,984,10,7,6,27,13,,0.00,8,Snow,352<br />
2001-2-2,-7,-8,-8,-7,-8,-9,100,98,86,1000,991,990,10,7,3,32,27,,0.00,8,Snow,322<br />
2001-2-3,-7,-8,-8,-8,-8,-9,100,97,86,1000,999,997,10,8,4,23,14,,0.00,6,Snow,302<br />
2001-2-4,-7,-8,-8,-8,-9,-11,100,91,79,1009,1007,1005,10,6,1,10,2,,0.00,6,Snow,113<br />
2001-2-5,-6,-9,-10,-9,-10,-12,100,91,79,1016,1015,1013,10,10,10,14,10,,0.00,3,,58<br />
2001-2-6,-4,-7,-8,-7,-9,-12,93,82,63,1019,1019,1018,10,9,6,14,6,,0.00,5,Snow,131<br />
2001-2-7,-5,-6,-7,-8,-9,-10,86,80,68,1015,1013,1011,10,10,10,21,10,,0.00,6,,87<br />
2001-2-8,-4,-9,-13,-4,-11,-14,100,94,85,1016,1012,1005,10,8,1,60,35,,0.00,7,Snow,291<br />
2001-2-9,-13,-16,-17,-14,-16,-18,100,93,79,1013,1011,1010,10,9,6,24,16,,0.00,6,Snow,318<br />
2001-2-10,-16,-17,-17,-17,-18,-18,100,92,85,1009,1006,1004,10,10,10,35,29,,0.00,3,Snow,357<br />
2001-2-11,-15,-16,-16,-15,-16,-18,100,96,85,998,994,988,10,10,10,27,24,,0.00,2,Snow,12<br />
2001-2-12,-13,-16,-18,-14,-17,-21,100,87,72,987,983,982,10,10,10,26,21,,0.00,3,Snow,22<br />
2001-2-13,-13,-14,-15,-14,-15,-16,100,92,85,992,990,988,10,7,0,35,18,,0.00,6,Snow,224<br />
2001-2-14,-13,-14,-15,-17,-18,-19,85,73,67,994,993,992,10,10,10,21,16,,0.00,3,,117<br />
2001-2-15,-12,-13,-13,-14,-16,-17,92,79,73,1002,1001,998,10,8,4,37,24,,0.00,5,Snow,121<br />
2001-2-16,-12,-13,-13,-14,-16,-16,92,82,79,1005,1002,996,10,10,10,34,23,52,0.00,0,Snow,83<br />
2001-2-17,-10,-11,-11,-11,-12,-13,100,89,79,995,992,986,10,8,1,27,23,,0.00,6,Snow,225<br />
