GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,26,22,19,13,11,9,60,50,39,1019,1017,1015,10,10,10,24,14,,0.00,1,,311<br />
2001-1-2,25,21,18,13,12,10,68,57,44,1019,1018,1016,,,,16,11,,0.00,,,329<br />
2001-1-3,24,20,17,13,12,11,77,60,50,1021,1019,1018,10,10,10,13,8,,0.00,2,,356<br />
2001-1-4,24,20,17,17,14,11,78,66,57,1020,1018,1016,10,10,10,14,10,,0.00,1,,295<br />
2001-1-5,26,21,17,16,11,6,78,53,31,1019,1017,1016,10,10,10,19,10,,0.00,3,,290<br />
2001-1-6,25,22,19,11,9,6,56,45,29,1019,1017,1016,10,10,10,32,16,,0.00,2,,302<br />
2001-1-7,24,20,16,12,9,6,64,49,34,1020,1017,1016,10,10,10,14,10,,0.00,1,,331<br />
2001-1-8,25,20,16,15,11,7,68,57,41,1018,1016,1015,10,10,10,13,8,,0.00,2,,300<br />
2001-1-9,25,21,17,17,16,12,94,76,54,1020,1017,1014,10,9,6,37,10,53,0.00,5,Rain-Thunderstorm,352<br />
2001-1-10,22,19,17,16,15,12,88,78,64,1020,1019,1016,10,10,8,14,8,,0.00,4,Rain-Thunderstorm,354<br />
2001-1-11,23,20,17,14,12,9,77,61,41,1021,1019,1017,10,10,10,19,13,,0.00,1,,322<br />
2001-1-12,25,21,17,13,11,9,72,58,41,1020,1019,1017,10,10,10,19,10,,0.00,1,,329<br />
2001-1-13,24,20,16,14,12,8,73,59,38,1022,1020,1018,,,,13,8,,0.00,,,313<br />
2001-1-14,24,20,17,13,10,7,77,55,34,1022,1020,1018,,,,14,10,,0.00,,,324<br />
2001-1-15,25,21,18,12,10,4,68,50,27,1022,1020,1018,,,,21,13,,0.00,,,320<br />
2001-1-16,24,20,17,13,11,6,64,52,31,1022,1020,1018,,,,23,13,,0.00,,,327<br />
2001-1-17,23,19,16,14,12,10,73,60,46,1021,1019,1017,,,,16,13,,0.00,,,339<br />
2001-1-18,24,20,17,16,13,10,82,66,44,1019,1017,1015,,,,14,10,,0.00,,,328<br />
2001-1-19,24,20,17,17,14,10,73,64,44,1019,1017,1015,10,8,8,14,10,,0.00,1,,205<br />
2001-1-20,25,21,17,16,12,4,78,58,27,1019,1017,1015,10,10,10,26,10,,0.00,1,,280<br />
2001-1-21,26,22,19,13,10,6,68,49,28,1020,1018,1015,10,10,10,21,11,,0.00,2,,304<br />
2001-1-22,24,21,18,16,12,10,73,58,46,1020,1018,1016,10,10,10,16,13,,0.00,1,,330<br />
2001-1-23,24,20,17,15,14,13,77,67,53,1019,1017,1016,10,10,10,14,8,,0.00,1,,351<br />
2001-1-24,25,21,18,17,15,13,88,69,47,1020,1018,1017,,,,16,8,,0.00,,,296<br />
2001-1-25,26,22,19,15,13,10,78,58,36,1020,1017,1016,10,9,7,27,16,,0.00,1,,305<br />
2001-1-26,23,20,18,14,11,8,64,55,43,1019,1016,1015,10,10,10,34,16,,0.00,1,,327<br />
2001-1-27,25,21,17,13,10,5,60,50,40,1019,1016,1014,10,10,10,26,11,,0.00,3,,333<br />
2001-1-28,22,19,17,15,8,5,78,52,35,1019,1017,1015,10,10,10,47,29,48,0.00,3,Rain,297<br />
2001-1-29,18,17,15,7,2,-1,59,39,28,1024,1021,1018,10,10,10,24,13,,0.00,1,,348<br />
2001-1-30,21,17,13,7,3,0,48,39,31,1026,1023,1022,,,,13,8,,0.00,,,342<br />
2001-1-31,22,18,14,11,6,-1,64,45,33,1023,1021,1019,,,,19,11,,0.00,,,323<br />
2001-2-1,23,19,15,12,10,8,68,57,43,1023,1020,1019,,,,14,10,,0.00,,,303<br />
2001-2-2,23,19,15,13,11,7,72,58,41,1021,1019,1017,,,,14,8,,0.00,,,301<br />
2001-2-3,25,21,17,12,9,4,68,49,26,1018,1016,1014,10,10,10,27,18,,0.00,1,,311<br />
2001-2-4,26,21,17,11,8,1,64,48,20,1016,1014,1011,8,8,8,34,23,,0.00,1,,320<br />
2001-2-5,29,24,19,13,-4,-13,60,22,6,1014,1013,1011,,,,26,19,,0.00,,,295<br />
2001-2-6,25,21,18,12,8,3,64,44,24,1018,1016,1014,10,10,10,32,21,,0.00,1,,290<br />
2001-2-7,23,20,17,12,9,8,56,49,41,1020,1018,1017,10,10,10,21,13,,0.00,1,,327<br />
2001-2-8,24,20,17,23,12,9,100,58,47,1020,1018,1017,10,10,10,14,11,,0.00,1,,351<br />
2001-2-9,25,21,18,16,13,10,78,60,47,1021,1019,1018,,,,13,6,,0.00,,,331<br />
2001-2-10,27,23,20,18,16,13,78,67,42,1021,1019,1017,10,9,9,11,3,,0.00,4,,71<br />
2001-2-11,26,23,20,20,16,9,78,63,46,1017,1015,1013,8,8,8,34,6,,0.00,1,,3<br />
2001-2-12,23,20,18,13,8,4,64,47,29,1018,1015,1013,10,9,7,47,31,71,0.00,2,,294<br />
2001-2-13,22,19,17,12,11,5,68,56,33,1021,1019,1017,10,10,10,23,16,,0.00,2,,330<br />
2001-2-14,24,19,15,14,11,8,73,56,41,1020,1018,1017,10,10,10,13,8,,0.00,5,,179<br />
2001-2-15,25,21,17,14,12,7,73,56,38,1019,1017,1016,,,,16,6,,0.00,,,205<br />
