SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,31,28,25,26,24,24,100,88,74,1010,1009,1007,10,10,8,23,10,,0.00,6,Rain-Thunderstorm,28<br />
2001-1-2,27,26,25,25,24,23,94,92,83,1011,1009,1007,10,9,6,14,5,,0.00,6,Rain-Thunderstorm,11<br />
2001-1-3,31,28,25,24,24,22,94,83,62,1011,1010,1008,10,9,6,16,3,,0.00,6,,25<br />
2001-1-4,26,24,24,24,23,22,94,89,83,1013,1010,1008,10,9,3,14,5,,0.00,6,Rain,3<br />
2001-1-5,30,27,24,24,23,23,100,84,66,1011,1010,1008,10,9,5,14,5,,0.00,6,Rain,19<br />
2001-1-6,31,27,23,26,24,23,100,89,70,1012,1010,1007,10,9,1,23,5,48,0.00,5,Rain-Thunderstorm,18<br />
2001-1-7,31,28,25,26,24,23,100,91,70,1011,1009,1007,10,9,6,21,3,,0.00,5,Rain-Thunderstorm,18<br />
2001-1-8,31,27,24,26,24,23,100,87,70,1010,1008,1006,10,9,1,21,5,,0.00,5,Rain-Thunderstorm,8<br />
2001-1-9,31,28,25,25,24,23,100,84,70,1010,1009,1006,10,10,5,19,6,35,0.00,6,Rain,352<br />
2001-1-10,32,28,25,24,23,20,89,76,49,1011,1009,1006,10,10,10,19,6,,0.00,6,,2<br />
2001-1-11,30,27,23,25,23,22,100,85,66,1010,1009,1007,10,9,1,27,3,32,0.00,5,Rain-Thunderstorm,320<br />
2001-1-12,31,27,24,25,24,22,100,86,66,1011,1009,1007,10,9,4,19,3,,0.00,6,Rain,24<br />
2001-1-13,32,28,24,25,24,23,100,87,62,1011,1009,1007,10,9,5,14,2,,0.00,5,Rain-Thunderstorm,249<br />
2001-1-14,32,28,24,26,24,22,100,88,66,1010,1008,1006,10,8,1,14,3,,0.00,6,Rain-Thunderstorm,23<br />
2001-1-15,31,28,25,26,24,23,94,85,70,1011,1009,1007,10,10,5,27,8,,0.00,6,Rain,1<br />
2001-1-16,24,23,23,24,23,23,100,99,94,1013,1010,1008,10,6,1,13,5,,0.00,7,Rain-Thunderstorm,301<br />
2001-1-17,27,24,23,24,23,22,100,94,78,1011,1009,1007,10,8,2,14,5,,0.00,7,Rain-Thunderstorm,290<br />
2001-1-18,31,27,23,25,23,22,100,85,58,1010,1008,1006,10,9,8,13,6,,0.00,6,,306<br />
2001-1-19,31,28,25,26,25,24,94,86,70,1011,1009,1006,10,10,6,21,5,,0.00,6,Rain-Thunderstorm,25<br />
2001-1-20,27,26,25,26,25,24,100,95,89,1011,1009,1007,10,10,8,10,5,,0.00,6,Rain,8<br />
2001-1-21,31,28,25,26,25,24,100,87,66,1010,1008,1006,10,10,8,19,6,,0.00,5,Thunderstorm,18<br />
2001-1-22,30,28,25,26,24,23,100,87,70,1010,1008,1006,10,9,3,21,6,,0.00,6,Rain-Thunderstorm,348<br />
2001-1-23,31,28,25,26,24,23,94,85,70,1010,1008,1006,10,10,8,16,5,,0.00,6,Rain,11<br />
2001-1-24,31,28,25,26,24,5,100,86,66,1010,1008,1006,10,10,3,21,6,,0.00,5,Rain-Thunderstorm,14<br />
2001-1-25,31,28,25,26,25,24,100,88,70,1010,1008,1006,10,10,8,19,3,,0.00,6,Rain,31<br />
2001-1-26,32,29,26,26,25,24,94,86,66,1009,1007,1005,10,9,6,21,5,,0.00,6,,19<br />
2001-1-27,31,28,26,26,25,24,100,85,66,1010,1008,1006,10,10,8,16,5,,0.00,5,Rain,19<br />
2001-1-28,31,28,25,26,24,23,100,86,66,1010,1009,1007,10,10,5,32,6,,0.00,6,Rain,1<br />
2001-1-29,29,27,25,26,25,24,100,92,79,1011,1009,1007,10,9,1,19,5,,0.00,6,Rain,352<br />
2001-1-30,27,26,24,26,24,23,100,93,89,1011,1009,1007,10,9,7,13,6,,0.00,7,Rain,334<br />
2001-1-31,28,26,23,23,22,21,100,88,70,1011,1009,1008,10,9,7,13,6,,0.00,7,Rain,318<br />
2001-2-1,29,27,24,24,22,20,89,79,70,1010,1008,1007,10,10,10,13,6,,0.00,6,Rain,347<br />
2001-2-2,32,28,25,25,24,22,94,84,58,1010,1007,1005,10,10,3,23,5,,0.00,6,Rain-Thunderstorm,354<br />
2001-2-3,30,28,25,25,24,23,94,84,70,1010,1008,1006,10,10,5,11,5,,0.00,6,Rain,357<br />
2001-2-4,32,28,24,25,24,23,100,86,62,1010,1008,1006,10,10,5,21,5,37,0.00,6,Rain-Thunderstorm,350<br />
2001-2-5,29,27,25,25,24,23,94,87,70,1011,1008,1006,10,10,8,13,3,,0.00,6,Rain,353<br />
2001-2-6,31,27,24,25,24,24,100,89,66,1009,1007,1005,10,9,2,21,8,,0.00,6,Rain,337<br />
2001-2-7,31,28,25,25,24,23,94,85,66,1009,1007,1004,10,10,7,23,5,,0.00,6,,5<br />
2001-2-8,28,27,25,24,23,21,94,85,70,1009,1007,1005,10,10,10,13,5,,0.00,6,Rain,335<br />
2001-2-9,28,26,24,25,24,23,100,92,79,1010,1008,1007,10,9,3,19,3,,0.00,7,Rain-Thunderstorm,334<br />
2001-2-10,29,27,25,25,24,23,94,85,74,1010,1008,1006,10,10,10,16,6,,0.00,6,Rain,338<br />
2001-2-11,31,28,25,25,24,23,94,81,62,1009,1008,1006,10,10,10,26,10,,0.00,6,,352<br />
2001-2-12,30,28,25,26,24,24,94,85,70,1010,1008,1006,10,10,7,16,6,,0.00,6,Rain,341<br />
2001-2-13,31,28,25,25,24,23,94,82,66,1010,1008,1007,10,10,8,14,5,,0.00,6,Rain,318<br />
2001-2-14,31,28,25,26,24,23,94,83,70,1011,1009,1007,10,10,10,27,10,,0.00,6,,360<br />
2001-2-15,31,28,26,25,24,24,94,83,70,1012,1010,1008,10,10,9,32,13,47,0.00,5,,13<br />
2001-2-16,30,28,26,25,24,23,89,82,70,1013,1011,1009,10,9,5,27,14,,0.00,6,Rain,14<br />
2001-2-17,31,28,25,24,23,21,94,78,58,1013,1011,1009,10,10,9,24,11,,0.00,6,,20<br />
2001-2-18,31,27,24,24,23,23,94,82,66,1013,1011,1008,10,10,8,27,10,,0.00,6,Rain-Thunderstorm,13<br />
2001-2-19,31,27,24,26,24,23,94,83,66,1013,1010,1008,10,10,8,23,8,,0.00,6,Rain,360<br />
2001-2-20,30,28,25,26,24,23,94,86,70,1012,1010,1008,10,10,6,16,10,,0.00,6,Rain,7<br />
2001-2-21,31,28,25,25,24,23,94,84,66,1011,1009,1006,10,10,1,19,6,,0.00,6,Rain-Thunderstorm,19<br />
2001-2-22,29,27,25,26,24,24,100,89,79,1011,1009,1008,10,9,7,16,3,,0.00,6,Rain-Thunderstorm,25<br />
2001-2-23,31,28,25,25,24,23,94,83,62,1012,1010,1008,10,9,6,14,5,,0.00,5,,39<br />
2001-2-24,31,28,25,26,24,23,100,88,70,1011,1009,1007,10,9,4,21,3,,0.00,6,Rain-Thunderstorm,30<br />
2001-2-25,32,28,25,26,24,22,100,83,62,1011,1009,1007,10,10,9,21,5,,0.00,6,Rain,23<br />
2001-2-26,31,28,26,25,23,22,94,79,62,1011,1009,1007,10,10,10,24,11,,0.00,6,,34<br />
2001-2-27,32,29,26,25,24,23,89,79,62,1013,1011,1009,10,10,10,23,10,,0.00,6,,22<br />
2001-2-28,32,28,25,25,23,22,94,79,58,1013,1011,1009,10,10,10,24,10,,0.00,4,,10<br />
2001-3-1,32,28,25,24,23,22,94,77,55,1014,1011,1009,10,10,10,24,10,,0.00,4,,14<br />
2001-3-2,32,28,25,25,24,23,94,80,59,1013,1011,1009,10,10,10,24,6,,0.00,5,,24<br />
2001-3-3,32,28,24,25,24,23,94,84,62,1013,1011,1008,10,9,5,19,5,,0.00,5,Rain,6<br />
2001-3-4,33,29,26,25,24,23,94,79,59,1012,1010,1007,10,9,7,23,8,,0.00,6,,358<br />
2001-3-5,31,28,26,26,24,23,89,81,62,1011,1009,1007,10,10,10,24,8,37,0.00,6,,338<br />
2001-3-6,31,27,24,25,23,22,94,78,62,1011,1009,1007,10,10,10,19,8,,0.00,6,,326<br />
2001-3-7,32,28,25,25,24,23,94,82,62,1011,1009,1006,10,10,6,14,6,,0.00,6,,328<br />
2001-3-8,31,27,24,26,24,22,100,85,66,1011,1009,1007,10,9,4,23,3,,0.00,6,Rain-Thunderstorm,279<br />
2001-3-9,31,27,23,25,24,22,100,86,66,1011,1009,1007,10,10,6,23,3,,0.00,6,Rain-Thunderstorm,87<br />
2001-3-10,30,27,24,25,24,22,94,82,66,1012,1010,1007,10,10,2,16,6,,0.00,6,Rain-Thunderstorm,30<br />
2001-3-11,32,28,24,26,24,22,100,84,62,1012,1010,1007,10,10,10,26,5,,0.00,6,Rain,28<br />
2001-3-12,32,27,23,25,24,23,100,88,66,1011,1009,1007,10,9,3,21,6,,0.00,6,Rain-Thunderstorm,16<br />
2001-3-13,31,27,24,26,24,22,100,86,70,1011,1010,1007,10,10,5,24,5,,0.00,6,Rain-Thunderstorm,31<br />
2001-3-14,31,28,26,26,25,24,94,85,70,1013,1011,1008,10,10,10,16,10,,0.00,6,,48<br />
2001-3-15,32,29,26,26,25,23,94,85,59,1013,1010,1008,10,9,2,14,6,,0.00,5,Rain-Thunderstorm,24<br />
2001-3-16,33,28,24,27,25,23,100,87,66,1011,1009,1006,10,9,1,23,6,,0.00,4,Rain-Thunderstorm,11<br />
2001-3-17,33,29,25,26,25,24,100,88,59,1011,1008,1005,10,9,2,13,2,,0.00,6,Rain-Thunderstorm,311<br />
2001-3-18,32,28,24,26,24,22,100,82,59,1011,1008,1006,10,10,3,19,3,,0.00,5,Rain-Thunderstorm,338<br />
2001-3-19,32,28,25,26,25,24,100,86,66,1010,1008,1005,10,9,1,16,2,,0.00,5,Rain-Thunderstorm,22<br />
2001-3-20,33,29,25,27,25,23,100,86,55,1010,1007,1004,10,10,5,14,3,,0.00,6,Thunderstorm,29<br />
2001-3-21,31,28,26,26,25,23,100,86,70,1009,1007,1005,10,10,3,32,2,,0.00,6,Rain-Thunderstorm,39<br />
2001-3-22,31,28,25,26,25,24,100,89,75,1009,1007,1004,10,9,3,29,5,48,0.00,6,Rain-Thunderstorm,23<br />
2001-3-23,33,28,24,26,24,22,100,81,52,1010,1007,1005,10,9,5,16,5,,0.00,5,Rain-Thunderstorm,124<br />
2001-3-24,30,27,23,26,25,23,100,92,74,1010,1008,1005,10,9,1,26,2,,0.00,6,Rain-Thunderstorm,258<br />
2001-3-25,31,27,24,26,24,21,100,85,55,1011,1008,1005,10,9,4,16,5,,0.00,5,Rain-Thunderstorm,250<br />
2001-3-26,29,27,25,26,25,24,100,90,79,1010,1008,1006,10,9,1,23,3,,0.00,6,Rain-Thunderstorm,124<br />
2001-3-27,33,29,26,26,24,22,94,77,52,1011,1007,1005,10,10,10,13,3,,0.00,6,,220<br />
2001-3-28,31,27,24,26,24,23,100,82,62,1010,1008,1005,10,9,3,16,5,,0.00,6,Rain-Thunderstorm,226<br />
2001-3-29,31,27,24,27,25,23,100,86,66,1010,1007,1004,10,9,4,23,2,,0.00,6,Rain-Thunderstorm,187<br />
2001-3-30,31,28,25,27,26,24,100,89,66,1010,1008,1006,10,8,2,16,3,,0.00,5,Rain-Thunderstorm,77<br />
2001-3-31,29,27,25,26,25,23,100,91,79,1012,1010,1008,10,9,5,13,2,,0.00,6,Rain-Thunderstorm,211<br />
2001-4-1,31,28,25,27,26,24,100,87,70,1011,1009,1007,10,8,5,14,3,,0.00,6,,64<br />
2001-4-2,33,29,26,27,26,24,94,83,66,1010,1008,1004,10,10,8,16,5,,0.00,5,Thunderstorm,50<br />
2001-4-3,33,29,26,26,25,23,94,84,62,1010,1008,1006,10,10,4,21,5,,0.00,6,Rain-Thunderstorm,336<br />
2001-4-4,31,28,26,26,25,24,100,84,70,1010,1008,1006,10,10,9,16,3,,0.00,6,,17<br />
2001-4-5,30,28,26,27,26,25,94,87,74,1011,1008,1006,10,10,8,13,2,,0.00,6,Rain-Thunderstorm,204<br />
2001-4-6,30,28,25,26,26,24,100,92,74,1012,1010,1008,10,9,1,21,2,39,0.00,6,Rain-Thunderstorm,308<br />
2001-4-7,29,27,25,26,24,22,94,84,74,1013,1010,1008,10,9,8,16,2,,0.00,6,Rain,148<br />
2001-4-8,33,29,26,26,24,21,94,77,49,1011,1009,1006,10,10,10,14,2,,0.00,6,,87<br />
2001-4-9,33,29,26,26,25,24,100,80,62,1011,1009,1007,10,10,8,13,3,,0.00,5,Rain-Thunderstorm,91<br />
2001-4-10,31,27,24,26,25,24,100,90,66,1012,1010,1008,10,8,1,26,2,,0.00,6,Rain-Thunderstorm,84<br />
2001-4-11,32,28,25,27,25,23,100,87,66,1012,1010,1007,10,8,5,14,3,,0.00,6,Rain-Thunderstorm,274<br />
2001-4-12,31,28,26,26,25,24,94,86,66,1011,1009,1007,10,10,8,13,2,,0.00,6,Rain-Thunderstorm,272<br />
2001-4-13,30,27,24,26,24,23,100,92,74,1013,1011,1009,10,9,3,19,3,,0.00,6,Rain-Thunderstorm,293<br />
2001-4-14,32,28,24,26,24,23,100,83,66,1013,1012,1010,10,10,8,16,3,,0.00,6,,30<br />
2001-4-15,33,29,26,27,25,23,100,84,59,1013,1011,1008,10,10,5,21,3,,0.00,6,Rain-Thunderstorm,52<br />
2001-4-16,32,28,25,26,26,24,100,89,66,1012,1010,1008,10,9,4,13,2,,0.00,5,Rain-Thunderstorm,316<br />
2001-4-17,32,28,25,26,25,24,100,86,62,1010,1009,1006,10,10,5,16,2,,0.00,5,Rain,25<br />
2001-4-18,31,27,24,26,25,24,100,88,70,1010,1008,1005,10,8,1,27,3,,0.00,6,Rain-Thunderstorm,256<br />
2001-4-19,32,28,25,26,25,24,100,90,66,1010,1008,1006,10,8,5,10,2,,0.00,6,Rain-Thunderstorm,292<br />
2001-4-20,31,28,25,27,26,25,100,90,74,1009,1007,1004,10,8,3,16,3,,0.00,6,Rain-Thunderstorm,211<br />
2001-4-21,32,29,26,27,26,24,100,84,66,1008,1006,1004,10,9,7,16,3,,0.00,6,Thunderstorm,160<br />
2001-4-22,31,29,27,27,26,25,94,89,74,1008,1007,1005,10,9,5,13,5,,0.00,6,Rain-Thunderstorm,166<br />
2001-4-23,30,28,27,27,25,24,94,83,70,1009,1007,1005,10,10,10,16,5,,0.00,6,,195<br />
2001-4-24,31,28,26,27,26,24,100,85,74,1009,1008,1006,10,9,6,14,2,,0.00,6,Rain-Thunderstorm,189<br />
2001-4-25,31,28,25,27,26,24,100,92,66,1009,1008,1006,10,7,3,16,2,,0.00,6,Rain-Thunderstorm,269<br />
2001-4-26,31,28,26,27,26,24,100,88,74,1010,1008,1006,10,8,4,21,2,,0.00,6,Rain-Thunderstorm,260<br />
2001-4-27,32,29,26,27,25,24,94,86,66,1010,1008,1005,10,9,3,11,2,,0.00,6,Rain-Thunderstorm,290<br />
2001-4-28,31,27,24,26,24,24,100,84,66,1010,1007,1005,10,9,7,16,5,,0.00,6,Rain-Thunderstorm,258<br />
2001-4-29,31,27,24,26,25,24,100,87,74,1011,1008,1007,10,9,2,16,3,32,0.00,5,Rain-Thunderstorm,254<br />
2001-4-30,32,29,26,27,25,24,94,80,62,1011,1009,1007,10,10,5,14,3,,0.00,6,Rain,165<br />
2001-5-1,31,29,27,28,26,24,100,86,70,1012,1010,1007,10,9,4,19,3,,0.00,5,Thunderstorm,176<br />
2001-5-2,33,29,26,27,26,24,100,86,63,1010,1008,1005,10,9,6,21,2,,0.00,6,Thunderstorm,148<br />
2001-5-3,33,29,26,27,26,23,100,83,55,1010,1008,1006,10,10,10,24,5,,0.00,5,,104<br />
2001-5-4,32,29,27,27,26,25,94,87,74,1010,1008,1007,10,10,5,16,5,,0.00,5,Rain-Thunderstorm,72<br />
2001-5-5,33,30,27,27,26,25,94,82,66,1011,1009,1007,10,10,10,24,6,,0.00,6,,140<br />
2001-5-6,33,30,27,28,27,26,100,85,66,1011,1009,1006,10,10,10,23,6,,0.00,5,Thunderstorm,111<br />
2001-5-7,31,28,25,28,26,24,100,93,74,1011,1009,1007,10,9,1,27,2,,0.00,6,Rain-Thunderstorm,30<br />
2001-5-8,31,28,25,27,26,25,100,93,74,1011,1009,1006,10,9,2,13,2,,0.00,5,Rain-Thunderstorm,264<br />
2001-5-9,32,29,26,27,26,25,100,86,70,1011,1009,1007,10,9,5,14,3,,0.00,6,Thunderstorm,211<br />
2001-5-10,30,27,23,27,25,22,100,88,70,1012,1010,1008,10,9,1,23,3,47,0.00,6,Rain-Thunderstorm,248<br />
2001-5-11,32,29,26,26,25,23,100,82,62,1011,1009,1007,10,10,9,14,3,,0.00,6,Rain,194<br />
2001-5-12,29,27,26,26,25,24,100,90,79,1012,1009,1007,10,9,3,19,3,,0.00,6,Rain-Thunderstorm,239<br />
2001-5-13,32,28,25,26,25,23,94,83,66,1010,1008,1006,10,10,10,13,3,,0.00,5,,198<br />
2001-5-14,32,29,26,27,26,24,100,87,66,1010,1008,1006,10,10,5,23,3,,0.00,5,Rain-Thunderstorm,146<br />
2001-5-15,32,30,28,27,27,25,94,82,70,1010,1008,1006,10,10,8,19,10,,0.00,6,,154<br />
2001-5-16,33,30,28,28,27,24,94,83,66,1011,1009,1007,10,10,4,19,8,,0.00,5,Rain,144<br />
2001-5-17,32,29,26,27,26,24,100,88,70,1012,1010,1008,10,10,5,14,5,,0.00,6,Rain-Thunderstorm,170<br />
2001-5-18,32,29,26,28,26,23,100,90,70,1012,1010,1007,10,9,1,11,2,,0.00,5,Rain-Thunderstorm,115<br />
