MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,2,-4,-9,-2,-8,-11,96,83,69,1030,1024,1018,16,13,5,23,13,,0.00,4,Snow,202<br />
2001-1-2,4,-2,-7,-5,-8,-13,92,64,37,1036,1033,1028,16,16,14,24,14,,0.00,2,,171<br />
2001-1-3,12,3,-5,-4,-10,-15,59,35,21,1031,1028,1024,16,16,16,24,16,,0.00,2,,172<br />
2001-1-4,19,10,1,-6,-9,-13,54,35,10,1023,1019,1015,16,16,16,32,26,42,0.00,2,,193<br />
2001-1-5,19,8,-2,-1,-7,-9,61,39,14,1022,1016,1011,16,16,16,29,18,,0.00,0,,210<br />
2001-1-6,11,4,-3,-4,-6,-8,75,49,28,1021,1012,1008,16,16,14,24,16,,0.00,4,,136<br />
2001-1-7,4,-2,-8,-3,-7,-12,96,69,32,1027,1025,1022,16,14,5,21,13,,0.00,4,Snow,213<br />
2001-1-8,11,3,-5,-9,-14,-17,72,34,12,1022,1020,1016,16,16,16,26,21,,0.00,0,,164<br />
2001-1-9,13,5,-3,-11,-18,-24,49,24,7,1018,1012,1007,16,16,16,45,18,58,0.00,4,,207<br />
2001-1-10,13,6,-6,-7,-10,-16,72,34,20,1014,1009,1006,16,16,16,26,14,,0.00,3,,243<br />
2001-1-11,12,2,-7,-7,-12,-16,74,46,13,1017,1014,1012,16,16,16,27,16,,0.00,1,,161<br />
2001-1-12,16,7,-3,-9,-15,-21,53,28,8,1012,1006,999,16,16,16,39,14,48,0.00,2,,191<br />
2001-1-13,4,-1,-8,-5,-7,-11,81,63,46,1014,1005,997,16,16,16,42,21,53,0.00,6,,2<br />
