CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,2,-1,-2,-1,-6,-10,100,67,55,1001,994,989,10,9,1,48,39,61,0.00,5,Snow,138<br />
2001-1-2,2,0,-1,-3,-6,-7,86,63,56,992,991,989,10,10,10,45,34,,0.00,6,,127<br />
2001-1-3,5,2,0,0,-2,-4,87,70,61,992,990,988,10,10,10,50,34,,0.00,6,Rain,133<br />
2001-1-4,5,4,3,0,-2,-5,75,67,56,997,995,993,10,10,10,40,24,,0.00,5,,129<br />
2001-1-5,5,4,3,-2,-2,-3,70,62,61,995,993,992,,,,50,34,69,0.00,,,135<br />
2001-1-6,6,4,4,-1,-1,-2,70,65,61,992,991,990,10,10,10,45,34,,0.00,5,,123<br />
2001-1-7,4,3,2,0,-1,-2,87,73,65,995,992,990,10,10,10,42,31,,0.00,6,,108<br />
2001-1-8,1,0,-1,0,-1,-2,100,97,87,1003,999,995,10,8,3,13,8,,0.00,6,Snow,84<br />
2001-1-9,1,-2,-4,0,-2,-5,100,91,75,1011,1007,1004,10,8,1,29,13,,0.00,4,Snow,19<br />
2001-1-10,3,-2,-6,2,-2,-6,100,82,52,1012,1011,1008,10,9,1,53,29,72,0.00,6,Snow,289<br />
2001-1-11,4,1,0,4,0,-3,100,88,70,1020,1016,1008,10,9,6,53,29,,0.00,6,Rain-Snow,317<br />
2001-1-12,6,4,4,6,4,3,100,92,87,1029,1027,1022,10,10,8,34,27,,0.00,6,Rain,279<br />
2001-1-13,6,4,4,4,3,2,100,85,76,1034,1032,1030,10,10,10,35,29,,0.00,6,Rain,245<br />
2001-1-14,6,4,4,2,2,0,87,78,66,1033,1031,1029,10,10,10,35,29,,0.00,6,,237<br />
2001-1-15,6,3,0,4,1,-2,100,88,81,1029,1027,1025,10,10,10,24,18,,0.00,4,,152<br />
2001-1-16,4,1,-1,2,1,-2,93,89,81,1027,1026,1025,10,10,10,23,16,,0.00,3,,182<br />
2001-1-17,2,1,0,0,-2,-7,93,82,60,1028,1027,1025,10,10,10,26,18,,0.00,5,,132<br />
2001-1-18,0,-1,-2,-3,-4,-5,93,82,69,1026,1025,1025,10,10,10,23,18,,0.00,4,,135<br />
2001-1-19,3,1,0,0,-1,-3,93,80,70,1029,1027,1025,10,10,10,24,19,,0.00,5,Snow,220<br />
2001-1-20,1,-1,-2,0,-3,-4,93,82,75,1030,1030,1029,10,10,10,27,18,,0.00,4,,134<br />
2001-1-21,1,-1,-2,-2,-5,-8,100,76,55,1029,1026,1024,10,10,10,27,19,,0.00,1,,135<br />
2001-1-22,1,0,-1,-7,-8,-9,64,54,48,1024,1020,1010,,,,60,32,77,0.00,,,135<br />
2001-1-23,2,-1,-1,-7,-9,-10,55,53,51,1010,1002,996,,,,50,42,71,0.00,,,139<br />
2001-1-24,5,3,2,3,-4,-7,87,56,48,995,986,980,10,10,10,64,50,90,0.00,6,,133<br />
2001-1-25,6,4,3,2,0,-3,93,75,57,992,989,981,10,10,10,29,19,,0.00,6,Rain,126<br />
2001-1-26,5,3,1,2,-2,-3,81,64,57,992,991,990,10,10,10,26,19,,0.00,1,,126<br />
2001-1-27,4,2,1,1,-1,-2,93,82,65,995,993,992,10,10,10,21,16,,0.00,1,,119<br />
2001-1-28,0,-2,-2,-1,-2,-3,100,96,87,1006,1001,996,10,10,10,23,18,,0.00,3,,123<br />
2001-1-29,3,0,-3,3,0,-3,100,94,81,1013,1011,1007,10,10,9,34,13,,0.00,5,Rain-Snow,229<br />
2001-1-30,3,1,-1,2,1,-2,100,96,93,1021,1017,1015,10,9,3,21,13,,0.00,6,Rain,165<br />
2001-1-31,2,-2,-6,2,-3,-8,100,89,69,1034,1026,1021,10,10,1,26,11,,0.00,3,Rain,58<br />
2001-2-1,-6,-8,-10,-9,-13,-16,86,67,58,1037,1036,1034,10,10,10,47,26,,0.00,1,,103<br />
2001-2-2,-10,-11,-12,-15,-18,-19,67,59,49,1035,1034,1032,10,10,10,58,45,76,0.00,1,,128<br />
2001-2-3,-13,-14,-16,-20,-22,-23,72,57,52,1031,1026,1022,10,10,10,47,39,58,0.00,1,,104<br />
2001-2-4,-12,-13,-15,-18,-19,-21,72,62,52,1022,1020,1016,10,10,10,47,32,,0.00,2,,112<br />
2001-2-5,-12,-13,-14,-17,-19,-22,73,62,48,1011,1004,1000,10,10,10,40,29,,0.00,1,,118<br />
2001-2-6,-5,-9,-12,-14,-17,-19,62,51,46,1000,995,989,10,10,10,55,43,74,0.00,2,,132<br />
2001-2-7,1,-2,-5,-1,-9,-13,93,62,54,988,981,976,10,10,10,42,29,,0.00,6,Snow,119<br />
2001-2-8,1,-1,-3,-1,-2,-5,100,94,75,1000,995,985,10,9,1,37,23,,0.00,4,Snow-Hail,250<br />
2001-2-9,1,0,-2,1,-1,-2,100,96,93,1017,1008,1000,10,8,0,40,32,,0.00,4,Snow-Hail,250<br />
2001-2-10,1,0,0,1,-2,-8,100,88,55,1024,1023,1019,10,7,0,27,21,,0.00,4,Snow,176<br />
2001-2-11,4,1,-2,3,-4,-9,100,74,55,1019,1003,996,10,9,2,42,32,,0.00,6,Rain-Snow,145<br />
2001-2-12,5,4,3,5,2,-1,100,90,70,1015,999,993,10,10,10,42,26,,0.00,6,Rain,225<br />
2001-2-13,7,6,4,6,4,1,100,91,81,1019,1016,1014,10,10,9,60,35,82,0.00,6,Rain,247<br />
2001-2-14,7,6,6,6,5,3,93,87,76,1017,1015,1013,10,10,10,64,56,87,0.00,6,Rain,250<br />
2001-2-15,7,4,3,5,2,-3,100,85,57,1026,1015,1008,10,10,9,58,39,76,0.00,5,Rain,285<br />
2001-2-16,4,2,1,2,-2,-10,100,72,38,1029,1027,1021,10,10,10,40,24,,0.00,4,,221<br />
2001-2-17,5,3,1,3,0,-4,100,79,53,1024,1019,1015,10,8,1,77,55,111,0.00,6,Rain-Snow,294<br />
2001-2-18,6,4,3,5,4,0,100,93,75,1029,1027,1024,10,10,5,39,24,,0.00,6,Rain,267<br />
2001-2-19,6,4,3,5,2,-2,100,86,65,1023,1018,1017,10,10,8,45,27,53,0.00,5,Rain,281<br />
2001-2-20,6,3,1,5,2,-2,100,88,65,1012,1001,996,10,9,7,60,43,76,0.00,6,Rain,270<br />
2001-2-21,3,1,-1,0,-1,-4,100,88,60,997,995,994,10,8,1,60,40,82,0.00,5,Rain-Snow-Hail,298<br />
