CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,-3,-6,-8,-4,-7,-9,100,87,74,1020,1018,1015,10,8,3,8,3,,0.00,5,Rain-Snow,311<br />
2001-1-2,0,-4,-8,-3,-6,-9,100,86,69,1015,1012,1010,10,7,1,10,3,,0.00,3,Fog,317<br />
2001-1-3,3,0,-2,2,-1,-3,100,93,81,1017,1012,1008,10,5,0,13,3,,0.00,6,Fog-Rain,342<br />
2001-1-4,2,1,1,1,1,0,100,95,93,1016,1013,1009,5,2,0,6,2,,0.00,7,Fog-Rain,340<br />
2001-1-5,1,0,-1,1,0,-2,100,97,93,1015,1012,1009,4,1,0,8,3,,0.00,6,Fog,330<br />
2001-1-6,10,4,-1,6,2,-1,100,91,66,1010,1008,1007,10,9,2,8,3,,0.00,5,Fog,309<br />
2001-1-7,14,9,4,8,6,3,100,79,63,1011,1010,1009,10,10,10,27,11,47,0.00,6,Rain,304<br />
2001-1-8,8,6,3,7,5,2,100,95,81,1009,1008,1007,10,7,4,19,5,,0.00,6,Rain-Thunderstorm,333<br />
2001-1-9,8,3,-1,3,1,-2,100,90,53,1019,1014,1009,10,8,1,10,5,,0.00,3,Fog-Rain,307<br />
2001-1-10,6,1,-3,0,-1,-3,100,88,57,1019,1018,1017,10,9,0,6,3,,0.00,5,Fog,298<br />
2001-1-11,6,2,-2,1,-1,-2,100,90,61,1021,1019,1018,10,10,9,10,3,,0.00,4,Fog,307<br />
2001-1-12,3,1,-1,1,-1,-3,100,90,70,1025,1022,1021,10,6,0,13,3,,0.00,6,Fog,32<br />
2001-1-13,1,-3,-6,-3,-8,-11,86,61,51,1033,1029,1025,10,10,10,23,14,,0.00,3,,82<br />
