GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,24,19,14,14,12,11,82,65,53,1019,1017,1016,10,10,7,23,11,,0.00,2,,253<br />
2001-1-2,24,19,14,16,13,10,82,69,50,1018,1017,1015,10,10,8,19,10,,0.00,2,,192<br />
2001-1-3,27,20,14,14,12,6,94,65,26,1019,1017,1015,7,4,3,21,6,,0.00,1,,88<br />
2001-1-4,26,20,15,13,11,5,82,59,29,1018,1016,1015,10,9,8,26,11,,0.00,1,,339<br />
2001-1-5,24,20,16,14,11,8,72,58,43,1018,1017,1016,10,10,10,24,8,,0.00,1,,248<br />
2001-1-6,23,21,20,13,11,9,60,51,44,1019,1017,1016,10,10,8,35,24,,0.00,2,,291<br />
2001-1-7,23,18,13,13,11,8,88,60,38,1019,1016,1014,10,10,7,19,10,,0.00,1,,345<br />
2001-1-8,24,18,13,12,10,6,82,60,31,1016,1015,1013,8,8,8,16,6,29,0.00,0,,101<br />
2001-1-9,23,19,15,17,15,12,88,74,64,1018,1015,1013,10,9,8,27,13,,0.00,3,Rain,58<br />
2001-1-10,20,18,16,15,13,12,94,75,64,1019,1017,1015,10,9,5,39,18,40,0.00,5,Rain-Thunderstorm,50<br />
2001-1-11,23,19,15,14,13,11,88,64,47,1020,1018,1017,10,10,10,16,8,29,0.00,2,,1<br />
2001-1-12,23,18,14,14,12,10,82,67,47,1020,1018,1014,10,10,10,14,6,,0.00,1,,295<br />
2001-1-13,23,18,13,13,11,10,88,64,44,1021,1019,1018,8,7,6,19,6,,0.00,0,,317<br />
2001-1-14,23,18,14,13,12,9,88,66,41,1021,1019,1018,10,8,7,14,6,,0.00,0,,312<br />
2001-1-15,24,18,13,13,12,10,88,64,44,1022,1020,1019,7,6,5,16,8,,0.00,0,,254<br />
2001-1-16,23,18,13,14,13,10,82,70,57,1022,1020,1018,8,8,8,16,8,,0.00,0,,239<br />
2001-1-17,22,17,13,15,13,12,94,77,57,1021,1018,1017,10,7,2,21,8,,0.00,1,,208<br />
2001-1-18,22,18,14,15,13,12,94,77,57,1019,1017,1015,10,5,1,19,6,,0.00,0,,252<br />
2001-1-19,24,18,13,14,10,3,94,67,25,1019,1016,1014,8,5,3,16,6,,0.00,0,,126<br />
2001-1-20,26,20,14,16,11,3,77,60,23,1018,1016,1015,10,9,6,26,11,,0.00,2,,212<br />
2001-1-21,23,21,20,18,13,12,88,59,50,1019,1017,1016,10,10,10,21,16,,0.00,2,,283<br />
2001-1-22,24,19,14,13,12,8,82,63,36,1019,1017,1016,,,,19,8,,0.00,,,212<br />
2001-1-23,23,18,13,13,12,10,88,68,44,1019,1017,1015,10,7,3,19,8,,0.00,1,,241<br />
2001-1-24,25,19,14,15,13,11,88,72,44,1020,1018,1016,10,7,6,16,5,,0.00,0,,282<br />
2001-1-25,23,19,15,17,14,12,94,75,57,1020,1018,1016,10,7,1,19,8,,0.00,2,,231<br />
2001-1-26,22,17,13,12,11,10,82,66,50,1019,1016,1015,10,10,10,14,8,,0.00,2,,224<br />
2001-1-27,24,18,13,16,12,6,82,68,31,1018,1016,1015,10,10,8,32,10,,0.00,4,Rain,250<br />
2001-1-28,19,18,18,14,10,7,77,59,49,1019,1017,1016,10,10,10,37,29,,0.00,5,Rain,286<br />
2001-1-29,20,16,12,6,2,-1,67,37,26,1023,1021,1018,10,9,7,32,19,53,0.00,1,,22<br />
2001-1-30,20,15,10,6,3,1,58,47,34,1025,1022,1020,8,8,8,27,6,,0.00,0,,30<br />
2001-1-31,20,15,10,10,7,4,67,57,49,1022,1020,1018,10,10,10,16,8,,0.00,2,,251<br />
2001-2-1,22,17,12,12,9,8,77,59,46,1022,1019,1017,10,10,10,23,10,,0.00,2,,347<br />
2001-2-2,22,16,11,13,10,7,77,64,49,1020,1017,1016,8,8,8,19,6,,0.00,0,,293<br />
2001-2-3,21,16,12,13,12,10,94,72,56,1018,1016,1015,10,8,3,14,8,,0.00,4,,222<br />
2001-2-4,23,17,11,11,9,6,88,67,35,1016,1014,1012,8,6,3,14,10,,0.00,0,,200<br />
2001-2-5,23,17,12,15,8,-4,64,53,17,1015,1013,1012,10,10,10,23,11,,0.00,1,,241<br />
2001-2-6,23,20,17,12,11,10,68,56,44,1018,1017,1016,10,10,10,32,21,,0.00,2,,274<br />
2001-2-7,22,17,13,12,11,8,77,61,41,1019,1017,1016,10,10,10,19,11,,0.00,2,,234<br />
2001-2-8,23,18,14,14,12,10,82,68,44,1019,1017,1016,10,9,8,19,8,,0.00,0,,79<br />
2001-2-9,27,20,14,19,14,7,88,70,28,1019,1018,1017,8,5,3,16,6,,0.00,1,,21<br />
