IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,24,23,22,18,16,14,73,64,57,1015,1015,1015,3,3,3,0,0,,0.00,0,,-1<br />
2002-1-2,33,27,22,15,9,7,51,33,20,1019,1016,1014,6,4,2,13,5,,0.00,1,,39<br />
2002-1-3,32,26,21,16,8,3,61,33,17,1018,1015,1013,6,4,3,13,3,,0.00,1,,79<br />
2002-1-4,32,24,18,21,13,4,83,51,24,1016,1014,1011,5,4,3,11,5,,0.00,0,,61<br />
2002-1-5,33,28,23,25,17,12,89,59,41,1014,1012,1010,5,4,3,13,8,,0.00,1,,57<br />
2002-1-6,31,26,20,20,17,13,73,62,49,1014,1012,1011,5,3,1,16,5,,0.00,1,,244<br />
2002-1-7,33,27,21,22,19,16,83,67,40,1015,1013,1011,4,3,1,13,3,,0.00,1,,316<br />
2002-1-8,34,28,22,21,18,11,88,61,24,1015,1013,1011,7,4,2,14,5,,0.00,1,,66<br />
2002-1-9,35,30,25,23,17,11,79,50,30,1015,1013,1012,6,4,3,14,6,,0.00,1,,47<br />
2002-1-10,35,30,25,23,17,13,70,52,26,1017,1015,1013,6,4,2,14,6,,0.00,1,,55<br />
2002-1-11,34,28,22,20,16,11,73,53,24,1016,1014,1011,4,3,2,13,3,,0.00,0,,328<br />
2002-1-12,34,28,22,21,14,9,78,49,21,1016,1013,1011,4,3,1,14,5,,0.00,0,,291<br />
2002-1-13,35,28,20,18,13,8,73,48,21,1014,1012,1009,5,3,1,14,2,,0.00,0,,300<br />
2002-1-14,34,27,20,23,16,8,88,57,28,1012,1010,1008,4,3,1,11,3,,0.00,0,,298<br />
2002-1-15,30,25,20,23,19,15,94,74,40,1013,1011,1010,6,4,1,19,3,,0.00,0,,299<br />
2002-1-16,31,26,22,24,20,15,94,74,51,1014,1012,1009,7,4,2,19,5,,0.00,1,,337<br />
2002-1-17,30,26,21,23,19,16,88,72,55,1013,1011,1009,6,4,3,19,6,,0.00,1,,349<br />
2002-1-18,28,24,20,18,13,9,83,55,35,1012,1010,1009,6,4,2,14,3,,0.00,2,,313<br />
2002-1-19,29,24,19,12,10,8,64,43,29,1013,1011,1010,6,5,3,21,3,,0.00,1,,339<br />
2002-1-20,31,24,18,21,8,3,64,42,23,1014,1012,1011,5,4,2,19,5,,0.00,0,,9<br />
2002-1-21,28,21,15,18,9,2,73,47,28,1014,1012,1010,5,4,1,14,3,,0.00,0,,300<br />
2002-1-22,28,22,17,16,13,10,78,62,36,1014,1012,1010,5,3,1,16,3,,0.00,0,,320<br />
2002-1-23,29,22,16,16,12,9,72,53,34,1015,1012,1010,5,4,2,21,5,,0.00,0,,321<br />
