IRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,23,16,8,14,8,0,88,61,28,1018,1016,1015,,,,14,3,,0.00,,,221<br />
2001-1-2,24,17,10,14,11,9,94,70,47,1018,1016,1015,,,,18,8,,0.00,,,308<br />
2001-1-3,26,18,10,16,8,-6,94,61,12,1020,1018,1016,,,,18,6,,0.00,,,16<br />
2001-1-4,24,17,10,15,11,5,94,69,29,1019,1017,1016,10,10,8,14,5,,0.00,1,,106<br />
2001-1-5,24,17,11,15,12,9,88,70,44,1018,1016,1014,8,8,7,18,8,,0.00,2,,289<br />
2001-1-6,23,17,12,13,11,8,94,65,47,1018,1016,1015,8,8,6,18,5,,0.00,0,,258<br />
2001-1-7,26,18,11,13,7,1,82,55,20,1019,1016,1014,8,8,8,18,8,,0.00,0,,336<br />
2001-1-8,25,18,10,9,3,-4,76,41,14,1016,1015,1013,,,,18,8,,0.00,,,53<br />
2001-1-9,18,16,13,14,12,7,94,84,52,1020,1017,1014,10,5,0,21,11,,0.00,8,Rain,11<br />
2001-1-10,21,16,11,12,11,9,100,75,46,1020,1018,1017,10,9,4,18,6,,0.00,4,,346<br />
2001-1-11,22,16,11,13,10,7,88,69,38,1020,1018,1017,10,9,7,14,3,,0.00,1,,237<br />
2001-1-12,23,17,10,12,10,9,100,66,41,1020,1018,1017,,,,14,5,,0.00,,,265<br />
2001-1-13,24,16,8,12,10,7,93,66,41,1020,1019,1017,,,,11,3,,0.00,,,236<br />
2001-1-14,24,16,8,11,9,7,93,62,38,1020,1019,1017,,,,18,3,,0.00,,,255<br />
2001-1-15,23,14,7,14,9,6,93,64,33,1021,1019,1018,,,,14,5,,0.00,,,237<br />
2001-1-16,24,17,9,16,12,7,88,72,38,1021,1019,1017,,,,11,5,,0.00,,,225<br />
2001-1-17,23,17,11,17,14,11,100,81,57,1020,1018,1016,8,7,5,14,5,,0.00,1,,220<br />
2001-1-18,23,17,10,15,13,10,100,76,53,1018,1016,1014,8,7,6,18,5,,0.00,1,,215<br />
2001-1-19,23,17,12,15,13,11,100,77,47,1019,1016,1014,8,5,1,11,6,,0.00,1,,194<br />
2001-1-20,22,16,11,15,12,10,94,76,49,1018,1016,1014,7,5,3,18,5,,0.00,1,,196<br />
2001-1-21,23,17,11,16,13,11,100,72,47,1019,1016,1015,5,4,1,18,5,,0.00,0,,216<br />
2001-1-22,24,18,12,17,10,4,94,65,27,1036,1018,1016,8,7,4,18,5,,0.00,0,,226<br />
2001-1-23,23,17,12,14,11,8,88,72,44,1018,1016,1015,7,6,5,14,3,,0.00,0,,224<br />
2001-1-24,23,17,12,16,13,11,100,73,47,1019,1017,1016,6,5,3,18,6,,0.00,0,,242<br />
2001-1-25,23,18,13,17,14,11,94,74,61,1019,1016,1015,6,5,3,21,5,,0.00,0,,211<br />
2001-1-26,23,18,13,13,12,9,94,65,41,1018,1015,1014,8,6,2,18,8,,0.00,1,,247<br />
2001-1-27,22,17,12,15,12,10,88,66,49,1017,1015,1013,10,7,5,21,6,,0.00,3,Rain,209<br />
2001-1-28,21,17,14,13,-1,-8,77,31,18,1017,1015,1014,10,9,6,18,11,,0.00,2,,267<br />
2001-1-29,18,14,9,-3,-6,-11,40,26,16,1024,1022,1018,7,5,4,29,21,,0.00,0,,77<br />
2001-1-30,20,13,6,1,-6,-14,58,29,11,1026,1023,1021,8,6,6,21,10,,0.00,0,,9<br />
2001-1-31,20,12,5,7,0,-7,72,46,18,1022,1019,1018,8,6,3,14,6,,0.00,0,,244<br />
2001-2-1,24,14,6,4,0,-12,76,44,8,1022,1019,1017,,,,18,3,,0.00,,,128<br />
2001-2-2,23,16,9,13,7,1,77,55,29,1020,1017,1015,,,,18,8,,0.00,,,230<br />
2001-2-3,22,16,9,14,10,7,87,69,43,1017,1015,1013,10,9,8,21,5,,0.00,1,,226<br />
2001-2-4,22,16,10,13,12,9,100,70,46,1015,1012,1010,8,5,1,18,5,,0.00,0,,202<br />
2001-2-5,23,17,12,16,12,6,94,67,33,1013,1011,1010,6,6,5,21,10,,0.00,0,,224<br />
2001-2-6,23,18,13,14,11,9,88,65,41,1016,1014,1012,6,5,3,26,6,,0.00,0,,218<br />
2001-2-7,25,18,12,11,6,-4,82,45,14,1019,1016,1015,10,7,4,21,8,,0.00,0,,277<br />
2001-2-8,24,17,11,15,8,2,83,53,24,1019,1017,1016,10,10,10,14,5,,0.00,1,,211<br />
2001-2-9,26,18,11,12,7,2,94,52,21,1020,1018,1017,8,7,6,14,5,,0.00,1,,272<br />
2001-2-10,30,21,12,16,4,-8,82,42,8,1020,1017,1015,10,9,6,26,10,,0.00,3,,44<br />
2001-2-11,28,21,15,19,8,-4,88,46,13,1016,1013,1011,10,9,7,18,10,,0.00,4,,232<br />
2001-2-12,23,19,16,15,8,4,77,50,31,1017,1013,1010,8,7,5,26,18,,0.00,1,,228<br />
2001-2-13,22,16,10,7,3,-1,76,39,22,1020,1018,1016,8,7,7,18,8,,0.00,1,,243<br />
2001-2-14,25,18,12,7,1,-9,72,35,12,1019,1017,1015,10,8,7,18,6,,0.00,2,,31<br />
2001-2-15,24,18,12,16,12,6,88,65,49,1018,1016,1015,10,9,8,18,3,,0.00,4,,164<br />
