CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,-2,-3,-3,-21,-23,-25,23,20,17,1009,1008,1008,,,,6,2,,0.00,,,240<br />
2001-1-2,-3,-4,-5,-3,-3,-5,100,100,100,1007,1006,1005,0,0,0,34,24,,0.00,,Fog,217<br />
2001-1-3,-4,-4,-5,-4,-4,-6,100,96,86,1010,1007,1004,3,1,0,14,6,,0.00,,Fog,11<br />
2001-1-4,-5,-6,-6,-5,-6,-7,100,96,93,1010,1008,1005,1,0,0,19,13,,0.00,,Fog-Snow,202<br />
2001-1-5,-4,-6,-6,-4,-7,-8,100,90,80,1009,1007,1005,10,4,0,24,19,,0.00,3,Fog-Snow,213<br />
2001-1-6,1,-1,-2,1,0,-2,100,100,100,1006,1005,1004,0,0,0,45,32,,0.00,,Fog-Snow,208<br />
2001-1-7,1,0,0,1,1,0,100,100,100,1009,1008,1007,0,0,0,27,26,,0.00,,Fog,186<br />
2001-1-8,-1,-3,-5,-1,-2,-5,100,100,93,1005,1003,1001,10,3,0,29,14,,0.00,7,Fog,194<br />
2001-1-9,-6,-7,-8,-8,-9,-11,93,86,79,1011,1009,1004,,,,24,14,,0.00,,,338<br />
2001-1-10,-4,-6,-7,-4,-6,-9,100,93,86,1013,1013,1012,10,1,0,23,18,,0.00,3,Fog,220<br />
2001-1-11,-2,-3,-4,-3,-4,-5,100,93,86,1016,1015,1014,10,3,0,13,8,,0.00,4,Fog,243<br />
2001-1-12,-1,-2,-2,-2,-3,-4,100,90,80,1015,1015,1014,10,8,0,0,0,,0.00,4,Fog-Snow,-1<br />
2001-1-13,-4,-6,-7,-4,-7,-11,100,86,63,1016,1015,1014,10,5,1,11,5,,0.00,3,Fog,33<br />
2001-1-14,-6,-8,-9,-15,-21,-25,62,38,22,1017,1016,1015,,,,16,13,,0.00,,,11<br />
2001-1-15,-8,-9,-10,-24,-27,-30,32,23,17,1015,1014,1014,,,,14,11,,0.00,,,15<br />
2001-1-16,-9,-10,-11,-15,-19,-24,67,49,32,1014,1013,1013,,,,6,2,,0.00,,,40<br />
2001-1-17,-7,-10,-11,-7,-12,-16,100,80,62,1014,1014,1013,10,5,0,0,0,,0.00,7,Fog,-1<br />
2001-1-18,-6,-7,-8,-6,-7,-8,100,100,100,1013,1013,1012,0,0,0,11,5,,0.00,,Fog,170<br />
2001-1-19,-7,-8,-9,-8,-9,-10,93,93,86,1016,1015,1014,10,8,1,11,2,,0.00,4,Fog,217<br />
2001-1-20,-5,-7,-8,-6,-8,-9,93,90,86,1017,1016,1016,10,5,0,0,0,,0.00,4,Fog-Snow,-1<br />
2001-1-21,-5,-6,-7,-9,-10,-12,86,75,63,1017,1016,1015,10,10,10,10,5,,0.00,1,,6<br />
2001-1-22,-5,-6,-7,-7,-9,-12,93,80,63,1016,1014,1013,10,6,1,8,0,,0.00,4,Fog,244<br />
2001-1-23,-3,-4,-6,-3,-4,-6,100,100,100,1011,1009,1008,10,7,0,21,14,,0.00,4,Fog,228<br />
2001-1-24,-1,-2,-3,-1,-2,-3,100,100,100,1012,1010,1007,0,0,0,26,18,,0.00,,Fog,219<br />
2001-1-25,0,-1,-1,0,-1,-1,100,100,100,1009,1007,1005,0,0,0,29,23,,0.00,,Fog-Snow,201<br />
2001-1-26,-2,-3,-3,-3,-3,-5,93,92,86,1005,1004,1003,0,0,0,27,23,,0.00,,Fog,226<br />
2001-1-27,-3,-4,-4,-4,-5,-6,93,90,86,999,998,997,0,0,0,27,23,,0.00,,Fog,210<br />
2001-1-28,-5,-7,-9,-8,-11,-14,86,80,68,999,999,998,10,10,10,8,2,,0.00,3,,185<br />
2001-1-29,-5,-6,-7,-8,-10,-11,86,73,63,1003,1001,1000,10,10,10,19,5,,0.00,3,,19<br />
2001-1-30,-7,-8,-9,-9,-11,-13,100,81,63,1004,1003,1002,10,5,0,29,26,,0.00,6,Fog-Snow,3<br />
2001-1-31,-9,-10,-11,-14,-16,-17,73,65,57,1004,1004,1004,,,,23,18,,0.00,,,3<br />
2001-2-1,-12,-13,-14,-18,-19,-21,67,58,48,1007,1005,1004,10,10,10,27,23,,0.00,1,Snow,17<br />
2001-2-2,-11,-13,-15,-19,-22,-23,61,52,44,1007,1007,1007,,,,14,10,,0.00,,,7<br />
2001-2-3,-5,-9,-13,-12,-15,-18,67,61,50,1004,1004,1002,,,,14,10,,0.00,,,246<br />
2001-2-4,1,-2,-4,-6,-7,-8,80,67,56,1009,1007,1005,10,10,10,21,13,,0.00,1,,220<br />
2001-2-5,-2,-3,-4,-3,-3,-6,100,96,80,1008,1006,1005,0,0,0,34,21,,0.00,,Fog-Snow,222<br />
2001-2-6,-1,-3,-4,-1,-3,-6,100,98,80,1017,1015,1008,1,0,0,21,16,,0.00,,Fog,211<br />
2001-2-7,0,-1,-2,0,-1,-2,100,100,100,1018,1017,1015,0,0,0,32,23,,0.00,,Fog,218<br />
2001-2-8,-1,-2,-2,-1,-2,-2,100,100,100,1012,1009,1006,0,0,0,21,18,,0.00,,Fog,161<br />
2001-2-9,-1,-2,-3,-1,-3,-4,100,95,93,1012,1009,1006,0,0,0,26,18,,0.00,,Fog-Snow,205<br />
2001-2-10,-3,-4,-5,-4,-6,-6,93,90,86,1027,1022,1017,10,10,10,19,11,,0.00,4,,8<br />
2001-2-11,0,-2,-4,-10,-17,-22,64,33,18,1035,1034,1031,,,,19,13,,0.00,,,19<br />
