Jan Mayen                 E
Verlegenhuken   
Hornsund        
Edgeoya         
Ny Alesund      
Svalbard                  E
Phippsoya       
Andoya                    E
Kvitoya         
Senja-Laukhella 
Hekkingen Fyr   
Senja           
Bardufoss                 E
Tromso                    E
Tromso          
Bjornoya                  E
Torsvag Fyr     
Fugloykalven Fyr
Oteren          
Nordreisa-Oyeng 
Loppa           
Nordstraum I Kvaangen      
Sorkjosen                 E
Kautokeino                E
Alta Lufthavn             E
Suolovuopmi     
Hammerfest                E
Fruholmen Fyr   
Cuovddatmohkki  
Banak                     E
Hopen                     E
Karasjok        
Helnes Fyr      
Honningsvag               E
Mehamn                    E
Rustefjelbma    
Sletnes Fyr     
Berlevag                  E
Vadso                     E
Kirkenes Lufthav          E
Makkaur Fyr     
Svartnes                  E
Vardo           
Sklinna Fyr     
Leka            
Rost Island     
Rost Flyplass             E
Vega-Vallsjo    
Ytterholmen Fyr 
Bronnoysund               E
Glomfjord                 E
Myken           
Sandnessjoen              E
Nord-Solvaer    
Mosjoen Kjaersta          E
Majavatn        
Stott           
Tennholmen Fyr  
Leknes                    E
Susendal-Bjormo 
Rana-Basmoen    
Mo I Rana                 E
Bodo                      E
Litloy Fyr      
Bo I Vesteralen 
Skrova Fyr      
Svolvaer                  E
Stokmarknes               E
Sortland        
Saltdal         
Finnoy I Hamaroy
Evenes                    E
Narvik                    E
Tennevoll       
Sihcajavri      
Krakenes        
Svinoy Fyr      
Orsta-Volda               E
Alesund                   E
Ona             
Molde                     E
Tafjord         
Kristiansund              E
Skalmen Fyr     
Tingvoll-Hanem  
Sula            
Lesjaskog       
Vinjeora        
Fokstua         
Fokstua         
Halten Fyr      
Orland                    E
Oppdal-Maurhauge
Berkak-Lyngholt 
Buholmrasa Fyr  
Nordoyan Fyr    
Tynset          
Trondheim                 E
Selbu-Stubbe    
Steinkjer       
Verdal-Reppe    
Namdalseid      
Rorvik                    E
Roros           
Roros Lufthavn            E
Namsos Lufthavn           E
Meraker-Utsyn   
Nordli-Holand   
Gullfaks        
Ytteroyane Fyr  
Hellisoy Fyr    
Floro                     E
Bergen Flesland           E
Bergen          
Takle           
Sandane                   E
Stryn           
Modalen         
Kvamskogen      
Omastrand       
Voss-Bo                   E
Vangsnes        
Eidfjord-Bu     
Reimegrend      
Sogndal                   E
Finsevatn       
Laerdal-Moldo   
Fortun          
Brata           
Geilo-Geilostole
Filefjell-Grovsten         
Sognefjell      
Fagernes        
Fagernes Leirin           E
Skabu-Storslaen 
Nesbyen-Skoglund
Vest-Torpa      
Kvitfjell                 E
Lillehammer-Saetrengen     
Sor-Nesset      
Venabu          
Evenstad-Overeng
Oslo Airport              E
Rena-Haugedalen 
Flisa           
Drevsjo         
Trysil Vegstasjo
Ekofisk                   E
Frigg                     E
Utsira Fyr      
Slatteroy       
Haugesund                 E
Obrestad        
Stavanger                 E
Nedre Vats      
Fister-Tonnevik 
Sauda           
Ualand-Bjuland  
Lista Fyr       
Lista Flyplass            E
Sirdal-Tjorhom  
Midtlaeger      
Vaagsli         
